algo, name, norm, score, 0, 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
FRR, SMTP, False, auc, 0.7710, 0.7709, 0.7708, 0.7711, 0.7707, 0.7709, 0.7710, 0.7710, 0.7707, 0.7708, 0.7712, 0.7709, 0.7707, 0.7709, 0.7705, 0.7711, 0.7705, 0.7707, 0.7709, 0.7709, 0.7711, 0.7706, 0.7712, 0.7707, 0.7708, 0.7705, 0.7710, 0.7709, 0.7708, 0.7710, 0.7707, 0.7707
FRR, SMTP, True, fpr, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997
FRR, SMTP, True, auc, 0.8152, 0.8154, 0.8155, 0.8149, 0.8149, 0.8150, 0.8159, 0.8156, 0.8150, 0.8156, 0.8157, 0.8148, 0.8148, 0.8153, 0.8151, 0.8151, 0.8157, 0.8153, 0.8156, 0.8156, 0.8152, 0.8152, 0.8158, 0.8148, 0.8153, 0.8152, 0.8153, 0.8159, 0.8150, 0.8151, 0.8154, 0.8154
OCSVM, SMTP, False, fpr, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997
OCSVM, SMTP, False, auc, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752, 0.7752
OCSVM, SMTP, True, fpr, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996
OCSVM, SMTP, True, auc, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527, 0.8527
GMM, SMTP, False, fpr, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995
GMM, SMTP, False, auc, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974, 0.8974
GMM, SMTP, True, fpr, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995, 0.9995
GMM, SMTP, True, auc, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971, 0.8971
IF, SMTP, False, fpr, 0.9991, 0.9992, 0.9992, 0.9993, 0.9991, 0.9991, 0.9989, 0.9990, 0.9990, 0.9990, 0.9991, 0.9990, 0.9991, 0.9991, 0.9990, 0.9990, 0.9990, 0.9990, 0.9992, 0.9992, 0.9992, 0.9992, 0.9990, 0.9990, 0.9989, 0.9992, 0.9990, 0.9990, 0.9991, 0.9991, 0.9991, 0.9990
IF, SMTP, False, auc, 0.9047, 0.8984, 0.8946, 0.8854, 0.9069, 0.9091, 0.9186, 0.9069, 0.9073, 0.9094, 0.9036, 0.9094, 0.9066, 0.9034, 0.9130, 0.9098, 0.9086, 0.9086, 0.9066, 0.9056, 0.8948, 0.8979, 0.9122, 0.9067, 0.9137, 0.8983, 0.9060, 0.9111, 0.9063, 0.9130, 0.9023, 0.9086
IF, SMTP, True, fpr, 0.9990, 0.9991, 0.9992, 0.9990, 0.9991, 0.9989, 0.9990, 0.9990, 0.9991, 0.9990, 0.9989, 0.9990, 0.9990, 0.9990, 0.9992, 0.9990, 0.9990, 0.9991, 0.9990, 0.9990, 0.9991, 0.9992, 0.9992, 0.9992, 0.9992, 0.9990, 0.9991, 0.9991, 0.9990, 0.9991, 0.9990, 0.9990
IF, SMTP, True, auc, 0.9034, 0.8979, 0.8911, 0.9097, 0.9124, 0.9182, 0.9181, 0.9103, 0.9083, 0.9078, 0.9136, 0.9062, 0.9074, 0.9134, 0.9053, 0.9148, 0.9079, 0.9066, 0.9098, 0.9054, 0.9152, 0.8978, 0.8935, 0.8938, 0.8906, 0.9052, 0.9054, 0.9090, 0.9155, 0.9086, 0.9083, 0.9105
