algo, ta, score, pf, pq, 1, 2
VAR, 2, auc, 0.8, 0.0, 0.446, 0.497, 
VAR, 2, fps, 0.8, 0.2, 0.860, 0.891, 
VAR, 2, auc, 0.8, 0.2, 0.886, 0.887, 
VAR, 2, fps, 0.8, 0.4, 0.858, 0.770, 
VAR, 2, auc, 0.8, 0.4, 0.993, 0.992, 
VAR, 2, fps, 0.8, 0.6000000000000001, 0.921, 0.286, 
VAR, 2, auc, 0.8, 0.6000000000000001, 0.986, 0.999, 
VAR, 2, fps, 0.8, 0.8, 0.254, 0.927, 
VAR, 2, auc, 0.8, 0.8, 1.000, 0.987, 
VAR, 2, fps, 0.8, 1.0, 0.000, 0.020, 
VAR, 2, auc, 0.8, 1.0, 1.000, 1.000, 
VAR, 2, fps, 1.0, 0.0, 0.948, 0.948, 
VAR, 2, auc, 1.0, 0.0, 0.624, 0.459, 
VAR, 2, fps, 1.0, 0.2, 0.831, 0.881, 
VAR, 2, auc, 1.0, 0.2, 0.904, 0.904, 
VAR, 2, fps, 1.0, 0.4, 0.671, 0.742, 
VAR, 2, auc, 1.0, 0.4, 0.995, 0.991, 
VAR, 2, fps, 1.0, 0.6000000000000001, 0.554, 0.609, 
VAR, 2, auc, 1.0, 0.6000000000000001, 0.999, 0.993, 
VAR, 2, fps, 1.0, 0.8, 0.915, 0.855, 
VAR, 2, auc, 1.0, 0.8, 0.971, 0.993, 
VAR, 2, fps, 1.0, 1.0, 0.000, 0.000, 
VAR, 2, auc, 1.0, 1.0, 1.000, 1.000, 
FRO, 2, fps, 0.0, 0.0, 0.949, 0.950, 
FRO, 2, auc, 0.0, 0.0, 0.532, 0.441, 
FRO, 2, fps, 0.0, 0.2, 0.888, 0.925, 
FRO, 2, auc, 0.0, 0.2, 0.978, 0.940, 
FRO, 2, fps, 0.0, 0.4, 0.000, 0.000, 
FRO, 2, auc, 0.0, 0.4, 1.000, 1.000, 
FRO, 2, fps, 0.0, 0.6000000000000001, 0.000, 0.000, 
FRO, 2, auc, 0.0, 0.6000000000000001, 1.000, 1.000, 
FRO, 2, fps, 0.0, 0.8, 0.000, 0.000, 
FRO, 2, auc, 0.0, 0.8, 1.000, 1.000, 
FRO, 2, fps, 0.0, 1.0, 0.000, 0.000, 
FRO, 2, auc, 0.0, 1.0, 1.000, 1.000, 
FRO, 2, fps, 0.2, 0.0, 0.949, 0.949, 
FRO, 2, auc, 0.2, 0.0, 0.475, 0.524, 
FRO, 2, fps, 0.2, 0.2, 0.000, 0.000, 
FRO, 2, auc, 0.2, 0.2, 1.000, 1.000, 
FRO, 2, fps, 0.2, 0.4, 0.000, 0.000, 
FRO, 2, auc, 0.2, 0.4, 1.000, 1.000, 
FRO, 2, fps, 0.2, 0.6000000000000001, 0.000, 0.000, 
FRO, 2, auc, 0.2, 0.6000000000000001, 1.000, 1.000, 
FRO, 2, fps, 0.2, 0.8, 0.000, 0.000, 
FRO, 2, auc, 0.2, 0.8, 1.000, 1.000, 
FRO, 2, fps, 0.2, 1.0, 0.000, 0.000, 
FRO, 2, auc, 0.2, 1.0, 1.000, 1.000, 
FRO, 2, fps, 0.4, 0.0, 0.950, 0.950, 
FRO, 2, auc, 0.4, 0.0, 0.486, 0.533, 
FRO, 2, fps, 0.4, 0.2, 0.000, 0.000, 
FRO, 2, auc, 0.4, 0.2, 1.000, 1.000, 
FRO, 2, fps, 0.4, 0.4, 0.000, 0.000, 
FRO, 2, auc, 0.4, 0.4, 1.000, 1.000, 
FRO, 2, fps, 0.4, 0.6000000000000001, 0.000, 0.000, 
FRO, 2, auc, 0.4, 0.6000000000000001, 1.000, 1.000, 
FRO, 2, fps, 0.4, 0.8, 0.000, 0.000, 
FRO, 2, auc, 0.4, 0.8, 1.000, 1.000, 
FRO, 2, fps, 0.4, 1.0, 0.000, 0.000, 
FRO, 2, auc, 0.4, 1.0, 1.000, 1.000, 
FRO, 2, fps, 0.6000000000000001, 0.0, 0.946, 1.000, 
FRO, 2, auc, 0.6000000000000001, 0.0, 0.496, 0.404, 
FRO, 2, fps, 0.6000000000000001, 0.2, 0.000, 0.000, 
FRO, 2, auc, 0.6000000000000001, 0.2, 1.000, 1.000, 
FRO, 2, fps, 0.6000000000000001, 0.4, 0.000, 0.000, 
FRO, 2, auc, 0.6000000000000001, 0.4, 1.000, 1.000, 
FRO, 2, fps, 0.6000000000000001, 0.6000000000000001, 0.000, 0.000, 
FRO, 2, auc, 0.6000000000000001, 0.6000000000000001, 1.000, 1.000, 
FRO, 2, fps, 0.6000000000000001, 0.8, 0.000, 0.000, 
FRO, 2, auc, 0.6000000000000001, 0.8, 1.000, 1.000, 
FRO, 2, fps, 0.6000000000000001, 1.0, 0.000, 0.000, 
FRO, 2, auc, 0.6000000000000001, 1.0, 1.000, 1.000, 
FRO, 2, fps, 0.8, 0.0, 0.949, 0.950, 
FRO, 2, auc, 0.8, 0.0, 0.490, 0.529, 
FRO, 2, fps, 0.8, 0.2, 0.000, 0.000, 
FRO, 2, auc, 0.8, 0.2, 1.000, 1.000, 
FRO, 2, fps, 0.8, 0.4, 0.000, 0.000, 
FRO, 2, auc, 0.8, 0.4, 1.000, 1.000, 
FRO, 2, fps, 0.8, 0.6000000000000001, 0.000, 0.000, 
FRO, 2, auc, 0.8, 0.6000000000000001, 1.000, 1.000, 
FRO, 2, fps, 0.8, 0.8, 0.000, 0.000, 
FRO, 2, auc, 0.8, 0.8, 1.000, 1.000, 
FRO, 2, fps, 0.8, 1.0, 0.000, 0.000, 
FRO, 2, auc, 0.8, 1.0, 1.000, 1.000, 
FRO, 2, fps, 1.0, 0.0, 0.950, 0.949, 
FRO, 2, auc, 1.0, 0.0, 0.527, 0.495, 
FRO, 2, fps, 1.0, 0.2, 0.000, 0.000, 
FRO, 2, auc, 1.0, 0.2, 1.000, 1.000, 
FRO, 2, fps, 1.0, 0.4, 0.000, 0.000, 
FRO, 2, auc, 1.0, 0.4, 1.000, 1.000, 
FRO, 2, fps, 1.0, 0.6000000000000001, 0.000, 0.000, 
FRO, 2, auc, 1.0, 0.6000000000000001, 1.000, 1.000, 
FRO, 2, fps, 1.0, 0.8, 0.000, 0.000, 
FRO, 2, auc, 1.0, 0.8, 1.000, 1.000, 
FRO, 2, fps, 1.0, 1.0, 0.000, 0.000, 
FRO, 2, auc, 1.0, 1.0, 1.000, 1.000, 
FRL, 2, fps, 0.0, 0.0, 0.949, 0.950, 
FRL, 2, auc, 0.0, 0.0, 0.538, 0.521, 
FRL, 2, fps, 0.0, 0.2, 0.949, 0.942, 
FRL, 2, auc, 0.0, 0.2, 0.498, 0.506, 
FRL, 2, fps, 0.0, 0.4, 0.934, 0.932, 
FRL, 2, auc, 0.0, 0.4, 0.609, 0.628, 
FRL, 2, fps, 0.0, 0.6000000000000001, 0.915, 0.926, 
FRL, 2, auc, 0.0, 0.6000000000000001, 0.737, 0.681, 
FRL, 2, fps, 0.0, 0.8, 0.856, 0.906, 
FRL, 2, auc, 0.0, 0.8, 0.905, 0.805, 
FRL, 2, fps, 0.0, 1.0, 0.906, 0.861, 
FRL, 2, auc, 0.0, 1.0, 0.806, 0.904, 
FRL, 2, fps, 0.2, 0.0, 0.948, 0.949, 
FRL, 2, auc, 0.2, 0.0, 0.497, 0.469, 
FRL, 2, fps, 0.2, 0.2, 0.917, 0.926, 
FRL, 2, auc, 0.2, 0.2, 0.653, 0.656, 
FRL, 2, fps, 0.2, 0.4, 0.797, 0.863, 
FRL, 2, auc, 0.2, 0.4, 0.949, 0.903, 
FRL, 2, fps, 0.2, 0.6000000000000001, 0.438, 0.630, 
FRL, 2, auc, 0.2, 0.6000000000000001, 0.991, 0.981, 
FRL, 2, fps, 0.2, 0.8, 0.057, 0.000, 
FRL, 2, auc, 0.2, 0.8, 0.999, 1.000, 
FRL, 2, fps, 0.2, 1.0, 0.000, 0.020, 
FRL, 2, auc, 0.2, 1.0, 1.000, 1.000, 
FRL, 2, fps, 0.4, 0.0, 0.950, 0.949, 
FRL, 2, auc, 0.4, 0.0, 0.462, 0.529, 
FRL, 2, fps, 0.4, 0.2, 0.874, 0.911, 
FRL, 2, auc, 0.4, 0.2, 0.811, 0.780, 
FRL, 2, fps, 0.4, 0.4, 0.621, 0.733, 
FRL, 2, auc, 0.4, 0.4, 0.985, 0.967, 
FRL, 2, fps, 0.4, 0.6000000000000001, 0.000, 0.038, 
FRL, 2, auc, 0.4, 0.6000000000000001, 1.000, 1.000, 
FRL, 2, fps, 0.4, 0.8, 0.000, 0.000, 
FRL, 2, auc, 0.4, 0.8, 1.000, 1.000, 
FRL, 2, fps, 0.4, 1.0, 0.000, 0.000, 
FRL, 2, auc, 0.4, 1.0, 1.000, 1.000, 
FRL, 2, fps, 0.6000000000000001, 0.0, 0.950, 0.948, 
FRL, 2, auc, 0.6000000000000001, 0.0, 0.520, 0.618, 
FRL, 2, fps, 0.6000000000000001, 0.2, 0.839, 0.869, 
FRL, 2, auc, 0.6000000000000001, 0.2, 0.849, 0.860, 
FRL, 2, fps, 0.6000000000000001, 0.4, 0.254, 0.123, 
FRL, 2, auc, 0.6000000000000001, 0.4, 0.995, 1.000, 
FRL, 2, fps, 0.6000000000000001, 0.6000000000000001, 0.000, 0.000, 
FRL, 2, auc, 0.6000000000000001, 0.6000000000000001, 1.000, 1.000, 
FRL, 2, fps, 0.6000000000000001, 0.8, 0.000, 0.000, 
FRL, 2, auc, 0.6000000000000001, 0.8, 1.000, 1.000, 
FRL, 2, fps, 0.6000000000000001, 1.0, 0.000, 0.000, 
FRL, 2, auc, 0.6000000000000001, 1.0, 1.000, 1.000, 
FRL, 2, fps, 0.8, 0.0, 0.949, 0.949, 
FRL, 2, auc, 0.8, 0.0, 0.470, 0.466, 
FRL, 2, fps, 0.8, 0.2, 0.814, 0.708, 
FRL, 2, auc, 0.8, 0.2, 0.924, 0.952, 
FRL, 2, fps, 0.8, 0.4, 0.000, 0.000, 
FRL, 2, auc, 0.8, 0.4, 1.000, 1.000, 
FRL, 2, fps, 0.8, 0.6000000000000001, 0.000, 0.000, 
FRL, 2, auc, 0.8, 0.6000000000000001, 1.000, 1.000, 
FRL, 2, fps, 0.8, 0.8, 0.000, 0.000, 
FRL, 2, auc, 0.8, 0.8, 1.000, 1.000, 
FRL, 2, fps, 0.8, 1.0, 0.000, 0.000, 
FRL, 2, auc, 0.8, 1.0, 1.000, 1.000, 
FRL, 2, fps, 1.0, 0.0, 0.949, 0.949, 
FRL, 2, auc, 1.0, 0.0, 0.534, 0.567, 
FRL, 2, fps, 1.0, 0.2, 0.777, 0.664, 
FRL, 2, auc, 1.0, 0.2, 0.936, 0.971, 
FRL, 2, fps, 1.0, 0.4, 0.000, 0.000, 
FRL, 2, auc, 1.0, 0.4, 1.000, 1.000, 
FRL, 2, fps, 1.0, 0.6000000000000001, 0.000, 0.000, 
FRL, 2, auc, 1.0, 0.6000000000000001, 1.000, 1.000, 
FRL, 2, fps, 1.0, 0.8, 0.000, 0.000, 
FRL, 2, auc, 1.0, 0.8, 1.000, 1.000, 
FRL, 2, fps, 1.0, 1.0, 0.000, 0.000, 
FRL, 2, auc, 1.0, 1.0, 1.000, 1.000, 
FRR, 2, fps, 0.0, 0.0, 0.949, 0.950, 
FRR, 2, auc, 0.0, 0.0, 0.546, 0.484, 
FRR, 2, fps, 0.0, 0.2, 0.773, 0.819, 
FRR, 2, auc, 0.0, 0.2, 0.991, 0.981, 
FRR, 2, fps, 0.0, 0.4, 0.000, 0.000, 
FRR, 2, auc, 0.0, 0.4, 1.000, 1.000, 
FRR, 2, fps, 0.0, 0.6000000000000001, 0.000, 0.000, 
FRR, 2, auc, 0.0, 0.6000000000000001, 1.000, 1.000, 
FRR, 2, fps, 0.0, 0.8, 0.000, 0.000, 
FRR, 2, auc, 0.0, 0.8, 1.000, 1.000, 
FRR, 2, fps, 0.0, 1.0, 0.000, 0.000, 
FRR, 2, auc, 0.0, 1.0, 1.000, 1.000, 
FRR, 2, fps, 0.2, 0.0, 0.950, 0.948, 
FRR, 2, auc, 0.2, 0.0, 0.467, 0.534, 
FRR, 2, fps, 0.2, 0.2, 0.000, 0.000, 
FRR, 2, auc, 0.2, 0.2, 1.000, 1.000, 
FRR, 2, fps, 0.2, 0.4, 0.000, 0.000, 
FRR, 2, auc, 0.2, 0.4, 1.000, 1.000, 
FRR, 2, fps, 0.2, 0.6000000000000001, 0.000, 0.000, 
FRR, 2, auc, 0.2, 0.6000000000000001, 1.000, 1.000, 
FRR, 2, fps, 0.2, 0.8, 0.000, 0.000, 
FRR, 2, auc, 0.2, 0.8, 1.000, 1.000, 
FRR, 2, fps, 0.2, 1.0, 0.000, 0.000, 
FRR, 2, auc, 0.2, 1.0, 1.000, 1.000, 
FRR, 2, fps, 0.4, 0.0, 0.950, 0.950, 
FRR, 2, auc, 0.4, 0.0, 0.504, 0.526, 
FRR, 2, fps, 0.4, 0.2, 0.000, 0.000, 
FRR, 2, auc, 0.4, 0.2, 1.000, 1.000, 
FRR, 2, fps, 0.4, 0.4, 0.000, 0.000, 
FRR, 2, auc, 0.4, 0.4, 1.000, 1.000, 
FRR, 2, fps, 0.4, 0.6000000000000001, 0.000, 0.000, 
FRR, 2, auc, 0.4, 0.6000000000000001, 1.000, 1.000, 
FRR, 2, fps, 0.4, 0.8, 0.000, 0.000, 
FRR, 2, auc, 0.4, 0.8, 1.000, 1.000, 
FRR, 2, fps, 0.4, 1.0, 0.000, 0.000, 
FRR, 2, auc, 0.4, 1.0, 1.000, 1.000, 
FRR, 2, fps, 0.6000000000000001, 0.0, 0.950, 0.949, 
FRR, 2, auc, 0.6000000000000001, 0.0, 0.514, 0.516, 
FRR, 2, fps, 0.6000000000000001, 0.2, 0.000, 0.000, 
FRR, 2, auc, 0.6000000000000001, 0.2, 1.000, 1.000, 
FRR, 2, fps, 0.6000000000000001, 0.4, 0.000, 0.000, 
FRR, 2, auc, 0.6000000000000001, 0.4, 1.000, 1.000, 
FRR, 2, fps, 0.6000000000000001, 0.6000000000000001, 0.000, 0.000, 
FRR, 2, auc, 0.6000000000000001, 0.6000000000000001, 1.000, 1.000, 
FRR, 2, fps, 0.6000000000000001, 0.8, 0.000, 0.000, 
FRR, 2, auc, 0.6000000000000001, 0.8, 1.000, 1.000, 
FRR, 2, fps, 0.6000000000000001, 1.0, 0.000, 0.000, 
FRR, 2, auc, 0.6000000000000001, 1.0, 1.000, 1.000, 
FRR, 2, fps, 0.8, 0.0, 0.948, 0.949, 
FRR, 2, auc, 0.8, 0.0, 0.536, 0.529, 
FRR, 2, fps, 0.8, 0.2, 0.000, 0.000, 
FRR, 2, auc, 0.8, 0.2, 1.000, 1.000, 
FRR, 2, fps, 0.8, 0.4, 0.000, 0.000, 
FRR, 2, auc, 0.8, 0.4, 1.000, 1.000, 
FRR, 2, fps, 0.8, 0.6000000000000001, 0.000, 0.000, 
FRR, 2, auc, 0.8, 0.6000000000000001, 1.000, 1.000, 
FRR, 2, fps, 0.8, 0.8, 0.000, 0.000, 
FRR, 2, auc, 0.8, 0.8, 1.000, 1.000, 
FRR, 2, fps, 0.8, 1.0, 0.000, 0.000, 
FRR, 2, auc, 0.8, 1.0, 1.000, 1.000, 
FRR, 2, fps, 1.0, 0.0, 0.950, 0.950, 
FRR, 2, auc, 1.0, 0.0, 0.508, 0.549, 
FRR, 2, fps, 1.0, 0.2, 0.000, 0.000, 
FRR, 2, auc, 1.0, 0.2, 1.000, 1.000, 
FRR, 2, fps, 1.0, 0.4, 0.000, 0.000, 
FRR, 2, auc, 1.0, 0.4, 1.000, 1.000, 
FRR, 2, fps, 1.0, 0.6000000000000001, 0.000, 0.000, 
FRR, 2, auc, 1.0, 0.6000000000000001, 1.000, 1.000, 
FRR, 2, fps, 1.0, 0.8, 0.000, 0.000, 
FRR, 2, auc, 1.0, 0.8, 1.000, 1.000, 
FRR, 2, fps, 1.0, 1.0, 0.000, 0.000, 
FRR, 2, auc, 1.0, 1.0, 1.000, 1.000, 
OCSVM, 2, fps, 0.0, 0.0, 0.950, 0.948, 
OCSVM, 2, auc, 0.0, 0.0, 0.503, 0.483, 
OCSVM, 2, fps, 0.0, 0.2, 0.941, 0.927, 
OCSVM, 2, auc, 0.0, 0.2, 0.800, 0.828, 
OCSVM, 2, fps, 0.0, 0.4, 0.708, 0.783, 
OCSVM, 2, auc, 0.0, 0.4, 0.945, 0.924, 
OCSVM, 2, fps, 0.0, 0.6000000000000001, 0.645, 0.515, 
OCSVM, 2, auc, 0.0, 0.6000000000000001, 0.973, 0.986, 
OCSVM, 2, fps, 0.0, 0.8, 0.375, 0.425, 
OCSVM, 2, auc, 0.0, 0.8, 0.995, 0.991, 
OCSVM, 2, fps, 0.0, 1.0, 0.138, 0.057, 
OCSVM, 2, auc, 0.0, 1.0, 0.999, 1.000, 
OCSVM, 2, fps, 0.2, 0.0, 0.948, 1.000, 
OCSVM, 2, auc, 0.2, 0.0, 0.436, 0.420, 
OCSVM, 2, fps, 0.2, 0.2, 0.569, 0.667, 
OCSVM, 2, auc, 0.2, 0.2, 0.980, 0.960, 
OCSVM, 2, fps, 0.2, 0.4, 0.020, 0.000, 
OCSVM, 2, auc, 0.2, 0.4, 1.000, 1.000, 
OCSVM, 2, fps, 0.2, 0.6000000000000001, 0.000, 0.000, 
OCSVM, 2, auc, 0.2, 0.6000000000000001, 1.000, 1.000, 
OCSVM, 2, fps, 0.2, 0.8, 0.000, 0.000, 
OCSVM, 2, auc, 0.2, 0.8, 1.000, 1.000, 
OCSVM, 2, fps, 0.2, 1.0, 0.000, 0.000, 
OCSVM, 2, auc, 0.2, 1.0, 1.000, 1.000, 
OCSVM, 2, fps, 0.4, 0.0, 0.950, 0.950, 
OCSVM, 2, auc, 0.4, 0.0, 0.484, 0.465, 
OCSVM, 2, fps, 0.4, 0.2, 0.275, 0.167, 
OCSVM, 2, auc, 0.4, 0.2, 0.993, 0.997, 
OCSVM, 2, fps, 0.4, 0.4, 0.000, 0.000, 
OCSVM, 2, auc, 0.4, 0.4, 1.000, 1.000, 
OCSVM, 2, fps, 0.4, 0.6000000000000001, 0.000, 0.000, 
OCSVM, 2, auc, 0.4, 0.6000000000000001, 1.000, 1.000, 
OCSVM, 2, fps, 0.4, 0.8, 0.000, 0.000, 
OCSVM, 2, auc, 0.4, 0.8, 1.000, 1.000, 
OCSVM, 2, fps, 0.4, 1.0, 0.000, 0.000, 
OCSVM, 2, auc, 0.4, 1.0, 1.000, 1.000, 
OCSVM, 2, fps, 0.6000000000000001, 0.0, 0.950, 0.949, 
OCSVM, 2, auc, 0.6000000000000001, 0.0, 0.489, 0.459, 
OCSVM, 2, fps, 0.6000000000000001, 0.2, 0.038, 0.074, 
OCSVM, 2, auc, 0.6000000000000001, 0.2, 0.999, 0.998, 
OCSVM, 2, fps, 0.6000000000000001, 0.4, 0.000, 0.000, 
OCSVM, 2, auc, 0.6000000000000001, 0.4, 1.000, 1.000, 
OCSVM, 2, fps, 0.6000000000000001, 0.6000000000000001, 0.000, 0.000, 
OCSVM, 2, auc, 0.6000000000000001, 0.6000000000000001, 1.000, 1.000, 
OCSVM, 2, fps, 0.6000000000000001, 0.8, 0.000, 0.000, 
OCSVM, 2, auc, 0.6000000000000001, 0.8, 1.000, 1.000, 
OCSVM, 2, fps, 0.6000000000000001, 1.0, 0.000, 0.000, 
OCSVM, 2, auc, 0.6000000000000001, 1.0, 1.000, 1.000, 
OCSVM, 2, fps, 0.8, 0.0, 0.949, 0.950, 
OCSVM, 2, auc, 0.8, 0.0, 0.446, 0.424, 
OCSVM, 2, fps, 0.8, 0.2, 0.020, 0.000, 
OCSVM, 2, auc, 0.8, 0.2, 1.000, 1.000, 
OCSVM, 2, fps, 0.8, 0.4, 0.000, 0.000, 
OCSVM, 2, auc, 0.8, 0.4, 1.000, 1.000, 
OCSVM, 2, fps, 0.8, 0.6000000000000001, 0.000, 0.000, 
OCSVM, 2, auc, 0.8, 0.6000000000000001, 1.000, 1.000, 
OCSVM, 2, fps, 0.8, 0.8, 0.000, 0.000, 
OCSVM, 2, auc, 0.8, 0.8, 1.000, 1.000, 
OCSVM, 2, fps, 0.8, 1.0, 0.000, 0.000, 
OCSVM, 2, auc, 0.8, 1.0, 1.000, 1.000, 
OCSVM, 2, fps, 1.0, 0.0, 0.946, 0.949, 
OCSVM, 2, auc, 1.0, 0.0, 0.564, 0.471, 
OCSVM, 2, fps, 1.0, 0.2, 0.000, 0.000, 
OCSVM, 2, auc, 1.0, 0.2, 1.000, 1.000, 
OCSVM, 2, fps, 1.0, 0.4, 0.000, 0.000, 
OCSVM, 2, auc, 1.0, 0.4, 1.000, 1.000, 
OCSVM, 2, fps, 1.0, 0.6000000000000001, 0.000, 0.000, 
OCSVM, 2, auc, 1.0, 0.6000000000000001, 1.000, 1.000, 
OCSVM, 2, fps, 1.0, 0.8, 0.000, 0.000, 
OCSVM, 2, auc, 1.0, 0.8, 1.000, 1.000, 
OCSVM, 2, fps, 1.0, 1.0, 0.000, 0.000, 
OCSVM, 2, auc, 1.0, 1.0, 1.000, 1.000, 
