algo, ta, score, pf, pq, 1, 2
FRO, 1, auc, 0.2, 1.0, 1.000, 1.000, 
FRO, 1, fps, 0.4, 0.0, 0.950, 0.949, 
FRO, 1, auc, 0.4, 0.0, 0.481, 0.486, 
FRO, 1, fps, 0.4, 0.2, 0.000, 0.000, 
FRO, 1, auc, 0.4, 0.2, 1.000, 1.000, 
FRO, 1, fps, 0.4, 0.4, 0.000, 0.000, 
FRO, 1, auc, 0.4, 0.4, 1.000, 1.000, 
FRO, 1, fps, 0.4, 0.6000000000000001, 0.000, 0.000, 
FRO, 1, auc, 0.4, 0.6000000000000001, 1.000, 1.000, 
FRO, 1, fps, 0.4, 0.8, 0.000, 0.000, 
FRO, 1, auc, 0.4, 0.8, 1.000, 1.000, 
FRO, 1, fps, 0.4, 1.0, 0.000, 0.000, 
FRO, 1, auc, 0.4, 1.0, 1.000, 1.000, 
FRO, 1, fps, 0.6000000000000001, 0.0, 0.950, 0.947, 
FRO, 1, auc, 0.6000000000000001, 0.0, 0.438, 0.543, 
FRO, 1, fps, 0.6000000000000001, 0.2, 0.000, 0.000, 
FRO, 1, auc, 0.6000000000000001, 0.2, 1.000, 1.000, 
FRO, 1, fps, 0.6000000000000001, 0.4, 0.000, 0.000, 
FRO, 1, auc, 0.6000000000000001, 0.4, 1.000, 1.000, 
FRO, 1, fps, 0.6000000000000001, 0.6000000000000001, 0.000, 0.000, 
FRO, 1, auc, 0.6000000000000001, 0.6000000000000001, 1.000, 1.000, 
FRO, 1, fps, 0.6000000000000001, 0.8, 0.000, 0.000, 
FRO, 1, auc, 0.6000000000000001, 0.8, 1.000, 1.000, 
FRO, 1, fps, 0.6000000000000001, 1.0, 0.000, 0.000, 
FRO, 1, auc, 0.6000000000000001, 1.0, 1.000, 1.000, 
FRO, 1, fps, 0.8, 0.0, 0.949, 0.950, 
FRO, 1, auc, 0.8, 0.0, 0.483, 0.562, 
FRO, 1, fps, 0.8, 0.2, 0.000, 0.000, 
FRO, 1, auc, 0.8, 0.2, 1.000, 1.000, 
FRO, 1, fps, 0.8, 0.4, 0.000, 0.000, 
FRO, 1, auc, 0.8, 0.4, 1.000, 1.000, 
FRO, 1, fps, 0.8, 0.6000000000000001, 0.000, 0.000, 
FRO, 1, auc, 0.8, 0.6000000000000001, 1.000, 1.000, 
FRO, 1, fps, 0.8, 0.8, 0.000, 0.000, 
FRO, 1, auc, 0.8, 0.8, 1.000, 1.000, 
FRO, 1, fps, 0.8, 1.0, 0.000, 0.000, 
FRO, 1, auc, 0.8, 1.0, 1.000, 1.000, 
FRO, 1, fps, 1.0, 0.0, 0.950, 0.950, 
FRO, 1, auc, 1.0, 0.0, 0.560, 0.504, 
FRO, 1, fps, 1.0, 0.2, 0.000, 0.000, 
FRO, 1, auc, 1.0, 0.2, 1.000, 1.000, 
FRO, 1, fps, 1.0, 0.4, 0.000, 0.000, 
FRO, 1, auc, 1.0, 0.4, 1.000, 1.000, 
FRO, 1, fps, 1.0, 0.6000000000000001, 0.000, 0.000, 
FRO, 1, auc, 1.0, 0.6000000000000001, 1.000, 1.000, 
FRO, 1, fps, 1.0, 0.8, 0.000, 0.000, 
FRO, 1, auc, 1.0, 0.8, 1.000, 1.000, 
FRO, 1, fps, 1.0, 1.0, 0.000, 0.000, 
FRO, 1, auc, 1.0, 1.0, 1.000, 1.000, 
FRL, 1, fps, 0.0, 0.0, 0.949, 1.000, 
FRL, 1, auc, 0.0, 0.0, 0.430, 0.546, 
FRL, 1, fps, 0.0, 0.2, 0.945, 0.945, 
FRL, 1, auc, 0.0, 0.2, 0.512, 0.509, 
FRL, 1, fps, 0.0, 0.4, 0.942, 0.944, 
FRL, 1, auc, 0.0, 0.4, 0.624, 0.564, 
FRL, 1, fps, 0.0, 0.6000000000000001, 0.935, 0.937, 
FRL, 1, auc, 0.0, 0.6000000000000001, 0.636, 0.605, 
FRL, 1, fps, 0.0, 0.8, 0.935, 0.938, 
FRL, 1, auc, 0.0, 0.8, 0.741, 0.637, 
FRL, 1, fps, 0.0, 1.0, 0.931, 0.930, 
FRL, 1, auc, 0.0, 1.0, 0.791, 0.733, 
FRL, 1, fps, 0.2, 0.0, 0.950, 0.949, 
FRL, 1, auc, 0.2, 0.0, 0.558, 0.405, 
FRL, 1, fps, 0.2, 0.2, 0.942, 0.940, 
FRL, 1, auc, 0.2, 0.2, 0.573, 0.589, 
FRL, 1, fps, 0.2, 0.4, 0.912, 0.915, 
FRL, 1, auc, 0.2, 0.4, 0.789, 0.763, 
FRL, 1, fps, 0.2, 0.6000000000000001, 0.857, 0.848, 
FRL, 1, auc, 0.2, 0.6000000000000001, 0.920, 0.918, 
FRL, 1, fps, 0.2, 0.8, 0.664, 0.688, 
FRL, 1, auc, 0.2, 0.8, 0.980, 0.980, 
FRL, 1, fps, 0.2, 1.0, 0.457, 0.242, 
FRL, 1, auc, 0.2, 1.0, 0.998, 0.999, 
FRL, 1, fps, 0.4, 0.0, 0.950, 0.950, 
FRL, 1, auc, 0.4, 0.0, 0.457, 0.541, 
FRL, 1, fps, 0.4, 0.2, 0.931, 0.936, 
FRL, 1, auc, 0.4, 0.2, 0.673, 0.624, 
FRL, 1, fps, 0.4, 0.4, 0.858, 0.802, 
FRL, 1, auc, 0.4, 0.4, 0.864, 0.914, 
FRL, 1, fps, 0.4, 0.6000000000000001, 0.640, 0.684, 
FRL, 1, auc, 0.4, 0.6000000000000001, 0.989, 0.983, 
FRL, 1, fps, 0.4, 0.8, 0.000, 0.038, 
FRL, 1, auc, 0.4, 0.8, 1.000, 1.000, 
FRL, 1, fps, 0.4, 1.0, 0.000, 0.000, 
FRL, 1, auc, 0.4, 1.0, 1.000, 1.000, 
FRL, 1, fps, 0.6000000000000001, 0.0, 0.949, 0.950, 
FRL, 1, auc, 0.6000000000000001, 0.0, 0.543, 0.552, 
FRL, 1, fps, 0.6000000000000001, 0.2, 0.923, 0.915, 
FRL, 1, auc, 0.6000000000000001, 0.2, 0.747, 0.751, 
FRL, 1, fps, 0.6000000000000001, 0.4, 0.684, 0.716, 
FRL, 1, auc, 0.6000000000000001, 0.4, 0.963, 0.934, 
FRL, 1, fps, 0.6000000000000001, 0.6000000000000001, 0.000, 0.000, 
FRL, 1, auc, 0.6000000000000001, 0.6000000000000001, 1.000, 1.000, 
FRL, 1, fps, 0.6000000000000001, 0.8, 0.000, 0.000, 
FRL, 1, auc, 0.6000000000000001, 0.8, 1.000, 1.000, 
FRL, 1, fps, 0.6000000000000001, 1.0, 0.000, 0.000, 
FRL, 1, auc, 0.6000000000000001, 1.0, 1.000, 1.000, 
FRL, 1, fps, 0.8, 0.0, 0.950, 0.950, 
FRL, 1, auc, 0.8, 0.0, 0.491, 0.445, 
FRL, 1, fps, 0.8, 0.2, 0.913, 0.917, 
FRL, 1, auc, 0.8, 0.2, 0.685, 0.729, 
FRL, 1, fps, 0.8, 0.4, 0.630, 0.541, 
FRL, 1, auc, 0.8, 0.4, 0.976, 0.987, 
FRL, 1, fps, 0.8, 0.6000000000000001, 0.000, 0.000, 
FRL, 1, auc, 0.8, 0.6000000000000001, 1.000, 1.000, 
FRL, 1, fps, 0.8, 0.8, 0.000, 0.000, 
FRL, 1, auc, 0.8, 0.8, 1.000, 1.000, 
FRL, 1, fps, 0.8, 1.0, 0.000, 0.000, 
FRL, 1, auc, 0.8, 1.0, 1.000, 1.000, 
FRL, 1, fps, 1.0, 0.0, 1.000, 0.950, 
FRL, 1, auc, 1.0, 0.0, 0.545, 0.499, 
FRL, 1, fps, 1.0, 0.2, 0.905, 0.900, 
FRL, 1, auc, 1.0, 0.2, 0.796, 0.834, 
FRL, 1, fps, 1.0, 0.4, 0.367, 0.474, 
FRL, 1, auc, 1.0, 0.4, 0.996, 0.996, 
FRL, 1, fps, 1.0, 0.6000000000000001, 0.000, 0.000, 
FRL, 1, auc, 1.0, 0.6000000000000001, 1.000, 1.000, 
FRL, 1, fps, 1.0, 0.8, 0.000, 0.000, 
FRL, 1, auc, 1.0, 0.8, 1.000, 1.000, 
FRL, 1, fps, 1.0, 1.0, 0.000, 0.000, 
FRL, 1, auc, 1.0, 1.0, 1.000, 1.000, 
FRR, 1, fps, 0.0, 0.0, 0.948, 1.000, 
FRR, 1, auc, 0.0, 0.0, 0.484, 0.515, 
FRR, 1, fps, 0.0, 0.2, 0.921, 0.923, 
FRR, 1, auc, 0.0, 0.2, 0.959, 0.953, 
FRR, 1, fps, 0.0, 0.4, 0.000, 0.000, 
FRR, 1, auc, 0.0, 0.4, 1.000, 1.000, 
FRR, 1, fps, 0.0, 0.6000000000000001, 0.000, 0.000, 
FRR, 1, auc, 0.0, 0.6000000000000001, 1.000, 1.000, 
FRR, 1, fps, 0.0, 0.8, 0.000, 0.000, 
FRR, 1, auc, 0.0, 0.8, 1.000, 1.000, 
FRR, 1, fps, 0.0, 1.0, 0.000, 0.000, 
FRR, 1, auc, 0.0, 1.0, 1.000, 1.000, 
FRR, 1, fps, 0.2, 0.0, 0.949, 0.950, 
FRR, 1, auc, 0.2, 0.0, 0.495, 0.526, 
FRR, 1, fps, 0.2, 0.2, 0.000, 0.000, 
FRR, 1, auc, 0.2, 0.2, 1.000, 1.000, 
FRR, 1, fps, 0.2, 0.4, 0.000, 0.000, 
FRR, 1, auc, 0.2, 0.4, 1.000, 1.000, 
FRR, 1, fps, 0.2, 0.6000000000000001, 0.000, 0.000, 
FRR, 1, auc, 0.2, 0.6000000000000001, 1.000, 1.000, 
FRR, 1, fps, 0.2, 0.8, 0.000, 0.000, 
FRR, 1, auc, 0.2, 0.8, 1.000, 1.000, 
FRR, 1, fps, 0.2, 1.0, 0.000, 0.000, 
FRR, 1, auc, 0.2, 1.0, 1.000, 1.000, 
FRR, 1, fps, 0.4, 0.0, 0.949, 0.949, 
FRR, 1, auc, 0.4, 0.0, 0.433, 0.569, 
FRR, 1, fps, 0.4, 0.2, 0.000, 0.000, 
FRR, 1, auc, 0.4, 0.2, 1.000, 1.000, 
FRR, 1, fps, 0.4, 0.4, 0.000, 0.000, 
FRR, 1, auc, 0.4, 0.4, 1.000, 1.000, 
FRR, 1, fps, 0.4, 0.6000000000000001, 0.000, 0.000, 
FRR, 1, auc, 0.4, 0.6000000000000001, 1.000, 1.000, 
FRR, 1, fps, 0.4, 0.8, 0.000, 0.000, 
FRR, 1, auc, 0.4, 0.8, 1.000, 1.000, 
FRR, 1, fps, 0.4, 1.0, 0.000, 0.000, 
FRR, 1, auc, 0.4, 1.0, 1.000, 1.000, 
FRR, 1, fps, 0.6000000000000001, 0.0, 0.950, 0.950, 
FRR, 1, auc, 0.6000000000000001, 0.0, 0.528, 0.471, 
FRR, 1, fps, 0.6000000000000001, 0.2, 0.000, 0.000, 
FRR, 1, auc, 0.6000000000000001, 0.2, 1.000, 1.000, 
FRR, 1, fps, 0.6000000000000001, 0.4, 0.000, 0.000, 
FRR, 1, auc, 0.6000000000000001, 0.4, 1.000, 1.000, 
FRR, 1, fps, 0.6000000000000001, 0.6000000000000001, 0.000, 0.000, 
FRR, 1, auc, 0.6000000000000001, 0.6000000000000001, 1.000, 1.000, 
FRR, 1, fps, 0.6000000000000001, 0.8, 0.000, 0.000, 
FRR, 1, auc, 0.6000000000000001, 0.8, 1.000, 1.000, 
FRR, 1, fps, 0.6000000000000001, 1.0, 0.000, 0.000, 
FRR, 1, auc, 0.6000000000000001, 1.0, 1.000, 1.000, 
FRR, 1, fps, 0.8, 0.0, 0.950, 0.949, 
FRR, 1, auc, 0.8, 0.0, 0.515, 0.518, 
FRR, 1, fps, 0.8, 0.2, 0.000, 0.000, 
FRR, 1, auc, 0.8, 0.2, 1.000, 1.000, 
FRR, 1, fps, 0.8, 0.4, 0.000, 0.000, 
FRR, 1, auc, 0.8, 0.4, 1.000, 1.000, 
FRR, 1, fps, 0.8, 0.6000000000000001, 0.000, 0.000, 
FRR, 1, auc, 0.8, 0.6000000000000001, 1.000, 1.000, 
FRR, 1, fps, 0.8, 0.8, 0.000, 0.000, 
FRR, 1, auc, 0.8, 0.8, 1.000, 1.000, 
FRR, 1, fps, 0.8, 1.0, 0.000, 0.000, 
