VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
DBSCAN, SMAP, True, auc, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005
DBSCAN, SMAP, True, f1b, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467, 0.9467
GMM, SMAP, True, fpr, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886
GMM, SMAP, True, auc, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005
GMM, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
IF, SMAP, True, fpr, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886
IF, SMAP, True, auc, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004, 0.5004
IF, SMAP, True, f1b, 0.6723, 0.6584, 0.6723, 0.6723, 0.6723, 0.6584, 0.6723, 0.6584, 0.6723, 0.6723, 0.6584, 0.6584, 0.6723, 0.6584, 0.6723, 0.6584, 0.6723, 0.6723, 0.6723, 0.6584, 0.6584, 0.6723, 0.6723, 0.6723, 0.6723, 0.6723, 0.6584, 0.6584, 0.6723, 0.6723, 0.6584, 0.6723
LSTM, SMAP, True, fpr, 0.9885, 0.9885, 0.9885, 0.9885, 0.9889, 0.9885, 0.9885, 0.9885, 0.9884, 0.9889, 0.9885, 0.9889, 0.9889, 1.0000, 0.9885, 0.9885, 0.9885, 0.9889, 0.9889, 0.9890, 0.9890, 0.9885, 0.9885, 0.9885, 0.9884, 0.9885, 0.9885, 0.9889, 0.9885, 0.9885, 0.9889, 0.9885
LSTM, SMAP, True, auc, 0.5853, 0.5886, 0.5866, 0.5855, 0.4823, 0.5898, 0.5845, 0.5849, 0.5930, 0.5635, 0.5844, 0.5515, 0.5030, 0.5366, 0.5853, 0.5844, 0.5848, 0.5741, 0.4787, 0.5485, 0.5366, 0.5847, 0.5879, 0.5856, 0.5902, 0.5851, 0.5894, 0.5250, 0.5858, 0.5854, 0.4966, 0.5850
