VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
DBSCAN, SMAP, True, auc, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932
DBSCAN, SMAP, True, f1b, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778, 0.9778
GMM, SMAP, True, fpr, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573
GMM, SMAP, True, auc, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952, 0.4952
GMM, SMAP, True, f1b, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104, 0.5104
IF, SMAP, True, fpr, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573
IF, SMAP, True, auc, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4932, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4932, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933, 0.4933
IF, SMAP, True, f1b, 0.9870, 0.9862, 0.9868, 0.9870, 0.9858, 0.9870, 0.9806, 0.9852, 0.9862, 0.9863, 0.9862, 0.9863, 0.9870, 0.9870, 0.9870, 0.9804, 0.9862, 0.9853, 0.9840, 0.9870, 0.9858, 0.9860, 0.9870, 0.9845, 0.9840, 0.9863, 0.9870, 0.9870, 0.9870, 0.9868, 0.9857, 0.9870
LSTM, SMAP, True, fpr, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.6567, 0.6573, 0.6573, 0.6573, 0.6572, 1.0000, 1.0000, 1.0000, 0.6573, 0.6572, 1.0000, 1.0000, 1.0000, 0.6568, 1.0000, 1.0000, 0.6571, 0.6573, 0.6572, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.6571, 0.6569
LSTM, SMAP, True, auc, 0.4951, 0.5024, 0.4977, 0.4964, 0.4871, 0.4955, 0.4697, 0.4894, 0.4968, 0.4906, 0.4882, 0.4948, 0.4887, 0.4959, 0.4940, 0.4896, 0.4911, 0.4971, 0.5026, 0.4923, 0.4945, 0.4958, 0.4869, 0.4960, 0.4931, 0.4876, 0.4883, 0.4931, 0.4949, 0.5050, 0.4948, 0.5037
LSTM, SMAP, True, f1b, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998
GRU, SMAP, True, fpr, 0.6571, 0.6572, 1.0000, 1.0000, 0.6571, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.6570, 1.0000, 0.6570, 1.0000, 0.6573, 0.6572, 1.0000, 0.6564, 1.0000, 1.0000, 0.6566, 1.0000, 0.6572, 1.0000, 1.0000, 1.0000, 0.6572, 1.0000, 1.0000
GRU, SMAP, True, auc, 0.4998, 0.5002, 0.5087, 0.5073, 0.5038, 0.5084, 0.5051, 0.4999, 0.5003, 0.4996, 0.4971, 0.4945, 0.4992, 0.5007, 0.5075, 0.5084, 0.5022, 0.4973, 0.5062, 0.5091, 0.5028, 0.5080, 0.5086, 0.5100, 0.5091, 0.5037, 0.5088, 0.5104, 0.4987, 0.5050, 0.5170, 0.5085
GRU, SMAP, True, f1b, 0.9998, 0.9998, 0.9998, 0.9998, 0.9997, 0.9995, 0.9998, 0.9997, 0.9995, 0.9998, 0.9998, 0.9998, 0.9998, 0.9997, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9997, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9997, 0.9998, 0.9997, 0.9998, 0.9998, 0.9998
AE, SMAP, True, fpr, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573, 0.6573
AE, SMAP, True, auc, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932, 0.4932
AE, SMAP, True, f1b, 0.9762, 0.9762, 0.9762, 0.9762, 0.9762, 0.9762, 0.9762, 0.9762, 0.9762, 0.9762, 0.9762, 0.9762, 0.9762, 0.9762, 0.9793, 0.9762, 0.9762, 0.9762, 0.9762, 0.9762, 0.9762, 0.9762, 0.9762, 0.9762, 0.9762, 0.9762, 0.9775, 0.9762, 0.9762, 0.9762, 0.9762, 0.9762
VAE, SMAP, True, fpr, 0.6547, 0.6547, 0.6547, 0.6549, 0.6548, 0.6547, 0.6563, 0.6549, 0.6550, 0.6547, 0.6562, 0.6564, 0.6557, 0.6558, 0.6548, 0.6560, 0.6548, 0.6550, 0.6556, 0.6561, 0.6550, 0.6548, 0.6558, 0.6561, 0.6547, 0.6548, 0.6546, 0.6546, 0.6554, 0.6552, 0.6548, 0.6550
VAE, SMAP, True, auc, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068, 0.5068
VAE, SMAP, True, f1b, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169, 0.5169
OP, SMAP, True, fpr, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572, 0.6572
OP, SMAP, True, auc, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991, 0.4991
OP, SMAP, True, f1b, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106, 0.5106
RAND, SMAP, True, fpr, 0.6572, 1.0000, 0.6573, 0.6573, 1.0000, 0.6569, 0.6572, 0.6572, 0.6572, 0.6573, 0.6573, 0.6573, 0.6572, 0.6572, 1.0000, 1.0000, 0.6573, 1.0000, 0.6570, 1.0000, 0.6572, 0.6572, 1.0000, 0.6572, 0.6571, 0.6572, 1.0000, 0.6572, 1.0000, 1.0000, 1.0000, 0.6573
RAND, SMAP, True, auc, 0.5089, 0.5016, 0.5005, 0.4994, 0.4890, 0.4981, 0.5028, 0.4996, 0.4845, 0.4977, 0.5153, 0.5015, 0.4951, 0.5075, 0.4968, 0.5048, 0.5091, 0.4944, 0.4970, 0.4976, 0.4922, 0.5166, 0.4949, 0.4840, 0.4999, 0.5094, 0.4946, 0.5006, 0.5007, 0.5082, 0.5065, 0.5031
RAND, SMAP, True, f1b, 0.9993, 1.0000, 0.9985, 0.9988, 0.9983, 1.0000, 0.9995, 0.9968, 1.0000, 0.9983, 0.9986, 0.9980, 1.0000, 0.9985, 0.9988, 1.0000, 0.9990, 0.9992, 0.9986, 1.0000, 1.0000, 1.0000, 0.9985, 1.0000, 0.9985, 0.9986, 0.9983, 1.0000, 0.9990, 0.9995, 1.0000, 0.9985
