VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
DBSCAN, MSL, True, auc, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487, 0.5487
DBSCAN, MSL, True, f1b, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797, 0.7797
GMM, MSL, True, fpr, 0.8238, 0.8238, 0.8629, 0.8629, 0.8238, 1.0000, 0.8629, 0.8623, 0.8629, 1.0000, 1.0000, 0.8623, 0.8629, 1.0000, 0.8238, 0.8623, 0.8629, 0.8629, 1.0000, 0.8629, 1.0000, 1.0000, 1.0000, 0.8629, 1.0000, 0.8629, 0.8629, 1.0000, 0.8629, 1.0000, 1.0000, 0.8629
GMM, MSL, True, auc, 0.5348, 0.5322, 0.5380, 0.5380, 0.5348, 0.5349, 0.5380, 0.5398, 0.5380, 0.5349, 0.5349, 0.5398, 0.5380, 0.5349, 0.5322, 0.5398, 0.5380, 0.5380, 0.5349, 0.5380, 0.5349, 0.5349, 0.5349, 0.5380, 0.5349, 0.5380, 0.5380, 0.5349, 0.5380, 0.5349, 0.5349, 0.5380
GMM, MSL, True, f1b, 0.9091, 0.8857, 0.8832, 0.8832, 0.9091, 0.8832, 0.8832, 0.8832, 0.8832, 0.8832, 0.8832, 0.8832, 0.8832, 0.8832, 0.8857, 0.8832, 0.8832, 0.8832, 0.8832, 0.8832, 0.8832, 0.8832, 0.8832, 0.8832, 0.8832, 0.8832, 0.8832, 0.8832, 0.8832, 0.8832, 0.8832, 0.8832
IF, MSL, True, fpr, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238, 0.8238
IF, MSL, True, auc, 0.5285, 0.5286, 0.5322, 0.5309, 0.5282, 0.5284, 0.5312, 0.5314, 0.5306, 0.5326, 0.5274, 0.5278, 0.5288, 0.5300, 0.5314, 0.5296, 0.5340, 0.5308, 0.5341, 0.5327, 0.5299, 0.5286, 0.5334, 0.5272, 0.5311, 0.5314, 0.5283, 0.5330, 0.5290, 0.5325, 0.5295, 0.5286
IF, MSL, True, f1b, 0.9281, 0.9553, 0.9568, 0.9323, 0.9538, 0.9466, 0.9904, 0.9612, 0.9718, 0.9583, 0.9451, 0.9466, 0.9718, 0.9627, 0.9733, 0.9627, 0.9612, 0.9524, 0.9873, 0.9733, 0.9795, 0.9857, 0.9873, 0.9538, 0.9553, 0.9904, 0.9509, 0.9524, 0.9810, 0.9748, 0.9627, 0.9408
LSTM, MSL, True, fpr, 1.0000, 1.0000, 0.8628, 0.8614, 0.8628, 0.8628, 0.8629, 0.8628, 1.0000, 0.8629, 0.8625, 1.0000, 0.8630, 0.8630, 0.8630, 0.8630, 0.8628, 0.8626, 0.8626, 1.0000, 0.8628, 0.8626, 0.8630, 0.8630, 0.8628, 0.8628, 0.8625, 0.8628, 0.8628, 0.8630, 0.8628, 0.8626
LSTM, MSL, True, auc, 0.5509, 0.5346, 0.5602, 0.5542, 0.5454, 0.5566, 0.5588, 0.5438, 0.5544, 0.5624, 0.5304, 0.5614, 0.5558, 0.5493, 0.5522, 0.5343, 0.5610, 0.5398, 0.5467, 0.5283, 0.5484, 0.5583, 0.5292, 0.5517, 0.5314, 0.5585, 0.5490, 0.5366, 0.5504, 0.5499, 0.5577, 0.5342
