VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.8424, 0.8425, 0.8423, 0.8426, 0.8426, 0.8423, 0.8425, 0.8427, 0.8422, 0.8426, 0.8425, 0.8424, 0.8426, 0.8424, 0.8427, 0.8425, 0.8424, 0.8423, 0.8426, 0.8423, 0.8425, 0.8424, 0.8425, 0.8423, 0.8421, 0.8424, 0.8425, 0.8426, 0.8424, 0.8423, 0.8426, 0.8422
FRO, SMD, True, auc, 0.7053, 0.7065, 0.7102, 0.7063, 0.7048, 0.7065, 0.7068, 0.7070, 0.7085, 0.7064, 0.7081, 0.7064, 0.7060, 0.7061, 0.7071, 0.7068, 0.7060, 0.7085, 0.7070, 0.7084, 0.7020, 0.7067, 0.7063, 0.7064, 0.7094, 0.7088, 0.7065, 0.7041, 0.7083, 0.7070, 0.7058, 0.7075
FRO, SMD, True, f1b, 0.9861, 0.9868, 0.9862, 0.9870, 0.9872, 0.9854, 0.9864, 0.9857, 0.9866, 0.9873, 0.9861, 0.9872, 0.9863, 0.9869, 0.9869, 0.9866, 0.9862, 0.9865, 0.9869, 0.9870, 0.9862, 0.9859, 0.9868, 0.9855, 0.9860, 0.9866, 0.9860, 0.9868, 0.9870, 0.9862, 0.9862, 0.9862
FRL, SMD, True, fpr, 0.8237, 0.8240, 0.8243, 0.8237, 0.8239, 0.8240, 0.8241, 0.8238, 0.8242, 0.8239, 0.8239, 0.8242, 0.8238, 0.8240, 0.8238, 0.8240, 0.8240, 0.8240, 0.8238, 0.8242, 0.8241, 0.8242, 0.8240, 0.8237, 0.8241, 0.8240, 0.8239, 0.8235, 0.8244, 0.8240, 0.8242, 0.8242
FRL, SMD, True, auc, 0.7701, 0.7702, 0.7699, 0.7703, 0.7700, 0.7700, 0.7694, 0.7702, 0.7696, 0.7699, 0.7696, 0.7698, 0.7703, 0.7702, 0.7698, 0.7698, 0.7698, 0.7705, 0.7695, 0.7695, 0.7700, 0.7692, 0.7699, 0.7700, 0.7696, 0.7693, 0.7698, 0.7709, 0.7692, 0.7705, 0.7700, 0.7692
FRL, SMD, True, f1b, 0.9798, 0.9799, 0.9799, 0.9799, 0.9799, 0.9799, 0.9799, 0.9799, 0.9799, 0.9799, 0.9799, 0.9799, 0.9799, 0.9799, 0.9798, 0.9798, 0.9799, 0.9799, 0.9798, 0.9799, 0.9799, 0.9799, 0.9799, 0.9798, 0.9799, 0.9798, 0.9799, 0.9799, 0.9798, 0.9799, 0.9799, 0.9798
FRR, SMD, True, fpr, 0.8427, 0.8426, 0.8428, 0.8427, 0.8428, 0.8427, 0.8427, 0.8426, 0.8425, 0.8426, 0.8426, 0.8426, 0.8427, 0.8427, 0.8426, 0.8427, 0.8427, 0.8426, 0.8427, 0.8427, 0.8427, 0.8427, 0.8427, 0.8427, 0.8427, 0.8426, 0.8427, 0.8427, 0.8426, 0.8427, 0.8426, 0.8428
FRR, SMD, True, auc, 0.7036, 0.7067, 0.7045, 0.7025, 0.7031, 0.7033, 0.7034, 0.7044, 0.7029, 0.7020, 0.7040, 0.7025, 0.7035, 0.7027, 0.7032, 0.7057, 0.7042, 0.7038, 0.7033, 0.7023, 0.7010, 0.7016, 0.7016, 0.7033, 0.7032, 0.7027, 0.7030, 0.7018, 0.7025, 0.7042, 0.7014, 0.7049
FRR, SMD, True, f1b, 0.9850, 0.9851, 0.9855, 0.9855, 0.9853, 0.9855, 0.9855, 0.9854, 0.9849, 0.9855, 0.9849, 0.9855, 0.9853, 0.9853, 0.9853, 0.9855, 0.9855, 0.9855, 0.9851, 0.9849, 0.9854, 0.9855, 0.9855, 0.9846, 0.9854, 0.9853, 0.9855, 0.9854, 0.9855, 0.9855, 0.9855, 0.9851
