VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774
FRO, SMAP, True, auc, 0.4017, 0.4012, 0.4021, 0.4012, 0.4013, 0.4017, 0.4015, 0.4015, 0.4017, 0.4016, 0.4014, 0.4013, 0.4013, 0.4014, 0.4017, 0.4015, 0.4020, 0.4014, 0.4017, 0.4017, 0.4013, 0.4013, 0.4011, 0.4022, 0.4018, 0.4019, 0.4011, 0.4016, 0.4017, 0.4018, 0.4013, 0.4008
FRO, SMAP, True, f1b, 0.1033, 0.0441, 0.1031, 0.0441, 0.1034, 0.1033, 0.1032, 0.0441, 0.1032, 0.1032, 0.0441, 0.0441, 0.0441, 0.0441, 0.1032, 0.0441, 0.1032, 0.1032, 0.1032, 0.1032, 0.1032, 0.1033, 0.1034, 0.1032, 0.1032, 0.1034, 0.0441, 0.1032, 0.1032, 0.0441, 0.1033, 0.1033
FRL, SMAP, True, fpr, 0.9769, 0.9770, 0.9770, 0.9774, 0.9770, 0.9770, 0.9772, 0.9773, 0.9773, 0.9772, 0.9773, 0.9769, 0.9773, 0.9773, 0.9773, 0.9772, 0.9770, 0.9772, 0.9770, 0.9770, 0.9773, 0.9773, 0.9770, 0.9773, 0.9772, 0.9770, 0.9770, 0.9770, 0.9772, 0.9770, 0.9772, 0.9770
FRL, SMAP, True, auc, 0.4059, 0.4056, 0.4060, 0.4034, 0.4077, 0.4069, 0.4040, 0.4036, 0.4049, 0.4036, 0.4035, 0.4056, 0.4049, 0.4051, 0.4049, 0.4051, 0.4056, 0.4051, 0.4071, 0.4056, 0.4034, 0.4036, 0.4057, 0.4050, 0.4051, 0.4057, 0.4061, 0.4060, 0.4040, 0.4061, 0.4051, 0.4060
FRL, SMAP, True, f1b, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060, 0.1060
FRR, SMAP, True, fpr, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774, 0.9774
FRR, SMAP, True, auc, 0.4017, 0.4012, 0.4014, 0.4014, 0.4015, 0.4017, 0.4016, 0.4018, 0.4011, 0.4015, 0.4012, 0.4014, 0.4013, 0.4011, 0.4015, 0.4014, 0.4015, 0.4017, 0.4016, 0.4014, 0.4011, 0.4013, 0.4015, 0.4013, 0.4014, 0.4013, 0.4014, 0.4014, 0.4015, 0.4015, 0.4016, 0.4014
FRR, SMAP, True, f1b, 0.1033, 0.1033, 0.1034, 0.1033, 0.1034, 0.1032, 0.1033, 0.1034, 0.1033, 0.1034, 0.1034, 0.1033, 0.1033, 0.1032, 0.1034, 0.1032, 0.1032, 0.1033, 0.1031, 0.1034, 0.1034, 0.1032, 0.1031, 0.1033, 0.1034, 0.1033, 0.1034, 0.1033, 0.1034, 0.1033, 0.1034, 0.1031
OCSVM, SMAP, True, fpr, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775, 0.9775
OCSVM, SMAP, True, auc, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711, 0.3711
