VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934
FRO, SMAP, True, auc, 0.5865, 0.5783, 0.5779, 0.5852, 0.5864, 0.5845, 0.5845, 0.5839, 0.5838, 0.5842, 0.5864, 0.5842, 0.5861, 0.5858, 0.5857, 0.5866, 0.5763, 0.5856, 0.5846, 0.5856, 0.5853, 0.5840, 0.5841, 0.5847, 0.5862, 0.5849, 0.5858, 0.5860, 0.5864, 0.5849, 0.5865, 0.5864
FRO, SMAP, True, f1b, 1.0000, 0.0108, 1.0000, 1.0000, 1.0000, 1.0000, 0.0108, 0.0108, 1.0000, 1.0000, 1.0000, 1.0000, 0.0108, 1.0000, 1.0000, 0.0108, 0.0108, 1.0000, 1.0000, 1.0000, 1.0000, 0.0108, 1.0000, 0.0108, 1.0000, 1.0000, 1.0000, 0.0108, 1.0000, 1.0000, 1.0000, 0.0108
FRL, SMAP, True, fpr, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934
FRL, SMAP, True, auc, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458, 0.5458
FRL, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRR, SMAP, True, fpr, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934
FRR, SMAP, True, auc, 0.5852, 0.5863, 0.5852, 0.5865, 0.5865, 0.5863, 0.5844, 0.5863, 0.5869, 0.5860, 0.5850, 0.5852, 0.5859, 0.5862, 0.5870, 0.5859, 0.5863, 0.5866, 0.5851, 0.5863, 0.5866, 0.5852, 0.5851, 0.5864, 0.5866, 0.5868, 0.5859, 0.5864, 0.5867, 0.5843, 0.5860, 0.5864
FRR, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
OCSVM, SMAP, True, fpr, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934, 0.9934
OCSVM, SMAP, True, auc, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468, 0.5468
