VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.9405, 0.9404, 0.9395, 0.9404, 0.9404, 0.9397, 0.9403, 0.9404, 0.9395, 0.9401, 0.9406, 0.9395, 0.9395, 0.9390, 0.9402, 0.9400, 0.9397, 0.9390, 0.9390, 0.9390, 0.9397, 0.9390, 0.9404, 0.9405, 0.9390, 0.9403, 0.9395, 0.9401, 0.9404, 0.9405, 0.9401, 0.9404
FRO, SMAP, True, auc, 0.7156, 0.7207, 0.7205, 0.7217, 0.7206, 0.7199, 0.7228, 0.7209, 0.7204, 0.7243, 0.7207, 0.7204, 0.7206, 0.7224, 0.7227, 0.7251, 0.7197, 0.7222, 0.7199, 0.7225, 0.7228, 0.7225, 0.7195, 0.7195, 0.7222, 0.7226, 0.7205, 0.7211, 0.7197, 0.7228, 0.7243, 0.7217
FRO, SMAP, True, f1b, 0.1122, 0.5850, 0.1122, 0.5850, 0.1122, 0.1122, 0.5850, 0.9695, 0.1122, 0.5850, 0.5850, 0.1122, 0.1122, 0.1122, 0.1122, 0.5850, 0.1122, 0.1122, 0.1122, 0.5850, 0.1122, 0.5850, 0.1122, 0.1122, 0.1122, 0.1122, 0.1122, 0.5850, 0.9695, 0.9685, 0.5850, 0.5850
FRL, SMAP, True, fpr, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373
FRL, SMAP, True, auc, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041, 0.7041
FRL, SMAP, True, f1b, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850
FRR, SMAP, True, fpr, 0.9402, 0.9401, 0.9402, 0.9399, 0.9402, 0.9399, 0.9399, 0.9402, 0.9402, 0.9402, 0.9402, 0.9402, 0.9401, 0.9398, 0.9405, 0.9399, 0.9398, 0.9399, 0.9402, 0.9398, 0.9398, 0.9402, 0.9405, 0.9402, 0.9402, 0.9402, 0.9398, 0.9402, 0.9398, 0.9398, 0.9402, 0.9398
FRR, SMAP, True, auc, 0.7190, 0.7239, 0.7188, 0.7216, 0.7215, 0.7216, 0.7217, 0.7190, 0.7190, 0.7190, 0.7190, 0.7188, 0.7239, 0.7213, 0.7194, 0.7216, 0.7213, 0.7216, 0.7190, 0.7196, 0.7213, 0.7215, 0.7194, 0.7215, 0.7190, 0.7171, 0.7196, 0.7171, 0.7196, 0.7213, 0.7171, 0.7196
FRR, SMAP, True, f1b, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850, 0.5850
OCSVM, SMAP, True, fpr, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373, 0.9373
OCSVM, SMAP, True, auc, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456, 0.6456
