VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9553, 0.9558, 0.9554, 0.9558, 0.9557, 0.9558, 0.9554, 0.9557, 0.9556, 0.9561, 0.9553, 0.9556, 0.9554, 0.9551, 0.9556, 0.9553, 0.9558, 0.9556, 0.9558, 0.9559, 0.9559, 0.9550, 0.9550, 0.9560, 0.9554, 0.9560, 0.9555, 0.9555, 0.9555, 0.9557, 0.9556, 0.9554
FRO, SMD, True, auc, 0.9146, 0.9165, 0.9168, 0.9140, 0.9128, 0.9150, 0.9160, 0.9148, 0.9119, 0.9162, 0.9155, 0.9164, 0.9135, 0.9140, 0.9111, 0.9148, 0.9153, 0.9161, 0.9153, 0.9118, 0.9145, 0.9126, 0.9173, 0.9162, 0.9131, 0.9137, 0.9123, 0.9147, 0.9159, 0.9149, 0.9085, 0.9142
FRO, SMD, True, f1b, 0.9324, 0.9354, 0.9350, 0.9339, 0.9335, 0.9346, 0.9343, 0.9343, 0.9335, 0.9365, 0.9339, 0.9339, 0.9343, 0.9343, 0.9339, 0.9354, 0.9361, 0.9335, 0.9365, 0.9350, 0.9343, 0.9339, 0.9324, 0.9365, 0.9339, 0.9339, 0.9339, 0.9357, 0.9350, 0.9350, 0.9324, 0.9343
FRL, SMD, True, fpr, 0.9492, 0.9492, 0.9492, 0.9492, 0.9491, 0.9492, 0.9492, 0.9492, 0.9492, 0.9492, 0.9492, 0.9492, 0.9491, 0.9492, 0.9492, 0.9492, 0.9492, 0.9492, 0.9492, 0.9492, 0.9492, 0.9491, 0.9492, 0.9492, 0.9492, 0.9493, 0.9493, 0.9492, 0.9491, 0.9492, 0.9492, 0.9492
FRL, SMD, True, auc, 0.8744, 0.8741, 0.8744, 0.8740, 0.8746, 0.8744, 0.8743, 0.8745, 0.8741, 0.8743, 0.8742, 0.8742, 0.8743, 0.8742, 0.8742, 0.8742, 0.8741, 0.8745, 0.8740, 0.8743, 0.8741, 0.8746, 0.8744, 0.8742, 0.8745, 0.8740, 0.8744, 0.8742, 0.8746, 0.8743, 0.8742, 0.8741
FRL, SMD, True, f1b, 0.9295, 0.9295, 0.9295, 0.9295, 0.9295, 0.9295, 0.9295, 0.9295, 0.9295, 0.9295, 0.9295, 0.9295, 0.9295, 0.9295, 0.9290, 0.9295, 0.9295, 0.9295, 0.9295, 0.9295, 0.9295, 0.9295, 0.9295, 0.9295, 0.9295, 0.9295, 0.9295, 0.9295, 0.9290, 0.9295, 0.9295, 0.9295
FRR, SMD, True, fpr, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582, 0.9582
FRR, SMD, True, auc, 0.9359, 0.9359, 0.9362, 0.9362, 0.9342, 0.9368, 0.9346, 0.9357, 0.9363, 0.9363, 0.9370, 0.9361, 0.9354, 0.9352, 0.9355, 0.9352, 0.9349, 0.9365, 0.9359, 0.9365, 0.9370, 0.9368, 0.9369, 0.9354, 0.9342, 0.9361, 0.9343, 0.9364, 0.9344, 0.9352, 0.9358, 0.9365
FRR, SMD, True, f1b, 0.9368, 0.9365, 0.9361, 0.9361, 0.9368, 0.9365, 0.9365, 0.9365, 0.9365, 0.9361, 0.9376, 0.9339, 0.9357, 0.9365, 0.9357, 0.9368, 0.9357, 0.9361, 0.9357, 0.9379, 0.9354, 0.9365, 0.9368, 0.9365, 0.9365, 0.9357, 0.9372, 0.9365, 0.9357, 0.9368, 0.9361, 0.9368
