VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.7216, 0.7215, 0.7219, 0.7219, 0.7218, 0.7216, 0.7216, 0.7218, 0.7216, 0.7215, 0.7219, 0.7219, 0.7219, 0.7216, 0.7216, 0.7216, 0.7218, 0.7216, 0.7216, 0.7216, 0.7219, 0.7216, 0.7219, 0.7216, 0.7215, 0.7216, 0.7216, 0.7216, 0.7219, 0.7216, 0.7216, 0.7219
FRO, SMAP, True, auc, 0.3243, 0.3245, 0.3246, 0.3246, 0.3248, 0.3243, 0.3243, 0.3250, 0.3243, 0.3245, 0.3246, 0.3246, 0.3246, 0.3245, 0.3243, 0.3243, 0.3248, 0.3243, 0.3243, 0.3243, 0.3246, 0.3243, 0.3246, 0.3243, 0.3245, 0.3243, 0.3243, 0.3243, 0.3246, 0.3243, 0.3243, 0.3246
FRO, SMAP, True, f1b, 0.6825, 0.4351, 0.6826, 0.6826, 0.6826, 0.4351, 0.4351, 0.6826, 0.6826, 0.4351, 0.6826, 0.6826, 0.6826, 0.6824, 0.6824, 0.4351, 0.6826, 0.4351, 0.4351, 0.4351, 0.6826, 0.4351, 0.6826, 0.4351, 0.4351, 0.6826, 0.4351, 0.6826, 0.4351, 0.4351, 0.4351, 0.4351
FRL, SMAP, True, fpr, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216, 0.7216
FRL, SMAP, True, auc, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243, 0.3243
FRL, SMAP, True, f1b, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826
FRR, SMAP, True, fpr, 0.7219, 0.7219, 0.7219, 0.7219, 0.7216, 0.7216, 0.7219, 0.7219, 0.7219, 0.7218, 0.7219, 0.7218, 0.7219, 0.7219, 0.7219, 0.7216, 0.7218, 0.7219, 0.7216, 0.7219, 0.7216, 0.7218, 0.7216, 0.7218, 0.7216, 0.7218, 0.7219, 0.7219, 0.7219, 0.7218, 0.7219, 0.7218
FRR, SMAP, True, auc, 0.3246, 0.3246, 0.3246, 0.3246, 0.3243, 0.3243, 0.3246, 0.3246, 0.3246, 0.3248, 0.3246, 0.3248, 0.3246, 0.3246, 0.3246, 0.3243, 0.3248, 0.3246, 0.3243, 0.3246, 0.3243, 0.3248, 0.3243, 0.3248, 0.3243, 0.3248, 0.3246, 0.3246, 0.3246, 0.3248, 0.3246, 0.3248
FRR, SMAP, True, f1b, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826, 0.6826
OCSVM, SMAP, True, fpr, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805, 0.6805
OCSVM, SMAP, True, auc, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750, 0.6750
