VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9817, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9817, 0.9818
FRO, SMD, True, auc, 0.7772, 0.7750, 0.7748, 0.7863, 0.7835, 0.7792, 0.7768, 0.7726, 0.7819, 0.7786, 0.7766, 0.7742, 0.7807, 0.7873, 0.7879, 0.7810, 0.7839, 0.7864, 0.7874, 0.7734, 0.7817, 0.7834, 0.7829, 0.7816, 0.7786, 0.7840, 0.7785, 0.7860, 0.7840, 0.7801, 0.7850, 0.7816
FRO, SMD, True, f1b, 0.8161, 0.8008, 0.8114, 0.8256, 0.8224, 0.8122, 0.8122, 0.8076, 0.8169, 0.8091, 0.8122, 0.8130, 0.8138, 0.8008, 0.8304, 0.8091, 0.8161, 0.8240, 0.8153, 0.8122, 0.8200, 0.8130, 0.8138, 0.8122, 0.8114, 0.8161, 0.8200, 0.8200, 0.8130, 0.8169, 0.8232, 0.8138
FRL, SMD, True, fpr, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819
FRL, SMD, True, auc, 0.7718, 0.7713, 0.7714, 0.7711, 0.7716, 0.7715, 0.7718, 0.7721, 0.7714, 0.7718, 0.7715, 0.7715, 0.7719, 0.7716, 0.7715, 0.7714, 0.7717, 0.7718, 0.7717, 0.7716, 0.7716, 0.7712, 0.7713, 0.7716, 0.7720, 0.7715, 0.7717, 0.7717, 0.7718, 0.7713, 0.7719, 0.7715
FRL, SMD, True, f1b, 0.9281, 0.9270, 0.9270, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281, 0.9281
FRR, SMD, True, fpr, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814, 0.9814
FRR, SMD, True, auc, 0.8741, 0.8742, 0.8731, 0.8739, 0.8742, 0.8742, 0.8738, 0.8740, 0.8736, 0.8737, 0.8737, 0.8733, 0.8747, 0.8743, 0.8737, 0.8743, 0.8731, 0.8742, 0.8733, 0.8742, 0.8741, 0.8741, 0.8740, 0.8737, 0.8740, 0.8740, 0.8734, 0.8744, 0.8736, 0.8746, 0.8746, 0.8741
FRR, SMD, True, f1b, 0.8659, 0.8606, 0.8659, 0.8589, 0.8686, 0.8704, 0.8696, 0.8768, 0.8537, 0.8713, 0.8712, 0.8722, 0.8668, 0.8740, 0.8706, 0.8758, 0.8546, 0.8732, 0.8650, 0.8740, 0.8723, 0.8676, 0.8723, 0.8695, 0.8777, 0.8713, 0.8650, 0.8554, 0.8732, 0.8580, 0.8686, 0.8751
