VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9849, 0.9850, 0.9849, 0.9850, 0.9849, 0.9850, 0.9849, 0.9849, 0.9849, 0.9850, 0.9850, 0.9850, 0.9849, 0.9850, 0.9849, 0.9849, 0.9849, 0.9849, 0.9849, 0.9849, 0.9850, 0.9850, 0.9850, 0.9849, 0.9850, 0.9850, 0.9849, 0.9850, 0.9850, 0.9849, 0.9850, 0.9849
FRO, SMD, True, auc, 0.7487, 0.7468, 0.7460, 0.7470, 0.7485, 0.7473, 0.7471, 0.7468, 0.7469, 0.7488, 0.7491, 0.7469, 0.7499, 0.7459, 0.7490, 0.7455, 0.7470, 0.7475, 0.7465, 0.7498, 0.7464, 0.7478, 0.7488, 0.7454, 0.7359, 0.7483, 0.7482, 0.7464, 0.7461, 0.7485, 0.7461, 0.7469
FRO, SMD, True, f1b, 0.9428, 0.9517, 0.9454, 0.9400, 0.9450, 0.9443, 0.9484, 0.9506, 0.9384, 0.9384, 0.9406, 0.9554, 0.9528, 0.9406, 0.9472, 0.9428, 0.9454, 0.9374, 0.9450, 0.9432, 0.9428, 0.9395, 0.9395, 0.9432, 0.9384, 0.9400, 0.9454, 0.9476, 0.9410, 0.9461, 0.9443, 0.9528
FRL, SMD, True, fpr, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850, 0.9850
FRL, SMD, True, auc, 0.7713, 0.7709, 0.7712, 0.7710, 0.7714, 0.7712, 0.7708, 0.7715, 0.7711, 0.7714, 0.7713, 0.7713, 0.7712, 0.7713, 0.7709, 0.7714, 0.7714, 0.7711, 0.7711, 0.7710, 0.7712, 0.7715, 0.7709, 0.7711, 0.7711, 0.7711, 0.7710, 0.7712, 0.7713, 0.7713, 0.7710, 0.7711
FRL, SMD, True, f1b, 0.8494, 0.8466, 0.8485, 0.8466, 0.8475, 0.8466, 0.8466, 0.8514, 0.8485, 0.8494, 0.8475, 0.8475, 0.8475, 0.8494, 0.8466, 0.8504, 0.8494, 0.8466, 0.8485, 0.8466, 0.8466, 0.8494, 0.8466, 0.8475, 0.8475, 0.8466, 0.8466, 0.8466, 0.8466, 0.8504, 0.8466, 0.8466
FRR, SMD, True, fpr, 0.9824, 0.9827, 0.9826, 0.9826, 0.9826, 0.9828, 0.9828, 0.9825, 0.9826, 0.9825, 0.9825, 0.9825, 0.9827, 0.9825, 0.9826, 0.9828, 0.9826, 0.9824, 0.9827, 0.9827, 0.9825, 0.9825, 0.9826, 0.9826, 0.9825, 0.9826, 0.9824, 0.9825, 0.9827, 0.9825, 0.9825, 0.9826
FRR, SMD, True, auc, 0.7881, 0.7886, 0.7875, 0.7891, 0.7878, 0.7897, 0.7896, 0.7886, 0.7890, 0.7872, 0.7895, 0.7881, 0.7885, 0.7888, 0.7888, 0.7873, 0.7892, 0.7894, 0.7909, 0.7871, 0.7882, 0.7877, 0.7873, 0.7871, 0.7879, 0.7877, 0.7886, 0.7882, 0.7861, 0.7884, 0.7883, 0.7860
FRR, SMD, True, f1b, 0.9656, 0.9656, 0.9656, 0.9645, 0.9656, 0.9656, 0.9645, 0.9645, 0.9645, 0.9645, 0.9656, 0.9656, 0.9645, 0.9645, 0.9656, 0.9656, 0.9645, 0.9656, 0.9656, 0.9645, 0.9645, 0.9656, 0.9633, 0.9656, 0.9645, 0.9656, 0.9656, 0.9656, 0.9645, 0.9656, 0.9656, 0.9645
