VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
DBSCAN, SMAP, True, auc, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462, 0.9462
DBSCAN, SMAP, True, f1b, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976
GMM, SMAP, True, fpr, 1.0000, 1.0000, 0.4383, 1.0000, 0.4383, 0.4383, 0.4383, 0.4383, 1.0000, 0.4383, 1.0000, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 1.0000, 0.4383, 1.0000, 1.0000, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 1.0000, 0.4383, 0.4383, 0.4383
GMM, SMAP, True, auc, 0.1858, 0.1858, 0.8005, 0.1858, 0.8005, 0.8005, 0.8005, 0.8005, 0.1858, 0.8005, 0.1858, 0.7953, 0.8005, 0.8005, 0.8005, 0.8005, 0.8005, 0.1858, 0.8005, 0.1858, 0.1858, 0.8005, 0.8005, 0.8005, 0.7953, 0.8005, 0.8005, 0.8005, 0.1858, 0.8005, 0.8005, 0.8005
GMM, SMAP, True, f1b, 0.9999, 0.9999, 1.0000, 0.9999, 1.0000, 1.0000, 1.0000, 1.0000, 0.9999, 1.0000, 0.9999, 0.9999, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.9999, 1.0000, 0.9999, 0.9999, 1.0000, 1.0000, 1.0000, 0.9999, 1.0000, 1.0000, 1.0000, 0.9999, 1.0000, 1.0000, 1.0000
IF, SMAP, True, fpr, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383, 0.4383
IF, SMAP, True, auc, 0.8070, 0.8070, 0.8068, 0.8068, 0.8071, 0.8068, 0.8068, 0.8068, 0.8072, 0.8073, 0.8076, 0.8072, 0.8071, 0.8072, 0.8069, 0.8070, 0.8066, 0.8071, 0.8068, 0.8074, 0.8073, 0.8069, 0.8068, 0.8071, 0.8074, 0.8073, 0.8073, 0.8072, 0.8072, 0.8075, 0.8074, 0.8073
IF, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.9963, 0.9972, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
LSTM, SMAP, True, fpr, 1.0000, 0.5091, 0.5073, 0.5093, 0.5090, 1.0000, 1.0000, 0.5072, 0.5091, 0.5059, 0.5078, 1.0000, 1.0000, 0.5066, 1.0000, 0.5077, 1.0000, 0.5092, 0.5093, 1.0000, 0.5085, 0.5080, 0.5065, 0.5050, 1.0000, 0.5090, 0.5090, 1.0000, 0.5088, 0.5093, 1.0000, 0.5082
LSTM, SMAP, True, auc, 0.3376, 0.6985, 0.3532, 0.7692, 0.7727, 0.2817, 0.6552, 0.3519, 0.7645, 0.3328, 0.7391, 0.6930, 0.3112, 0.7427, 0.3187, 0.3536, 0.3167, 0.6625, 0.7761, 0.3572, 0.7249, 0.3615, 0.7625, 0.3854, 0.2782, 0.7685, 0.7607, 0.7279, 0.4317, 0.7648, 0.2520, 0.7664
LSTM, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
GRU, SMAP, True, fpr, 1.0000, 0.5036, 1.0000, 0.5093, 0.5084, 1.0000, 1.0000, 1.0000, 1.0000, 0.5080, 1.0000, 1.0000, 0.5093, 1.0000, 0.5066, 1.0000, 0.5041, 0.5071, 1.0000, 0.5082, 0.5091, 1.0000, 1.0000, 0.5086, 1.0000, 0.5093, 1.0000, 1.0000, 1.0000, 0.5046, 1.0000, 1.0000
GRU, SMAP, True, auc, 0.4338, 0.3895, 0.2475, 0.6598, 0.7051, 0.3655, 0.2883, 0.3040, 0.2822, 0.6377, 0.3305, 0.2733, 0.7253, 0.2907, 0.4116, 0.2494, 0.3971, 0.6938, 0.3098, 0.7315, 0.3285, 0.6840, 0.2684, 0.3549, 0.3189, 0.3549, 0.6964, 0.2757, 0.6651, 0.6414, 0.3280, 0.6972
GRU, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
