VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, MSL, True, fpr, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722
FRO, MSL, True, auc, 0.6142, 0.6162, 0.6142, 0.6143, 0.6145, 0.6145, 0.6215, 0.6143, 0.6145, 0.6143, 0.6146, 0.6155, 0.6163, 0.6144, 0.6160, 0.6140, 0.6140, 0.6143, 0.6140, 0.6144, 0.6160, 0.6140, 0.6142, 0.6143, 0.6145, 0.6161, 0.6143, 0.6160, 0.6160, 0.6138, 0.6160, 0.6160
FRO, MSL, True, f1b, 0.0417, 1.0000, 0.0417, 0.1681, 0.1681, 0.1681, 0.0417, 0.1681, 0.1681, 0.1681, 0.1681, 0.0417, 1.0000, 0.1681, 1.0000, 0.0417, 0.1680, 0.0417, 0.0417, 0.1681, 1.0000, 0.1681, 0.1681, 0.0417, 0.0417, 1.0000, 0.0417, 1.0000, 1.0000, 0.1681, 1.0000, 1.0000
FRL, MSL, True, fpr, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722
FRL, MSL, True, auc, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6136, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135, 0.6135
FRL, MSL, True, f1b, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681
FRR, MSL, True, fpr, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722, 0.9722
FRR, MSL, True, auc, 0.6143, 0.6142, 0.6141, 0.6144, 0.6145, 0.6141, 0.6143, 0.6140, 0.6142, 0.6143, 0.6142, 0.6142, 0.6143, 0.6142, 0.6142, 0.6145, 0.6143, 0.6145, 0.6144, 0.6142, 0.6143, 0.6143, 0.6144, 0.6142, 0.6140, 0.6144, 0.6142, 0.6140, 0.6143, 0.6143, 0.6143, 0.6142
FRR, MSL, True, f1b, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681, 0.1675, 0.1681, 0.1681, 0.1681, 0.1681, 0.1681
OCSVM, MSL, True, fpr, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771
