VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRO, SMAP, True, auc, 0.7084, 0.7083, 0.7084, 0.7084, 0.7085, 0.7084, 0.7084, 0.7081, 0.7084, 0.7084, 0.7081, 0.7083, 0.7084, 0.7084, 0.7084, 0.7084, 0.7081, 0.7076, 0.7091, 0.7084, 0.7084, 0.7084, 0.7084, 0.7084, 0.7084, 0.7069, 0.7084, 0.7085, 0.7084, 0.7084, 0.7083, 0.7084
FRO, SMAP, True, f1b, 0.2401, 0.2401, 0.9991, 0.2401, 1.0000, 1.0000, 0.2401, 0.2401, 1.0000, 0.2401, 0.9996, 0.2401, 0.2401, 0.9991, 0.9996, 1.0000, 0.2401, 0.2401, 0.9996, 1.0000, 0.2401, 0.2401, 1.0000, 0.2401, 1.0000, 0.9991, 0.2401, 1.0000, 1.0000, 0.2401, 0.2401, 0.2401
FRL, SMAP, True, fpr, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616
FRL, SMAP, True, auc, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770, 0.6770
FRL, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRR, SMAP, True, fpr, 0.8635, 0.8635, 0.8635, 0.8634, 0.8634, 0.8634, 1.0000, 0.8635, 1.0000, 1.0000, 1.0000, 1.0000, 0.8635, 0.8634, 1.0000, 0.8635, 1.0000, 0.8632, 0.8634, 1.0000, 1.0000, 0.8635, 0.8634, 1.0000, 0.8634, 1.0000, 0.8635, 0.8634, 0.8634, 1.0000, 0.8635, 0.8633
FRR, SMAP, True, auc, 0.7078, 0.7082, 0.7082, 0.7082, 0.7082, 0.7076, 0.7077, 0.7082, 0.7081, 0.7082, 0.7082, 0.7082, 0.7082, 0.7080, 0.7082, 0.7076, 0.7082, 0.7073, 0.7077, 0.7082, 0.7082, 0.7080, 0.7082, 0.7082, 0.7080, 0.7082, 0.7082, 0.7082, 0.7076, 0.7081, 0.7082, 0.7077
FRR, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
OCSVM, SMAP, True, fpr, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616, 0.8616
OCSVM, SMAP, True, auc, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771, 0.6771
