VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586
FRO, SMD, True, auc, 0.7683, 0.7672, 0.7664, 0.7647, 0.7657, 0.7676, 0.7654, 0.7681, 0.7635, 0.7695, 0.7663, 0.7666, 0.7655, 0.7654, 0.7698, 0.7671, 0.7658, 0.7635, 0.7657, 0.7682, 0.7675, 0.7669, 0.7683, 0.7674, 0.7626, 0.7670, 0.7698, 0.7684, 0.7651, 0.7696, 0.7645, 0.7639
FRO, SMD, True, f1b, 0.9706, 0.9695, 0.9696, 0.9758, 0.0795, 0.2415, 0.9771, 0.0795, 0.9711, 0.9711, 0.9766, 0.9721, 0.9745, 0.9761, 0.9770, 0.9681, 0.9706, 0.9751, 0.9726, 0.9724, 0.9687, 0.9701, 0.9726, 0.9729, 0.9726, 0.9701, 0.9701, 0.9686, 0.9730, 0.9750, 0.9706, 0.9765
FRL, SMD, True, fpr, 0.9550, 0.9552, 0.9552, 0.9551, 0.9551, 0.9552, 0.9551, 0.9551, 0.9552, 0.9551, 0.9552, 0.9551, 0.9550, 0.9552, 0.9551, 0.9553, 0.9550, 0.9552, 0.9550, 0.9552, 0.9551, 0.9551, 0.9551, 0.9551, 0.9550, 0.9551, 0.9552, 0.9551, 0.9552, 0.9552, 0.9550, 0.9551
FRL, SMD, True, auc, 0.6955, 0.6975, 0.6969, 0.6977, 0.6963, 0.6979, 0.6960, 0.6965, 0.6966, 0.6968, 0.6970, 0.6966, 0.6956, 0.6965, 0.6965, 0.6971, 0.6957, 0.6968, 0.6965, 0.6963, 0.6957, 0.6967, 0.6959, 0.6969, 0.6966, 0.6967, 0.6968, 0.6963, 0.6965, 0.6967, 0.6961, 0.6965
FRL, SMD, True, f1b, 0.8566, 0.8574, 0.8574, 0.8574, 0.8570, 0.8582, 0.8570, 0.8570, 0.8574, 0.8574, 0.8574, 0.8574, 0.8566, 0.8570, 0.8570, 0.8574, 0.8566, 0.8574, 0.8570, 0.8570, 0.8570, 0.8570, 0.8566, 0.8574, 0.8570, 0.8570, 0.8574, 0.8570, 0.8570, 0.8570, 0.8570, 0.8574
FRR, SMD, True, fpr, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584, 0.9584
FRR, SMD, True, auc, 0.7514, 0.7489, 0.7511, 0.7501, 0.7494, 0.7504, 0.7528, 0.7544, 0.7499, 0.7488, 0.7520, 0.7505, 0.7495, 0.7510, 0.7480, 0.7524, 0.7493, 0.7496, 0.7486, 0.7478, 0.7511, 0.7501, 0.7508, 0.7489, 0.7516, 0.7510, 0.7487, 0.7494, 0.7508, 0.7489, 0.7483, 0.7495
FRR, SMD, True, f1b, 0.9069, 0.9096, 0.9070, 0.9069, 0.9054, 0.9079, 0.9063, 0.9070, 0.9079, 0.9065, 0.9049, 0.9063, 0.9066, 0.9060, 0.9069, 0.9081, 0.9083, 0.9056, 0.9051, 0.9064, 0.9050, 0.9083, 0.9073, 0.9106, 0.9050, 0.9059, 0.9061, 0.9071, 0.9061, 0.9061, 0.9069, 0.9073
