VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, MSL, True, fpr, 0.8670, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8771, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8771, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672
FRO, MSL, True, auc, 0.6196, 0.6191, 0.6192, 0.6190, 0.6192, 0.6198, 0.6191, 0.6193, 0.6190, 0.6197, 0.6192, 0.6191, 0.6191, 0.6192, 0.6193, 0.6191, 0.6196, 0.6191, 0.6193, 0.6196, 0.6191, 0.6193, 0.6195, 0.6194, 0.6196, 0.6196, 0.6192, 0.6194, 0.6192, 0.6193, 0.6198, 0.6198
FRO, MSL, True, f1b, 1.0000, 0.6720, 0.6720, 0.6720, 0.6720, 1.0000, 0.6720, 0.6720, 0.6711, 1.0000, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 1.0000, 0.6720, 0.6720, 1.0000, 0.6711, 0.6720, 1.0000, 0.6720, 1.0000, 1.0000, 0.6720, 0.6720, 0.6720, 0.6720, 1.0000, 1.0000
FRL, MSL, True, fpr, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672
FRL, MSL, True, auc, 0.6190, 0.6190, 0.6190, 0.6190, 0.6189, 0.6190, 0.6190, 0.6190, 0.6190, 0.6190, 0.6189, 0.6190, 0.6190, 0.6190, 0.6189, 0.6190, 0.6189, 0.6190, 0.6190, 0.6191, 0.6190, 0.6190, 0.6189, 0.6190, 0.6189, 0.6189, 0.6190, 0.6189, 0.6189, 0.6190, 0.6189, 0.6190
FRL, MSL, True, f1b, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720
FRR, MSL, True, fpr, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672, 0.8672
FRR, MSL, True, auc, 0.6192, 0.6192, 0.6191, 0.6193, 0.6191, 0.6192, 0.6193, 0.6197, 0.6191, 0.6192, 0.6194, 0.6191, 0.6191, 0.6191, 0.6191, 0.6192, 0.6192, 0.6192, 0.6191, 0.6192, 0.6193, 0.6192, 0.6193, 0.6193, 0.6192, 0.6190, 0.6191, 0.6199, 0.6191, 0.6191, 0.6198, 0.6191
FRR, MSL, True, f1b, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 1.0000, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 0.6720, 1.0000, 0.6720, 0.6720, 1.0000, 0.6720
OCSVM, MSL, True, fpr, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767, 0.8767
