VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.9861, 0.9861, 0.9861, 1.0000, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 1.0000, 0.9861, 0.9861, 1.0000, 0.9861, 0.9861, 0.9861, 0.9861, 1.0000, 1.0000, 0.9861, 1.0000, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861
FRO, SMAP, True, auc, 0.3689, 0.3686, 0.3688, 0.3690, 0.3688, 0.3690, 0.3691, 0.3686, 0.3682, 0.3693, 0.3693, 0.3688, 0.3699, 0.3683, 0.3684, 0.3689, 0.3694, 0.3682, 0.3684, 0.3690, 0.3696, 0.3686, 0.3687, 0.3698, 0.3694, 0.3699, 0.3684, 0.3686, 0.3690, 0.3688, 0.3696, 0.3686
FRO, SMAP, True, f1b, 0.0825, 0.0274, 0.0274, 0.0823, 0.0825, 0.0826, 0.0820, 0.0825, 0.0274, 0.0821, 0.0274, 0.0820, 0.0821, 0.0826, 0.0274, 0.0825, 0.0820, 0.0824, 0.0274, 0.0820, 0.0274, 0.0823, 0.0274, 0.0820, 0.0820, 0.0820, 0.0826, 0.0821, 0.0274, 0.0274, 0.0274, 0.0824
FRL, SMAP, True, fpr, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857, 0.9857
FRL, SMAP, True, auc, 0.3699, 0.3701, 0.3698, 0.3701, 0.3699, 0.3702, 0.3701, 0.3698, 0.3699, 0.3701, 0.3701, 0.3697, 0.3699, 0.3697, 0.3702, 0.3702, 0.3701, 0.3698, 0.3702, 0.3702, 0.3701, 0.3699, 0.3701, 0.3698, 0.3700, 0.3700, 0.3700, 0.3701, 0.3698, 0.3699, 0.3700, 0.3699
FRL, SMAP, True, f1b, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835, 0.0835
FRR, SMAP, True, fpr, 1.0000, 0.9861, 0.9861, 0.9861, 1.0000, 1.0000, 0.9861, 1.0000, 0.9861, 0.9861, 1.0000, 1.0000, 0.9861, 1.0000, 0.9861, 0.9861, 0.9861, 1.0000, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 1.0000, 0.9861, 0.9861, 1.0000, 0.9861, 0.9861
FRR, SMAP, True, auc, 0.3686, 0.3684, 0.3682, 0.3682, 0.3695, 0.3685, 0.3680, 0.3687, 0.3681, 0.3679, 0.3681, 0.3679, 0.3692, 0.3681, 0.3681, 0.3696, 0.3684, 0.3678, 0.3683, 0.3677, 0.3681, 0.3687, 0.3689, 0.3682, 0.3686, 0.3685, 0.3679, 0.3687, 0.3680, 0.3684, 0.3685, 0.3681
FRR, SMAP, True, f1b, 0.0821, 0.0826, 0.0824, 0.0821, 0.0821, 0.0826, 0.0823, 0.0821, 0.0821, 0.0821, 0.0824, 0.0821, 0.0821, 0.0821, 0.0826, 0.0824, 0.0821, 0.0824, 0.0826, 0.0821, 0.0823, 0.0824, 0.0821, 0.0821, 0.0826, 0.0821, 0.0821, 0.0824, 0.0821, 0.0821, 0.0821, 0.0824
OCSVM, SMAP, True, fpr, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842, 0.9842
OCSVM, SMAP, True, auc, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045, 0.6045
