VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
DBSCAN, SMAP, True, auc, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022, 0.5022
DBSCAN, SMAP, True, f1b, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579, 0.9579
GMM, SMAP, True, fpr, 1.0000, 1.0000, 0.9738, 1.0000, 1.0000, 1.0000, 0.9738, 1.0000, 1.0000, 0.9738, 1.0000, 1.0000, 1.0000, 1.0000, 0.9738, 0.9738, 0.9738, 0.9738, 1.0000, 0.9738, 1.0000, 1.0000, 1.0000, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 1.0000, 1.0000, 0.9738, 1.0000
GMM, SMAP, True, auc, 0.4912, 0.4912, 0.5022, 0.4912, 0.4912, 0.4912, 0.5021, 0.4912, 0.4912, 0.5022, 0.4912, 0.4912, 0.4912, 0.4912, 0.5022, 0.5022, 0.5022, 0.5022, 0.4912, 0.5022, 0.4912, 0.4912, 0.4912, 0.5022, 0.5022, 0.5022, 0.5021, 0.5022, 0.4912, 0.4912, 0.5022, 0.4912
GMM, SMAP, True, f1b, 0.0415, 0.0415, 0.9529, 0.0415, 0.0415, 0.0415, 0.8667, 0.0415, 0.0415, 0.9630, 0.0415, 0.0415, 0.0415, 0.0415, 0.9455, 0.9455, 0.9529, 0.9529, 0.0415, 0.9529, 0.0415, 0.0415, 0.0415, 0.9529, 0.9529, 0.9529, 0.8667, 0.9529, 0.0415, 0.0415, 0.9529, 0.0415
IF, SMAP, True, fpr, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738, 0.9738
IF, SMAP, True, auc, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021, 0.5021
IF, SMAP, True, f1b, 0.8835, 0.8835, 0.8835, 0.8771, 0.8835, 0.8835, 0.8835, 0.8835, 0.8835, 0.8856, 0.8835, 0.8835, 0.8835, 0.8856, 0.8835, 0.8835, 0.8771, 0.8856, 0.8835, 0.8835, 0.8856, 0.8835, 0.8835, 0.8835, 0.8856, 0.8835, 0.8835, 0.8835, 0.8835, 0.8835, 0.8856, 0.8771
LSTM, SMAP, True, fpr, 0.9788, 0.9787, 0.9737, 0.9787, 0.9788, 0.9788, 0.9787, 0.9787, 0.9737, 0.9788, 0.9788, 0.9787, 0.9788, 0.9738, 0.9788, 0.9788, 0.9788, 0.9788, 0.9788, 0.9738, 0.9788, 0.9738, 0.9788, 0.9787, 0.9787, 0.9788, 0.9787, 0.9737, 0.9787, 0.9788, 0.9737, 0.9788
LSTM, SMAP, True, auc, 0.5102, 0.5123, 0.5826, 0.5109, 0.5291, 0.4997, 0.5098, 0.4910, 0.5834, 0.5499, 0.4986, 0.5522, 0.4985, 0.5817, 0.5394, 0.4988, 0.5209, 0.5713, 0.4872, 0.5822, 0.4878, 0.5812, 0.5186, 0.5311, 0.5415, 0.5199, 0.4998, 0.5841, 0.5004, 0.4898, 0.5832, 0.5091
