VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
DBSCAN, SMAP, True, auc, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928, 0.6928
DBSCAN, SMAP, True, f1b, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457, 0.0457
GMM, SMAP, True, fpr, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901
GMM, SMAP, True, auc, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022, 0.3022
GMM, SMAP, True, f1b, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269
IF, SMAP, True, fpr, 0.9890, 0.9890, 0.9853, 0.9890, 0.9890, 0.9890, 0.9853, 0.9890, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9890, 0.9890, 0.9853, 0.9853, 0.9890, 0.9853, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9853, 0.9890, 0.9853, 0.9853, 0.9853, 0.9890, 0.9853, 0.9853
IF, SMAP, True, auc, 0.6814, 0.6814, 0.6815, 0.6814, 0.6814, 0.6814, 0.6815, 0.6814, 0.6815, 0.6816, 0.6815, 0.6815, 0.6815, 0.6814, 0.6814, 0.6815, 0.6816, 0.6814, 0.6815, 0.6814, 0.6814, 0.6814, 0.6814, 0.6814, 0.6815, 0.6814, 0.6816, 0.6815, 0.6815, 0.6814, 0.6815, 0.6815
IF, SMAP, True, f1b, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440, 0.0440
LSTM, SMAP, True, fpr, 1.0000, 0.9901, 0.9901, 0.9889, 0.9901, 1.0000, 0.9901, 0.9890, 1.0000, 0.9901, 0.9901, 0.9901, 0.9900, 1.0000, 0.9889, 1.0000, 0.9901, 0.9913, 0.9901, 0.9901, 0.9901, 1.0000, 1.0000, 0.9901, 1.0000, 0.9901, 0.9901, 0.9889, 1.0000, 0.9901, 0.9901, 0.9901
LSTM, SMAP, True, auc, 0.6917, 0.4464, 0.4577, 0.7063, 0.4645, 0.4333, 0.4642, 0.7083, 0.6934, 0.4495, 0.4493, 0.4554, 0.4880, 0.6780, 0.7122, 0.4486, 0.4473, 0.6867, 0.4386, 0.4587, 0.4560, 0.4262, 0.6794, 0.4299, 0.4470, 0.4813, 0.4468, 0.7038, 0.4367, 0.4567, 0.4558, 0.4567
LSTM, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
GRU, SMAP, True, fpr, 0.9913, 0.9913, 0.9913, 1.0000, 1.0000, 0.9913, 1.0000, 0.9912, 1.0000, 1.0000, 0.9890, 1.0000, 1.0000, 1.0000, 0.9912, 1.0000, 0.9913, 0.9913, 0.9913, 0.9889, 0.9913, 0.9889, 1.0000, 0.9913, 0.9913, 1.0000, 1.0000, 1.0000, 0.9889, 0.9913, 0.9913, 1.0000
GRU, SMAP, True, auc, 0.6205, 0.5945, 0.6433, 0.5885, 0.6205, 0.6246, 0.5933, 0.6384, 0.6659, 0.6144, 0.7030, 0.6220, 0.6209, 0.6086, 0.6743, 0.5732, 0.6504, 0.6014, 0.6436, 0.6788, 0.6064, 0.6721, 0.6077, 0.6025, 0.6065, 0.6169, 0.5753, 0.6065, 0.6708, 0.6316, 0.5729, 0.6363
GRU, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
AE, SMAP, True, fpr, 0.9901, 0.9901, 0.9901, 0.9890, 0.9901, 0.9890, 0.9901, 0.9901, 0.9901, 0.9890, 0.9890, 0.9901, 0.9890, 0.9890, 0.9901, 0.9901, 0.9901, 0.9901, 0.9890, 0.9901, 0.9890, 0.9901, 0.9901, 0.9890, 0.9890, 0.9890, 0.9901, 0.9901, 0.9901, 0.9890, 0.9890, 0.9901
AE, SMAP, True, auc, 0.3022, 0.3022, 0.3022, 0.6814, 0.3022, 0.6814, 0.3022, 0.3022, 0.3022, 0.6814, 0.6814, 0.3022, 0.6814, 0.6814, 0.3022, 0.3022, 0.3022, 0.3022, 0.6814, 0.3022, 0.6814, 0.3022, 0.3022, 0.6814, 0.6814, 0.6814, 0.3022, 0.3022, 0.3022, 0.6814, 0.6814, 0.3022
AE, SMAP, True, f1b, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0269, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0269, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173
VAE, SMAP, True, fpr, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9900, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9901, 0.9900, 0.9901, 0.9901, 0.9901
VAE, SMAP, True, auc, 0.3082, 0.3081, 0.3081, 0.3090, 0.3090, 0.3082, 0.3071, 0.3081, 0.3081, 0.3081, 0.3061, 0.3081, 0.3071, 0.3178, 0.3081, 0.3062, 0.3090, 0.3091, 0.3080, 0.3089, 0.3081, 0.3082, 0.3081, 0.3090, 0.3090, 0.3088, 0.3072, 0.3081, 0.3179, 0.3081, 0.3081, 0.3081
VAE, SMAP, True, f1b, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276, 0.0276
OP, SMAP, True, fpr, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910, 0.9910
OP, SMAP, True, auc, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994
OP, SMAP, True, f1b, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173, 0.0173
RAND, SMAP, True, fpr, 0.9909, 0.9912, 0.9913, 0.9913, 0.9911, 0.9913, 0.9911, 0.9912, 0.9912, 0.9913, 0.9912, 0.9912, 0.9912, 0.9912, 0.9913, 0.9913, 0.9911, 0.9911, 0.9912, 0.9908, 0.9913, 0.9913, 0.9912, 0.9912, 0.9912, 0.9913, 0.9913, 0.9912, 0.9911, 0.9909, 0.9909, 0.9913
RAND, SMAP, True, auc, 0.5457, 0.4712, 0.4808, 0.4934, 0.4900, 0.4947, 0.4859, 0.4674, 0.4962, 0.5484, 0.5632, 0.4782, 0.5190, 0.4884, 0.4879, 0.5445, 0.4680, 0.5142, 0.4805, 0.5246, 0.5236, 0.4930, 0.4733, 0.5457, 0.4846, 0.4940, 0.5414, 0.5383, 0.4927, 0.5659, 0.4627, 0.4942
RAND, SMAP, True, f1b, 0.8485, 0.8537, 0.6364, 0.3723, 0.9333, 0.3050, 0.8642, 0.8000, 0.6009, 0.9333, 0.9211, 0.4605, 0.6965, 0.4035, 0.6335, 0.5128, 0.6604, 0.5738, 0.4130, 0.5185, 0.4242, 0.2435, 0.6965, 0.3118, 0.7650, 0.9524, 0.4416, 0.6167, 0.3271, 0.6965, 0.2318, 0.8046
