VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
DBSCAN, MSL, True, auc, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559, 0.5559
DBSCAN, MSL, True, f1b, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268, 0.0268
GMM, MSL, True, fpr, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9929, 0.9929, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 0.9929, 0.9917, 0.9929, 0.9917, 0.9917, 0.9929, 0.9917, 0.9929, 0.9917, 0.9917, 0.9929, 0.9917, 0.9917, 0.9917, 0.9929, 0.9929
GMM, MSL, True, auc, 0.4127, 0.4127, 0.4127, 0.4127, 0.4127, 0.4028, 0.4032, 0.4127, 0.5411, 0.5411, 0.4127, 0.4007, 0.4127, 0.4127, 0.3996, 0.4127, 0.5411, 0.4032, 0.5411, 0.4127, 0.4127, 0.5411, 0.4127, 0.5411, 0.4127, 0.4127, 0.5411, 0.4032, 0.4000, 0.4127, 0.5411, 0.5411
GMM, MSL, True, f1b, 0.0267, 0.0267, 0.0267, 0.0267, 0.0267, 0.0262, 0.0262, 0.0267, 0.0141, 0.0141, 0.0267, 0.0261, 0.0267, 0.0267, 0.0261, 0.0267, 0.0141, 0.0262, 0.0141, 0.0267, 0.0267, 0.0141, 0.0267, 0.0141, 0.0267, 0.0267, 0.0141, 0.0262, 0.0261, 0.0267, 0.0141, 0.0141
IF, MSL, True, fpr, 0.9917, 0.9917, 0.9918, 0.9918, 0.9918, 0.9917, 0.9917, 0.9918, 0.9917, 0.9917, 0.9917, 0.9917, 0.9918, 0.9918, 0.9918, 0.9918, 0.9918, 0.9917, 0.9918, 0.9917, 0.9917, 0.9918, 0.9917, 0.9918, 0.9918, 0.9918, 0.9918, 0.9918, 0.9918, 0.9917, 0.9918, 0.9917
IF, MSL, True, auc, 0.5288, 0.5288, 0.3979, 0.3979, 0.3979, 0.5288, 0.5288, 0.3979, 0.5288, 0.5288, 0.5288, 0.5288, 0.3979, 0.3979, 0.3979, 0.3979, 0.3979, 0.5288, 0.3979, 0.5288, 0.5288, 0.3979, 0.5288, 0.3979, 0.3979, 0.3979, 0.3979, 0.3979, 0.3979, 0.5288, 0.3979, 0.5288
IF, MSL, True, f1b, 0.0139, 0.0252, 0.0139, 0.0260, 0.0260, 0.0252, 0.0252, 0.0260, 0.0252, 0.0252, 0.0252, 0.0252, 0.0260, 0.0260, 0.0139, 0.0139, 0.0260, 0.0252, 0.0260, 0.0252, 0.0252, 0.0260, 0.0252, 0.0260, 0.0260, 0.0260, 0.0260, 0.0260, 0.0260, 0.0252, 0.0260, 0.0252
LSTM, MSL, True, fpr, 0.9925, 0.9925, 0.9921, 0.9930, 0.9915, 0.9890, 0.9926, 0.9918, 0.9894, 0.9898, 0.9915, 0.9892, 0.9918, 0.9891, 0.9918, 0.9866, 0.9925, 0.9930, 0.9914, 0.9897, 0.9919, 0.9897, 0.9915, 0.9900, 0.9900, 1.0000, 0.9916, 0.9885, 0.9930, 1.0000, 0.9915, 0.9930
LSTM, MSL, True, auc, 0.6258, 0.5703, 0.6158, 0.5894, 0.6736, 0.7555, 0.5991, 0.5941, 0.7678, 0.7584, 0.6623, 0.7737, 0.6250, 0.7778, 0.6435, 0.7844, 0.5530, 0.7209, 0.5482, 0.7621, 0.6698, 0.7455, 0.6522, 0.6334, 0.7286, 0.6917, 0.6238, 0.7756, 0.7189, 0.6783, 0.6224, 0.7358
