VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9670, 0.9670, 0.9669, 0.9669, 0.9669, 0.9669, 0.9670, 0.9669, 0.9672, 0.9668, 0.9669, 0.9671, 0.9671, 0.9669, 0.9670, 0.9668, 0.9671, 0.9670, 0.9670, 0.9669, 0.9670, 0.9669, 0.9670, 0.9671, 0.9672, 0.9670, 0.9667, 0.9670, 0.9671, 0.9672, 0.9669, 0.9670
FRO, SMD, True, auc, 0.8115, 0.8116, 0.8128, 0.8120, 0.8133, 0.8114, 0.8134, 0.8125, 0.8119, 0.8111, 0.8115, 0.8107, 0.8134, 0.8117, 0.8128, 0.8117, 0.8131, 0.8132, 0.8126, 0.8111, 0.8128, 0.8128, 0.8141, 0.8122, 0.8130, 0.8109, 0.8129, 0.8121, 0.8135, 0.8133, 0.8126, 0.8137
FRO, SMD, True, f1b, 0.9599, 0.9542, 0.9499, 0.9530, 0.9505, 0.9561, 0.9682, 0.9511, 0.9536, 0.9499, 0.9444, 0.9493, 0.9567, 0.9444, 0.9444, 0.9401, 0.9605, 0.9567, 0.9542, 0.9511, 0.9567, 0.9530, 0.9574, 0.9447, 0.9555, 0.9416, 0.9612, 0.9612, 0.9656, 0.9605, 0.9530, 0.9599
FRL, SMD, True, fpr, 0.9667, 0.9667, 0.9667, 0.9667, 0.9667, 0.9667, 0.9667, 0.9667, 0.9668, 0.9667, 0.9667, 0.9668, 0.9667, 0.9668, 0.9667, 0.9667, 0.9667, 0.9667, 0.9668, 0.9667, 0.9667, 0.9667, 0.9667, 0.9667, 0.9667, 0.9667, 0.9667, 0.9668, 0.9667, 0.9667, 0.9667, 0.9668
FRL, SMD, True, auc, 0.7526, 0.7527, 0.7528, 0.7526, 0.7525, 0.7525, 0.7528, 0.7524, 0.7524, 0.7525, 0.7523, 0.7525, 0.7526, 0.7524, 0.7527, 0.7526, 0.7528, 0.7530, 0.7523, 0.7526, 0.7525, 0.7527, 0.7525, 0.7529, 0.7526, 0.7527, 0.7529, 0.7524, 0.7529, 0.7527, 0.7528, 0.7527
FRL, SMD, True, f1b, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357, 0.7357
FRR, SMD, True, fpr, 0.9675, 0.9676, 0.9675, 0.9675, 0.9676, 0.9675, 0.9675, 0.9676, 0.9675, 0.9675, 0.9675, 0.9675, 0.9675, 0.9675, 0.9676, 0.9675, 0.9676, 0.9676, 0.9675, 0.9675, 0.9676, 0.9675, 0.9676, 0.9675, 0.9675, 0.9676, 0.9675, 0.9676, 0.9675, 0.9675, 0.9675, 0.9675
FRR, SMD, True, auc, 0.8163, 0.8178, 0.8174, 0.8167, 0.8157, 0.8171, 0.8168, 0.8160, 0.8166, 0.8163, 0.8171, 0.8176, 0.8170, 0.8158, 0.8161, 0.8179, 0.8171, 0.8161, 0.8171, 0.8158, 0.8162, 0.8185, 0.8168, 0.8167, 0.8170, 0.8171, 0.8166, 0.8163, 0.8174, 0.8166, 0.8164, 0.8169
FRR, SMD, True, f1b, 0.9605, 0.9599, 0.9605, 0.9593, 0.9599, 0.9618, 0.9605, 0.9599, 0.9586, 0.9599, 0.9612, 0.9618, 0.9612, 0.9555, 0.9599, 0.9605, 0.9593, 0.9599, 0.9618, 0.9618, 0.9618, 0.9599, 0.9618, 0.9618, 0.9605, 0.9605, 0.9618, 0.9618, 0.9574, 0.9612, 0.9618, 0.9599
