VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898
FRO, SMAP, True, auc, 0.5675, 0.5677, 0.5675, 0.5675, 0.5676, 0.5675, 0.5677, 0.5677, 0.5677, 0.5677, 0.5675, 0.5676, 0.5676, 0.5675, 0.5674, 0.5675, 0.5675, 0.5674, 0.5674, 0.5675, 0.5675, 0.5674, 0.5675, 0.5676, 0.5677, 0.5677, 0.5675, 0.5675, 0.5677, 0.5675, 0.5676, 0.5675
FRO, SMAP, True, f1b, 0.0201, 0.0201, 0.0201, 1.0000, 1.0000, 0.0201, 0.0201, 1.0000, 0.0201, 1.0000, 0.0201, 0.0201, 1.0000, 1.0000, 0.0201, 0.0201, 0.0201, 0.0201, 0.0201, 0.0201, 0.0201, 0.0201, 0.0201, 0.0201, 0.0201, 1.0000, 0.0201, 1.0000, 0.0201, 0.0201, 1.0000, 0.0201
FRL, SMAP, True, fpr, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898
FRL, SMAP, True, auc, 0.5780, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5781, 0.5782, 0.5782, 0.5782
FRL, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRR, SMAP, True, fpr, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898
FRR, SMAP, True, auc, 0.5673, 0.5674, 0.5682, 0.5681, 0.5674, 0.5673, 0.5674, 0.5674, 0.5675, 0.5674, 0.5674, 0.5674, 0.5681, 0.5673, 0.5669, 0.5674, 0.5673, 0.5674, 0.5673, 0.5673, 0.5674, 0.5674, 0.5673, 0.5674, 0.5673, 0.5681, 0.5673, 0.5674, 0.5674, 0.5674, 0.5674, 0.5674
FRR, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
OCSVM, SMAP, True, fpr, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898, 0.9898
OCSVM, SMAP, True, auc, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782, 0.5782
