VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.7650, 0.7650, 0.7646, 0.7647, 0.7646, 0.7647, 0.7647, 0.7646, 0.7647, 0.7650, 0.7647, 0.7650, 0.7647, 0.7647, 0.7648, 0.7646, 0.7650, 0.7647, 0.7647, 0.7650, 0.7647, 0.7648, 0.7647, 0.7647, 0.7652, 0.7649, 0.7647, 0.7648, 0.7650, 0.7647, 0.7647, 0.7652
FRO, SMAP, True, auc, 0.4979, 0.4979, 0.4990, 0.4989, 0.4991, 0.4989, 0.4988, 0.4991, 0.4987, 0.4979, 0.4986, 0.4977, 0.4989, 0.4989, 0.4983, 0.4991, 0.4979, 0.4987, 0.4988, 0.4980, 0.4989, 0.4985, 0.4988, 0.4988, 0.4973, 0.4982, 0.4986, 0.4984, 0.4980, 0.4987, 0.4989, 0.4973
FRO, SMAP, True, f1b, 0.3428, 0.3428, 0.3428, 0.3428, 0.3428, 0.3428, 0.3428, 0.7279, 0.3428, 0.7280, 0.3428, 0.3428, 0.3428, 0.3428, 0.3428, 0.3428, 0.3428, 0.3428, 0.3428, 0.7280, 0.3428, 0.3428, 0.7280, 0.7280, 0.3428, 0.3428, 0.3428, 0.3428, 0.7280, 0.3428, 0.3428, 0.3428
FRL, SMAP, True, fpr, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611
FRL, SMAP, True, auc, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929, 0.4929
FRL, SMAP, True, f1b, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280
FRR, SMAP, True, fpr, 0.7651, 0.7653, 0.7651, 0.7653, 0.7651, 0.7650, 0.7651, 0.7652, 0.7651, 0.7651, 0.7649, 0.7648, 0.7651, 0.7650, 0.7650, 0.7650, 0.7649, 0.7650, 0.7650, 0.7653, 0.7650, 0.7651, 0.7649, 0.7648, 0.7651, 0.7650, 0.7649, 0.7652, 0.7651, 0.7651, 0.7653, 0.7651
FRR, SMAP, True, auc, 0.4976, 0.4969, 0.4975, 0.4969, 0.4975, 0.4980, 0.4975, 0.4974, 0.4975, 0.4975, 0.4981, 0.4984, 0.4975, 0.4980, 0.4980, 0.4977, 0.4982, 0.4980, 0.4977, 0.4969, 0.4980, 0.4975, 0.4982, 0.4984, 0.4975, 0.4980, 0.4981, 0.4974, 0.4975, 0.4975, 0.4969, 0.4975
FRR, SMAP, True, f1b, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280, 0.7280
OCSVM, SMAP, True, fpr, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611, 0.7611
OCSVM, SMAP, True, auc, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909, 0.4909
