VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, MSL, True, fpr, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030
FRO, MSL, True, auc, 0.5208, 0.5208, 0.5197, 0.5194, 0.5191, 0.5208, 0.5214, 0.5208, 0.5208, 0.5198, 0.5208, 0.5195, 0.5212, 0.5179, 0.5212, 0.5190, 0.5197, 0.5210, 0.5177, 0.5209, 0.5209, 0.5208, 0.5210, 0.5210, 0.5187, 0.5203, 0.5214, 0.5205, 0.5210, 0.5210, 0.5212, 0.5208
FRO, MSL, True, f1b, 0.9377, 0.9377, 0.9377, 0.9377, 0.9377, 0.9377, 0.9377, 0.9377, 0.9377, 0.9377, 0.9377, 0.9377, 0.9377, 0.8870, 0.9377, 0.9377, 0.9377, 0.9377, 0.8870, 0.9377, 0.9377, 0.9377, 0.9377, 0.9377, 0.8989, 0.9377, 0.9377, 0.9377, 0.9377, 0.9377, 0.9377, 0.9377
FRL, MSL, True, fpr, 0.7020, 0.7002, 0.7004, 0.7002, 0.7004, 0.7004, 0.7001, 0.7002, 0.7004, 0.7004, 0.7020, 0.6981, 0.7002, 0.7004, 0.7004, 0.7004, 0.7004, 0.7004, 0.7004, 0.7004, 0.7004, 0.7020, 0.7004, 0.6981, 0.7001, 0.7004, 0.7004, 0.7002, 0.7002, 0.7004, 0.7004, 0.7002
FRL, MSL, True, auc, 0.5169, 0.5166, 0.5167, 0.5166, 0.5167, 0.5168, 0.5167, 0.5169, 0.5167, 0.5168, 0.5167, 0.5166, 0.5167, 0.5166, 0.5166, 0.5168, 0.5167, 0.5167, 0.5169, 0.5167, 0.5168, 0.5168, 0.5168, 0.5166, 0.5166, 0.5167, 0.5167, 0.5166, 0.5166, 0.5168, 0.5168, 0.5167
FRL, MSL, True, f1b, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922
FRR, MSL, True, fpr, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030, 0.7030
FRR, MSL, True, auc, 0.5202, 0.5197, 0.5177, 0.5173, 0.5207, 0.5206, 0.5202, 0.5171, 0.5206, 0.5201, 0.5206, 0.5206, 0.5172, 0.5198, 0.5203, 0.5170, 0.5206, 0.5207, 0.5201, 0.5205, 0.5192, 0.5196, 0.5205, 0.5202, 0.5200, 0.5206, 0.5205, 0.5196, 0.5202, 0.5205, 0.5189, 0.5207
FRR, MSL, True, f1b, 0.9377, 0.9377, 0.8939, 0.8864, 0.9370, 0.9377, 0.9377, 0.8877, 0.9377, 0.9377, 0.9377, 0.9370, 0.8864, 0.9370, 0.9370, 0.8864, 0.9377, 0.9370, 0.9370, 0.9377, 0.9370, 0.9370, 0.9377, 0.9377, 0.9370, 0.9377, 0.9377, 0.9377, 0.9370, 0.9370, 0.9370, 0.9377
OCSVM, MSL, True, fpr, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008, 0.7008
