VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9586, 0.9586, 0.9585, 0.9586, 0.9586, 0.9586, 0.9585, 0.9586, 0.9586, 0.9585, 0.9586, 0.9585, 0.9585, 0.9586, 0.9586, 0.9586, 0.9585, 0.9586, 0.9585, 0.9585, 0.9585, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9586, 0.9585, 0.9585
FRO, SMD, True, auc, 0.8336, 0.8336, 0.8347, 0.8327, 0.8319, 0.8298, 0.8349, 0.8350, 0.8341, 0.8347, 0.8333, 0.8338, 0.8344, 0.8323, 0.8361, 0.8339, 0.8324, 0.8346, 0.8330, 0.8350, 0.8354, 0.8337, 0.8347, 0.8340, 0.8303, 0.8317, 0.8306, 0.8313, 0.8363, 0.8342, 0.8343, 0.8321
FRO, SMD, True, f1b, 0.9969, 0.9954, 0.9969, 0.9934, 0.9959, 0.9949, 0.9964, 0.9954, 0.9949, 0.9964, 0.9959, 0.9954, 0.9954, 0.9954, 0.9964, 0.9949, 0.9949, 0.9954, 0.9959, 0.9959, 0.9969, 0.9969, 0.9949, 0.9974, 0.9944, 0.9954, 0.9954, 0.9954, 0.9944, 0.9964, 0.9954, 0.9959
FRL, SMD, True, fpr, 0.9560, 0.9559, 0.9560, 0.9560, 0.9560, 0.9560, 0.9560, 0.9560, 0.9559, 0.9560, 0.9561, 0.9560, 0.9560, 0.9561, 0.9560, 0.9560, 0.9560, 0.9560, 0.9561, 0.9560, 0.9561, 0.9560, 0.9560, 0.9559, 0.9560, 0.9560, 0.9560, 0.9560, 0.9560, 0.9560, 0.9560, 0.9560
FRL, SMD, True, auc, 0.8352, 0.8358, 0.8355, 0.8356, 0.8349, 0.8356, 0.8355, 0.8355, 0.8359, 0.8356, 0.8349, 0.8354, 0.8353, 0.8352, 0.8356, 0.8349, 0.8354, 0.8350, 0.8353, 0.8356, 0.8349, 0.8354, 0.8351, 0.8355, 0.8352, 0.8355, 0.8356, 0.8353, 0.8352, 0.8356, 0.8355, 0.8353
FRL, SMD, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRR, SMD, True, fpr, 0.9585, 0.9585, 0.9585, 0.9584, 0.9585, 0.9585, 0.9585, 0.9585, 0.9585, 0.9585, 0.9585, 0.9586, 0.9585, 0.9585, 0.9585, 0.9585, 0.9585, 0.9585, 0.9585, 0.9585, 0.9585, 0.9585, 0.9585, 0.9585, 0.9585, 0.9585, 0.9584, 0.9585, 0.9585, 0.9585, 0.9585, 0.9585
FRR, SMD, True, auc, 0.8093, 0.8117, 0.8104, 0.8141, 0.8094, 0.8097, 0.8108, 0.8104, 0.8100, 0.8111, 0.8108, 0.8097, 0.8120, 0.8100, 0.8107, 0.8117, 0.8103, 0.8111, 0.8102, 0.8132, 0.8126, 0.8099, 0.8105, 0.8116, 0.8099, 0.8130, 0.8117, 0.8130, 0.8117, 0.8142, 0.8095, 0.8141
FRR, SMD, True, f1b, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980, 0.9980
