VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9770, 0.9770, 0.9770, 0.9771, 0.9769, 0.9770, 0.9769, 0.9769, 0.9770, 0.9770, 0.9771, 0.9770, 0.9769, 0.9770, 0.9770, 0.9771, 0.9770, 0.9770, 0.9769, 0.9769, 0.9770, 0.9771, 0.9771, 0.9771, 0.9771, 0.9770, 0.9770, 0.9769, 0.9770, 0.9769, 0.9770, 0.9770
FRO, SMD, True, auc, 0.7923, 0.7919, 0.7901, 0.7886, 0.7894, 0.7889, 0.7906, 0.7918, 0.7890, 0.7913, 0.7911, 0.7875, 0.7869, 0.7877, 0.7889, 0.7896, 0.7928, 0.7899, 0.7887, 0.7898, 0.7901, 0.7904, 0.7893, 0.7870, 0.7881, 0.7905, 0.7933, 0.7890, 0.7923, 0.7934, 0.7925, 0.7903
FRO, SMD, True, f1b, 0.8750, 0.8883, 0.8783, 0.8857, 0.8824, 0.8896, 0.8983, 0.8896, 0.8896, 0.8857, 0.8904, 0.8896, 0.8925, 0.8808, 0.8904, 0.8857, 0.9112, 0.8883, 0.8908, 0.8896, 0.8726, 0.8817, 0.8860, 0.8916, 0.8841, 0.8896, 0.8874, 0.8816, 0.8824, 0.8816, 0.8878, 0.8896
FRL, SMD, True, fpr, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771
FRL, SMD, True, auc, 0.7965, 0.7969, 0.7968, 0.7967, 0.7967, 0.7970, 0.7965, 0.7968, 0.7967, 0.7970, 0.7965, 0.7967, 0.7967, 0.7966, 0.7970, 0.7966, 0.7967, 0.7967, 0.7968, 0.7970, 0.7962, 0.7969, 0.7966, 0.7966, 0.7967, 0.7966, 0.7965, 0.7970, 0.7968, 0.7966, 0.7968, 0.7963
FRL, SMD, True, f1b, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125, 0.9125
FRR, SMD, True, fpr, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771, 0.9771
FRR, SMD, True, auc, 0.7931, 0.7960, 0.7921, 0.7937, 0.7928, 0.7931, 0.7953, 0.7935, 0.7949, 0.7951, 0.7939, 0.7924, 0.7959, 0.7920, 0.7934, 0.7921, 0.7917, 0.7942, 0.7942, 0.7938, 0.7937, 0.7946, 0.7941, 0.7927, 0.7920, 0.7933, 0.7916, 0.7945, 0.7942, 0.7957, 0.7932, 0.7953
FRR, SMD, True, f1b, 0.9187, 0.9151, 0.9169, 0.9214, 0.9169, 0.9160, 0.9160, 0.9160, 0.9169, 0.9214, 0.9187, 0.9142, 0.9151, 0.9169, 0.9160, 0.9142, 0.9160, 0.9178, 0.9169, 0.9169, 0.9142, 0.9142, 0.9116, 0.9169, 0.9178, 0.9151, 0.9169, 0.9151, 0.9214, 0.9169, 0.9169, 0.9142
