VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9924, 0.9923, 0.9928, 0.9925, 0.9925, 0.9924, 0.9926, 0.9923, 0.9925, 0.9924, 0.9927, 0.9923, 0.9923, 0.9926, 0.9924, 0.9923, 0.9922, 0.9925, 0.9921, 0.9923, 0.9926, 0.9923, 0.9928, 0.9921, 0.9925, 0.9922, 0.9926, 0.9926, 0.9927, 0.9927, 0.9924, 0.9922
FRO, SMD, True, auc, 0.9788, 0.9789, 0.9781, 0.9785, 0.9785, 0.9788, 0.9784, 0.9790, 0.9789, 0.9788, 0.9777, 0.9784, 0.9783, 0.9781, 0.9790, 0.9788, 0.9788, 0.9790, 0.9791, 0.9791, 0.9786, 0.9785, 0.9783, 0.9790, 0.9784, 0.9788, 0.9783, 0.9785, 0.9785, 0.9783, 0.9784, 0.9787
FRO, SMD, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRL, SMD, True, fpr, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9860, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9861, 0.9862, 0.9861, 0.9861
FRL, SMD, True, auc, 0.9856, 0.9856, 0.9856, 0.9856, 0.9856, 0.9856, 0.9857, 0.9856, 0.9857, 0.9857, 0.9856, 0.9856, 0.9856, 0.9856, 0.9856, 0.9856, 0.9857, 0.9856, 0.9856, 0.9856, 0.9856, 0.9857, 0.9856, 0.9856, 0.9856, 0.9856, 0.9857, 0.9856, 0.9856, 0.9855, 0.9857, 0.9856
FRL, SMD, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRR, SMD, True, fpr, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930, 0.9930
FRR, SMD, True, auc, 0.9792, 0.9791, 0.9794, 0.9794, 0.9792, 0.9794, 0.9793, 0.9794, 0.9793, 0.9792, 0.9793, 0.9793, 0.9793, 0.9793, 0.9793, 0.9793, 0.9793, 0.9793, 0.9793, 0.9794, 0.9793, 0.9792, 0.9792, 0.9793, 0.9793, 0.9793, 0.9792, 0.9792, 0.9793, 0.9792, 0.9794, 0.9793
FRR, SMD, True, f1b, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877
