VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9824, 0.9823, 0.9824, 0.9824, 0.9824, 0.9823, 0.9823, 0.9823, 0.9823, 0.9823, 0.9823, 0.9824, 0.9823, 0.9823, 0.9824, 0.9823, 0.9824, 0.9823, 0.9823, 0.9823, 0.9823, 0.9823, 0.9824, 0.9824, 0.9823, 0.9823, 0.9824, 0.9823, 0.9823, 0.9823, 0.9823, 0.9823
FRO, SMD, True, auc, 0.7474, 0.7392, 0.7393, 0.7421, 0.7345, 0.7481, 0.7438, 0.7371, 0.7387, 0.7403, 0.7356, 0.7378, 0.7413, 0.7426, 0.7391, 0.7406, 0.7337, 0.7408, 0.7445, 0.7337, 0.7358, 0.7465, 0.7410, 0.7382, 0.7398, 0.7387, 0.7367, 0.7426, 0.7442, 0.7436, 0.7441, 0.7392
FRO, SMD, True, f1b, 0.9089, 0.9135, 0.9103, 0.9233, 0.9100, 0.9100, 0.9394, 0.9075, 0.9157, 0.9133, 0.9145, 0.9100, 0.9100, 0.9100, 0.9110, 0.9121, 0.9075, 0.9121, 0.9100, 0.9157, 0.9100, 0.9089, 0.9100, 0.9302, 0.9028, 0.9110, 0.8960, 0.9145, 0.9157, 0.9133, 0.9089, 0.9190
FRL, SMD, True, fpr, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819, 0.9819
FRL, SMD, True, auc, 0.8737, 0.8737, 0.8735, 0.8736, 0.8737, 0.8739, 0.8733, 0.8737, 0.8733, 0.8736, 0.8733, 0.8736, 0.8732, 0.8734, 0.8732, 0.8737, 0.8732, 0.8736, 0.8736, 0.8737, 0.8734, 0.8735, 0.8735, 0.8734, 0.8735, 0.8735, 0.8735, 0.8734, 0.8735, 0.8737, 0.8737, 0.8734
FRL, SMD, True, f1b, 0.8965, 0.8965, 0.8942, 0.8942, 0.8947, 0.8965, 0.8942, 0.8942, 0.8942, 0.8965, 0.8953, 0.8942, 0.8942, 0.8942, 0.8942, 0.8947, 0.8942, 0.8947, 0.8947, 0.8947, 0.8942, 0.8942, 0.8953, 0.8953, 0.8942, 0.8965, 0.8942, 0.8942, 0.8965, 0.8965, 0.8953, 0.8942
FRR, SMD, True, fpr, 0.9818, 0.9819, 0.9818, 0.9819, 0.9818, 0.9819, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9819, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9819, 0.9819, 0.9818, 0.9818, 0.9818, 0.9818, 0.9819, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818, 0.9818
FRR, SMD, True, auc, 0.7557, 0.7548, 0.7644, 0.7521, 0.7575, 0.7608, 0.7505, 0.7532, 0.7485, 0.7546, 0.7552, 0.7561, 0.7512, 0.7526, 0.7608, 0.7482, 0.7614, 0.7538, 0.7543, 0.7512, 0.7543, 0.7521, 0.7498, 0.7538, 0.7602, 0.7632, 0.7562, 0.7590, 0.7565, 0.7586, 0.7528, 0.7569
FRR, SMD, True, f1b, 0.9195, 0.9237, 0.9213, 0.9219, 0.9195, 0.9219, 0.9231, 0.9172, 0.9237, 0.9195, 0.9219, 0.9231, 0.9231, 0.9195, 0.9207, 0.9237, 0.9207, 0.9237, 0.9195, 0.9207, 0.9213, 0.9207, 0.9184, 0.9195, 0.9231, 0.9207, 0.9195, 0.9237, 0.9195, 0.9237, 0.9237, 0.9231
