VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.8417, 0.8417, 0.8417, 0.8417, 0.8417, 0.8417, 0.8417, 0.8418, 0.8416, 0.8417, 0.8417, 0.8417, 0.8417, 0.8417, 0.8417, 0.8417, 0.8417, 0.8418, 0.8417, 0.8417, 0.8417, 0.8416, 0.8417, 0.8417, 0.8417, 0.8417, 0.8417, 0.8417, 0.8417, 0.8417, 0.8417, 0.8417
FRO, SMAP, True, auc, 0.5645, 0.5646, 0.5646, 0.5645, 0.5646, 0.5646, 0.5645, 0.5643, 0.5645, 0.5646, 0.5646, 0.5646, 0.5646, 0.5646, 0.5645, 0.5646, 0.5645, 0.5643, 0.5645, 0.5646, 0.5646, 0.5647, 0.5647, 0.5646, 0.5645, 0.5644, 0.5644, 0.5647, 0.5645, 0.5647, 0.5646, 0.5646
FRO, SMAP, True, f1b, 0.2717, 0.2717, 0.2717, 0.2717, 0.9996, 0.2717, 0.2717, 0.2717, 0.9727, 0.2717, 0.2717, 0.2717, 0.2717, 0.2717, 0.9996, 0.9996, 0.2717, 0.2717, 0.9985, 0.2717, 0.2717, 0.9727, 1.0000, 0.2717, 0.2717, 0.2717, 0.2717, 0.2717, 0.2717, 0.9727, 0.2717, 0.2717
FRL, SMAP, True, fpr, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428
FRL, SMAP, True, auc, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530
FRL, SMAP, True, f1b, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727
FRR, SMAP, True, fpr, 0.8418, 0.8419, 0.8418, 0.8418, 0.8419, 0.8418, 0.8418, 0.8418, 0.8418, 0.8418, 0.8418, 0.8418, 0.8418, 0.8418, 0.8418, 0.8418, 0.8418, 0.8419, 0.8418, 0.8418, 0.8419, 0.8419, 0.8418, 0.8418, 0.8418, 0.8418, 0.8418, 0.8418, 0.8418, 0.8418, 0.8418, 0.8419
FRR, SMAP, True, auc, 0.5642, 0.5639, 0.5642, 0.5642, 0.5639, 0.5641, 0.5643, 0.5641, 0.5642, 0.5641, 0.5641, 0.5642, 0.5643, 0.5641, 0.5642, 0.5641, 0.5641, 0.5639, 0.5642, 0.5642, 0.5639, 0.5639, 0.5642, 0.5641, 0.5642, 0.5642, 0.5642, 0.5642, 0.5641, 0.5642, 0.5641, 0.5639
FRR, SMAP, True, f1b, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727, 0.9727
OCSVM, SMAP, True, fpr, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428, 0.8428
OCSVM, SMAP, True, auc, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530, 0.5530
