VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, MSL, True, fpr, 0.9510, 0.9444, 0.9449, 0.9449, 0.9449, 0.9450, 0.9510, 0.9510, 0.9449, 0.9448, 0.9444, 0.9449, 0.9450, 0.9446, 0.9510, 0.9451, 0.9449, 0.9451, 0.9449, 0.9450, 0.9510, 0.9510, 0.9510, 0.9449, 0.9450, 0.9448, 0.9449, 0.9447, 0.9451, 0.9450, 0.9449, 0.9447
FRO, MSL, True, auc, 0.6117, 0.6123, 0.6120, 0.6115, 0.6121, 0.6123, 0.6125, 0.6141, 0.6124, 0.6122, 0.6120, 0.6122, 0.6117, 0.6123, 0.6124, 0.6145, 0.6124, 0.6143, 0.6112, 0.6122, 0.6120, 0.6120, 0.6116, 0.6120, 0.6124, 0.6118, 0.6120, 0.6122, 0.6120, 0.6115, 0.6196, 0.6118
FRO, MSL, True, f1b, 0.2049, 0.2055, 0.2053, 0.2049, 0.2053, 0.2056, 0.2053, 0.9901, 0.2056, 0.2055, 0.2053, 0.2055, 0.2051, 0.2056, 0.2055, 1.0000, 0.2056, 1.0000, 0.2045, 0.2055, 0.2052, 0.2052, 0.2049, 0.2053, 0.2056, 0.2052, 0.2053, 0.2055, 0.2053, 0.2048, 0.9772, 0.2052
FRL, MSL, True, fpr, 0.9449, 0.9449, 0.9448, 0.9449, 0.9449, 0.9449, 0.9449, 0.9449, 0.9449, 0.9449, 0.9449, 0.9449, 0.9449, 0.9449, 0.9449, 0.9449, 0.9449, 0.9449, 0.9449, 0.9449, 0.9449, 0.9449, 0.9449, 0.9449, 0.9448, 0.9449, 0.9449, 0.9449, 0.9448, 0.9449, 0.9448, 0.9449
FRL, MSL, True, auc, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125, 0.6125
FRL, MSL, True, f1b, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056, 0.2056
FRR, MSL, True, fpr, 0.9448, 0.9449, 0.9449, 0.9450, 0.9449, 0.9449, 0.9449, 0.9446, 0.9449, 0.9449, 0.9448, 0.9449, 0.9449, 0.9449, 0.9449, 0.9448, 0.9449, 0.9449, 0.9448, 0.9448, 0.9449, 0.9448, 0.9448, 0.9448, 0.9449, 0.9448, 0.9449, 0.9448, 0.9448, 0.9448, 0.9449, 0.9448
FRR, MSL, True, auc, 0.6139, 0.6123, 0.6120, 0.6123, 0.6122, 0.6123, 0.6123, 0.6120, 0.6123, 0.6124, 0.6121, 0.6120, 0.6122, 0.6121, 0.6123, 0.6119, 0.6123, 0.6123, 0.6144, 0.6123, 0.6124, 0.6122, 0.6123, 0.6123, 0.6120, 0.6124, 0.6122, 0.6124, 0.6123, 0.6121, 0.6124, 0.6122
FRR, MSL, True, f1b, 0.9901, 0.2056, 0.2053, 0.2056, 0.2055, 0.2056, 0.2056, 0.2053, 0.2056, 0.2056, 0.2053, 0.2053, 0.2055, 0.2053, 0.2056, 0.2052, 0.2056, 0.2056, 1.0000, 0.2056, 0.2056, 0.2055, 0.2056, 0.2056, 0.2053, 0.2056, 0.2055, 0.2056, 0.2056, 0.2053, 0.2056, 0.2055
OCSVM, MSL, True, fpr, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597, 0.9597
