VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9955, 0.9955, 0.9955, 0.9956, 0.9956, 0.9956, 0.9955, 0.9956, 0.9956, 0.9956, 0.9956, 0.9955, 0.9956, 0.9956, 0.9956
FRO, SMD, True, auc, 0.7510, 0.7554, 0.7551, 0.7544, 0.7546, 0.7573, 0.7542, 0.7568, 0.7567, 0.7565, 0.7585, 0.7526, 0.7524, 0.7525, 0.7519, 0.7550, 0.7562, 0.7561, 0.7507, 0.7550, 0.7527, 0.7512, 0.7545, 0.7554, 0.7571, 0.7528, 0.7554, 0.7551, 0.7528, 0.7504, 0.7516, 0.7565
FRO, SMD, True, f1b, 0.3497, 0.3650, 0.3769, 0.3597, 0.3472, 0.5203, 0.3780, 0.4054, 0.4673, 0.4983, 0.4360, 0.3363, 0.3485, 0.3407, 0.3249, 0.4225, 0.3386, 0.4918, 0.3056, 0.4248, 0.3606, 0.3411, 0.3895, 0.4067, 0.3456, 0.4018, 0.4103, 0.4518, 0.3198, 0.3310, 0.3243, 0.4043
FRL, SMD, True, fpr, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956
FRL, SMD, True, auc, 0.7640, 0.7637, 0.7639, 0.7638, 0.7641, 0.7638, 0.7637, 0.7637, 0.7639, 0.7636, 0.7641, 0.7640, 0.7638, 0.7640, 0.7639, 0.7639, 0.7640, 0.7638, 0.7639, 0.7642, 0.7637, 0.7638, 0.7641, 0.7637, 0.7638, 0.7637, 0.7637, 0.7638, 0.7639, 0.7641, 0.7639, 0.7637
FRL, SMD, True, f1b, 0.1309, 0.1308, 0.1307, 0.1309, 0.1312, 0.1311, 0.1308, 0.1310, 0.1311, 0.1309, 0.1312, 0.1309, 0.1309, 0.1312, 0.1310, 0.1312, 0.1311, 0.1309, 0.1312, 0.1312, 0.1308, 0.1311, 0.1311, 0.1308, 0.1310, 0.1308, 0.1309, 0.1306, 0.1312, 0.1313, 0.1311, 0.1305
FRR, SMD, True, fpr, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956, 0.9956
FRR, SMD, True, auc, 0.7883, 0.7879, 0.7887, 0.7870, 0.7863, 0.7876, 0.7893, 0.7870, 0.7845, 0.7843, 0.7906, 0.7857, 0.7895, 0.7876, 0.7848, 0.7861, 0.7801, 0.7865, 0.7865, 0.7885, 0.7865, 0.7876, 0.7849, 0.7874, 0.7845, 0.7853, 0.7838, 0.7869, 0.7895, 0.7859, 0.7860, 0.7837
FRR, SMD, True, f1b, 0.6640, 0.6510, 0.7345, 0.6721, 0.7545, 0.6776, 0.6510, 0.7217, 0.7411, 0.7004, 0.7124, 0.7281, 0.6946, 0.7155, 0.6849, 0.7444, 0.6640, 0.6459, 0.7281, 0.6587, 0.7545, 0.6194, 0.7094, 0.7545, 0.6561, 0.7186, 0.7615, 0.6776, 0.7411, 0.6888, 0.7186, 0.6917
