VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877
FRO, SMAP, True, auc, 0.5068, 0.5061, 0.5060, 0.5062, 0.5069, 0.5068, 0.5071, 0.5067, 0.5068, 0.5060, 0.5030, 0.5060, 0.5064, 0.5066, 0.5046, 0.5071, 0.5063, 0.5066, 0.5067, 0.5062, 0.5068, 0.5061, 0.5064, 0.5067, 0.5063, 0.5070, 0.5062, 0.5032, 0.5069, 0.5066, 0.5065, 0.5038
FRO, SMAP, True, f1b, 0.0193, 0.0193, 0.0193, 0.0193, 0.0193, 0.0193, 0.0193, 0.0193, 0.0193, 1.0000, 0.0193, 0.0193, 0.0193, 0.0193, 0.0193, 0.0193, 0.0193, 0.9882, 1.0000, 0.0193, 0.0193, 1.0000, 0.0193, 0.0193, 0.0193, 0.0193, 0.0193, 1.0000, 0.0193, 0.0193, 0.0193, 1.0000
FRL, SMAP, True, fpr, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877
FRL, SMAP, True, auc, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879, 0.4879
FRL, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRR, SMAP, True, fpr, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877
FRR, SMAP, True, auc, 0.5070, 0.5069, 0.5070, 0.5070, 0.5068, 0.5071, 0.5069, 0.5068, 0.5070, 0.5069, 0.5070, 0.5068, 0.5069, 0.5069, 0.5069, 0.5071, 0.5069, 0.5070, 0.5069, 0.5069, 0.5070, 0.5069, 0.5071, 0.5070, 0.5069, 0.5070, 0.5070, 0.5069, 0.5069, 0.5070, 0.5064, 0.5069
FRR, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
OCSVM, SMAP, True, fpr, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877, 0.9877
OCSVM, SMAP, True, auc, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895, 0.4895
