VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9054, 0.9053, 0.9054, 0.9053, 0.9053, 0.9054, 0.9053, 0.9054, 0.9053, 0.9054, 0.9054, 0.9053, 0.9054, 0.9054, 0.9054, 0.9054, 0.9053, 0.9054, 0.9053, 0.9053, 0.9053, 0.9054, 0.9054, 0.9053, 0.9054, 0.9053, 0.9054, 0.9054, 0.9053, 0.9053, 0.9053, 0.9054
FRO, SMD, True, auc, 0.7203, 0.7213, 0.7201, 0.7230, 0.7198, 0.7201, 0.7209, 0.7227, 0.7236, 0.7204, 0.7215, 0.7203, 0.7201, 0.7193, 0.7206, 0.7237, 0.7194, 0.7209, 0.7184, 0.7193, 0.7206, 0.7214, 0.7216, 0.7209, 0.7222, 0.7215, 0.7228, 0.7215, 0.7196, 0.7217, 0.7212, 0.7188
FRO, SMD, True, f1b, 0.9957, 0.9959, 0.9954, 0.9963, 0.9959, 0.9950, 0.9956, 0.9957, 0.9956, 0.9957, 0.9959, 0.9959, 0.9957, 0.9961, 0.9956, 0.9957, 0.9957, 0.9963, 0.9963, 0.9959, 0.9957, 0.9969, 0.9952, 0.9959, 0.9957, 0.9963, 0.9959, 0.9957, 0.9956, 0.9956, 0.9959, 0.9956
FRL, SMD, True, fpr, 0.8945, 0.8949, 0.8946, 0.8947, 0.8947, 0.8949, 0.8946, 0.8949, 0.8949, 0.8949, 0.8948, 0.8947, 0.8946, 0.8949, 0.8949, 0.8949, 0.8948, 0.8948, 0.8946, 0.8946, 0.8949, 0.8949, 0.8950, 0.8945, 0.8948, 0.8946, 0.8949, 0.8946, 0.8944, 0.8948, 0.8950, 0.8948
FRL, SMD, True, auc, 0.8510, 0.8509, 0.8514, 0.8515, 0.8511, 0.8513, 0.8513, 0.8510, 0.8514, 0.8512, 0.8510, 0.8513, 0.8513, 0.8511, 0.8514, 0.8512, 0.8514, 0.8511, 0.8514, 0.8514, 0.8514, 0.8515, 0.8512, 0.8514, 0.8514, 0.8512, 0.8511, 0.8509, 0.8512, 0.8514, 0.8517, 0.8511
FRL, SMD, True, f1b, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994, 0.9994
FRR, SMD, True, fpr, 0.9052, 0.9051, 0.9050, 0.9051, 0.9051, 0.9052, 0.9051, 0.9051, 0.9050, 0.9051, 0.9051, 0.9051, 0.9051, 0.9051, 0.9051, 0.9051, 0.9051, 0.9051, 0.9051, 0.9051, 0.9051, 0.9051, 0.9051, 0.9051, 0.9051, 0.9051, 0.9051, 0.9052, 0.9052, 0.9052, 0.9051, 0.9052
FRR, SMD, True, auc, 0.8170, 0.8176, 0.8177, 0.8191, 0.8171, 0.8187, 0.8172, 0.8188, 0.8188, 0.8187, 0.8173, 0.8184, 0.8168, 0.8163, 0.8174, 0.8172, 0.8175, 0.8166, 0.8166, 0.8172, 0.8176, 0.8175, 0.8168, 0.8186, 0.8172, 0.8167, 0.8156, 0.8178, 0.8159, 0.8172, 0.8186, 0.8167
FRR, SMD, True, f1b, 0.9978, 0.9976, 0.9976, 0.9972, 0.9972, 0.9976, 0.9976, 0.9976, 0.9974, 0.9976, 0.9974, 0.9976, 0.9976, 0.9978, 0.9976, 0.9978, 0.9978, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9976, 0.9978, 0.9976, 0.9972, 0.9976, 0.9974, 0.9978, 0.9974
