VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
DBSCAN, SMAP, True, auc, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280, 0.4280
DBSCAN, SMAP, True, f1b, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661, 0.8661
GMM, SMAP, True, fpr, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863
GMM, SMAP, True, auc, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222, 0.4222
GMM, SMAP, True, f1b, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746, 0.7746
IF, SMAP, True, fpr, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863
IF, SMAP, True, auc, 0.4221, 0.4222, 0.4225, 0.4226, 0.4219, 0.4225, 0.4225, 0.4220, 0.4227, 0.4227, 0.4225, 0.4225, 0.4232, 0.4233, 0.4223, 0.4224, 0.4227, 0.4232, 0.4228, 0.4228, 0.4226, 0.4227, 0.4223, 0.4227, 0.4228, 0.4232, 0.4232, 0.4225, 0.4231, 0.4226, 0.4222, 0.4222
IF, SMAP, True, f1b, 0.9091, 0.7829, 0.7483, 0.9649, 0.9692, 0.8835, 0.9322, 0.8000, 0.7639, 0.9778, 0.7285, 0.9692, 0.9129, 0.8271, 0.9129, 0.7774, 0.7774, 0.7560, 0.9607, 0.9322, 0.9821, 0.9735, 0.9483, 0.8462, 0.9607, 0.9692, 0.7971, 0.8835, 0.7560, 0.7719, 0.9607, 0.7534
LSTM, SMAP, True, fpr, 0.9849, 0.9858, 0.9861, 0.9847, 0.9845, 0.9852, 0.9835, 0.9857, 0.9863, 0.9832, 0.9861, 0.9863, 0.9857, 0.9854, 0.9864, 0.9854, 0.9863, 0.9861, 0.9837, 0.9853, 0.9860, 0.9862, 0.9859, 0.9862, 0.9860, 0.9861, 0.9858, 0.9853, 0.9853, 0.9860, 0.9834, 0.9838
LSTM, SMAP, True, auc, 0.3694, 0.3708, 0.3782, 0.3585, 0.3728, 0.3730, 0.3474, 0.3716, 0.4159, 0.3484, 0.3793, 0.3864, 0.3597, 0.3683, 0.3271, 0.3785, 0.3623, 0.3100, 0.3523, 0.3415, 0.3833, 0.3227, 0.3475, 0.3159, 0.3692, 0.3256, 0.3695, 0.4012, 0.3246, 0.3255, 0.3236, 0.3306
LSTM, SMAP, True, f1b, 0.6215, 0.6647, 0.6215, 0.5556, 0.6433, 0.5699, 0.6094, 0.5392, 0.8907, 0.6286, 0.6358, 0.6452, 0.6162, 0.6094, 0.8209, 0.5598, 0.6027, 0.5263, 0.9167, 0.5670, 0.6111, 0.5405, 0.5201, 0.6286, 0.6268, 0.6340, 0.6232, 0.5805, 0.6528, 0.6452, 0.6180, 0.6832
GRU, SMAP, True, fpr, 0.9827, 0.9862, 0.9854, 0.9851, 0.9845, 0.9863, 0.9863, 0.9863, 0.9850, 0.9845, 0.9840, 0.9854, 0.9862, 0.9855, 0.9855, 0.9845, 0.9855, 0.9858, 0.9855, 0.9861, 0.9850, 0.9860, 0.9829, 0.9852, 0.9853, 0.9863, 0.9863, 0.9863, 0.9864, 0.9863, 0.9847, 0.9856
GRU, SMAP, True, auc, 0.3519, 0.3153, 0.3381, 0.3662, 0.3717, 0.4049, 0.3768, 0.3214, 0.3591, 0.3781, 0.3119, 0.3693, 0.3835, 0.4029, 0.3467, 0.3528, 0.3850, 0.3834, 0.4235, 0.3952, 0.3908, 0.3349, 0.3673, 0.3560, 0.3912, 0.4291, 0.3992, 0.3991, 0.3505, 0.3682, 0.3701, 0.3743
GRU, SMAP, True, f1b, 0.6728, 0.6490, 0.6490, 0.8429, 0.6548, 0.9910, 0.9778, 0.9692, 0.6197, 0.6250, 0.5962, 0.5379, 0.9483, 0.5774, 0.9442, 0.6395, 0.9865, 0.8240, 0.7309, 0.8397, 0.9483, 0.4857, 0.6197, 0.6414, 0.8118, 0.9362, 0.8029, 0.8209, 0.6377, 0.6304, 0.6452, 0.8627
AE, SMAP, True, fpr, 0.9863, 0.9863, 0.9863, 0.9863, 0.9862, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9861, 0.9863, 0.9863, 0.9864, 0.9863, 0.9863, 0.9863, 0.9862, 0.9863, 0.9863, 0.9822, 0.9863, 0.9863, 0.9863, 0.9863, 0.9862, 0.9863
AE, SMAP, True, auc, 0.3967, 0.3697, 0.4236, 0.4248, 0.5782, 0.4241, 0.4245, 0.4209, 0.4004, 0.3781, 0.4247, 0.4242, 0.3951, 0.4000, 0.4031, 0.5910, 0.4237, 0.4224, 0.5660, 0.4251, 0.4212, 0.4241, 0.3983, 0.4000, 0.4226, 0.5819, 0.5867, 0.4078, 0.4076, 0.4244, 0.3886, 0.4239
AE, SMAP, True, f1b, 0.8594, 0.8835, 0.8429, 0.9016, 0.8088, 0.8302, 0.8800, 0.9205, 0.8029, 0.8661, 0.8943, 0.7774, 0.7746, 0.8365, 0.8000, 0.9053, 0.9322, 0.8594, 0.8943, 0.8178, 0.8661, 0.8765, 0.7857, 0.8118, 0.9091, 0.7746, 0.8462, 0.8560, 0.7383, 0.9205, 0.8494, 0.8560
VAE, SMAP, True, fpr, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.9862, 0.9862
VAE, SMAP, True, auc, 0.4018, 0.3964, 0.4086, 0.4047, 0.4017, 0.4032, 0.3982, 0.4049, 0.3969, 0.4034, 0.4016, 0.3964, 0.4028, 0.4028, 0.4010, 0.4000, 0.4018, 0.4014, 0.3953, 0.3980, 0.4014, 0.4027, 0.4013, 0.3983, 0.4057, 0.4102, 0.4013, 0.4076, 0.3966, 0.4076, 0.4060, 0.4016
VAE, SMAP, True, f1b, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837, 0.0837
OP, SMAP, True, fpr, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826, 0.9826
OP, SMAP, True, auc, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996, 0.4996
OP, SMAP, True, f1b, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269, 0.0269
RAND, SMAP, True, fpr, 0.9863, 0.9863, 0.9864, 0.9862, 0.9862, 0.9862, 0.9863, 0.9862, 0.9862, 0.9864, 0.9862, 0.9864, 0.9863, 0.9862, 0.9862, 0.9864, 0.9862, 0.9863, 0.9859, 0.9863, 0.9863, 0.9863, 0.9864, 0.9864, 0.9864, 0.9864, 0.9863, 0.9862, 0.9863, 0.9863, 0.9864, 0.9863
RAND, SMAP, True, auc, 0.5143, 0.5093, 0.5345, 0.4945, 0.5208, 0.4623, 0.5118, 0.4622, 0.4533, 0.4834, 0.4898, 0.5144, 0.5268, 0.5129, 0.5167, 0.5007, 0.5227, 0.4997, 0.5354, 0.5299, 0.5089, 0.4981, 0.4989, 0.4855, 0.4932, 0.5069, 0.4858, 0.5072, 0.5452, 0.4940, 0.5165, 0.5292
RAND, SMAP, True, f1b, 0.8462, 0.8059, 0.8907, 0.8800, 0.9483, 0.7120, 0.9649, 0.9483, 0.4175, 0.8302, 0.5851, 0.9649, 0.8661, 0.6111, 0.9016, 0.4803, 0.4612, 0.7586, 0.7309, 0.9649, 0.7383, 0.4632, 0.5898, 0.9091, 0.7029, 0.9053, 0.8494, 0.9205, 0.4911, 0.8333, 0.8240, 0.5570
