VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, MSL, True, fpr, 0.4965, 0.4965, 1.0000, 0.4965, 0.4965, 0.4982, 0.4965, 0.4991, 1.0000, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4954, 0.4965, 0.4969, 1.0000, 0.4971, 0.4965, 0.4965, 1.0000, 0.4969, 0.4965, 1.0000, 0.4987, 0.4969, 0.4965, 0.4965, 1.0000, 0.4965, 1.0000
FRO, MSL, True, auc, 0.3890, 0.3884, 0.3878, 0.3885, 0.3900, 0.3881, 0.3898, 0.3870, 0.3876, 0.3913, 0.3915, 0.3889, 0.3927, 0.3889, 0.3883, 0.3887, 0.3880, 0.3874, 0.3893, 0.3883, 0.3882, 0.3864, 0.3879, 0.3885, 0.3889, 0.3892, 0.3895, 0.3890, 0.3891, 0.3885, 0.3894, 0.3853
FRO, MSL, True, f1b, 1.0000, 0.9996, 0.9996, 0.9996, 1.0000, 1.0000, 1.0000, 0.9996, 0.9996, 0.9996, 1.0000, 1.0000, 1.0000, 0.9996, 0.9991, 0.9996, 0.9996, 0.9996, 1.0000, 0.9991, 0.9991, 0.9991, 0.9996, 0.9996, 1.0000, 1.0000, 1.0000, 0.9996, 1.0000, 1.0000, 1.0000, 0.9991
FRL, MSL, True, fpr, 1.0000, 0.4965, 0.4965, 1.0000, 0.4965, 0.4965, 0.4974, 0.4991, 0.4987, 0.4969, 0.4989, 0.4989, 0.4965, 0.4965, 0.4965, 0.4965, 0.4971, 0.4974, 0.4989, 0.4974, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965
FRL, MSL, True, auc, 0.6830, 0.7014, 0.7014, 0.6838, 0.7014, 0.7017, 0.6854, 0.7015, 0.7009, 0.7017, 0.6839, 0.6838, 0.7014, 0.7017, 0.7015, 0.7014, 0.7017, 0.6854, 0.7016, 0.6840, 0.7017, 0.7015, 0.7014, 0.7017, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7015, 0.6840, 0.7015
FRL, MSL, True, f1b, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186, 0.9186
FRR, MSL, True, fpr, 0.4967, 0.4954, 0.4965, 1.0000, 0.4969, 0.4965, 0.4965, 0.4974, 0.4969, 0.4965, 0.4965, 0.4991, 1.0000, 1.0000, 1.0000, 1.0000, 0.4965, 0.4976, 0.4965, 0.4965, 0.4974, 0.4965, 0.4965, 0.4991, 0.4969, 1.0000, 0.4965, 0.4969, 0.4965, 1.0000, 0.4965, 0.4969
FRR, MSL, True, auc, 0.3884, 0.3883, 0.3911, 0.3887, 0.3887, 0.3900, 0.3886, 0.3887, 0.3886, 0.3889, 0.3892, 0.3877, 0.3887, 0.3878, 0.3879, 0.3878, 0.3888, 0.3878, 0.3897, 0.3910, 0.3885, 0.3924, 0.3889, 0.3875, 0.3888, 0.3886, 0.3900, 0.3885, 0.3885, 0.3878, 0.3890, 0.3896
FRR, MSL, True, f1b, 1.0000, 0.9996, 0.9996, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.9996, 0.9996, 0.9996, 0.9996, 1.0000, 1.0000, 0.9996, 0.9996, 0.9996, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.9996
OCSVM, MSL, True, fpr, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965, 0.4965
