VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, MSL, True, fpr, 0.8966, 0.7995, 0.7997, 0.7992, 0.8123, 0.8967, 0.7981, 0.7971, 0.7976, 0.7972, 0.7989, 0.8141, 0.7963, 0.7990, 0.7974, 0.7971, 0.8968, 0.7989, 0.7976, 0.7976, 0.7984, 0.8969, 0.8971, 0.7995, 0.7989, 0.8130, 0.7971, 0.7992, 0.7981, 0.8966, 0.7976, 0.7985
FRO, MSL, True, auc, 0.4923, 0.4997, 0.5002, 0.5005, 0.5003, 0.4934, 0.5006, 0.4999, 0.5005, 0.5006, 0.5003, 0.5025, 0.5007, 0.5029, 0.5004, 0.5007, 0.4869, 0.5003, 0.5005, 0.5018, 0.5026, 0.4973, 0.4941, 0.5001, 0.5025, 0.4998, 0.5010, 0.4995, 0.5007, 0.4939, 0.5026, 0.5006
FRO, MSL, True, f1b, 0.3615, 0.3636, 0.3626, 0.3634, 0.3615, 0.7353, 0.3626, 0.3663, 0.3615, 0.3650, 0.3623, 0.7500, 0.3647, 0.7500, 0.3652, 0.3595, 0.9785, 0.3647, 0.3658, 0.7500, 0.1866, 0.3618, 0.3487, 0.3660, 0.7463, 0.3663, 0.3655, 0.1866, 0.3636, 0.7463, 0.7444, 0.3623
FRL, MSL, True, fpr, 0.7997, 0.7998, 0.7997, 0.7997, 0.7997, 0.7997, 0.7997, 0.7997, 0.7997, 0.7997, 0.7998, 0.7998, 0.7997, 0.7997, 0.7997, 0.7997, 0.7997, 0.7997, 0.7997, 0.7997, 0.7997, 0.7998, 0.7997, 0.7997, 0.7998, 0.7997, 0.7998, 0.7998, 0.7997, 0.7997, 0.7997, 0.7997
FRL, MSL, True, auc, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998, 0.4998
FRL, MSL, True, f1b, 0.3479, 0.3477, 0.3477, 0.3477, 0.3477, 0.3477, 0.3477, 0.3477, 0.3477, 0.3477, 0.3477, 0.3479, 0.3477, 0.3477, 0.3477, 0.3477, 0.3477, 0.3477, 0.3477, 0.3477, 0.3477, 0.3479, 0.3479, 0.3477, 0.3477, 0.3477, 0.3479, 0.3479, 0.3477, 0.3477, 0.3477, 0.3477
FRR, MSL, True, fpr, 0.8136, 0.8000, 0.7994, 0.7985, 0.7997, 0.7992, 0.7974, 0.7974, 0.7994, 0.7997, 0.7972, 0.7976, 0.7989, 0.7969, 0.7985, 0.7985, 0.7976, 0.7992, 0.8129, 0.7994, 0.7974, 0.7985, 0.7976, 0.7987, 0.7981, 0.7976, 0.8000, 0.7997, 0.7976, 0.7987, 0.7976, 0.7981
FRR, MSL, True, auc, 0.4995, 0.5001, 0.4998, 0.4999, 0.5002, 0.5000, 0.4997, 0.5002, 0.4998, 0.4999, 0.4999, 0.5002, 0.4997, 0.5014, 0.4998, 0.4998, 0.4999, 0.4999, 0.4998, 0.5000, 0.4998, 0.5000, 0.5017, 0.5017, 0.4999, 0.4997, 0.5001, 0.4999, 0.4996, 0.4998, 0.5000, 0.4999
FRR, MSL, True, f1b, 0.3647, 0.3642, 0.3668, 0.3628, 0.3639, 0.3639, 0.3642, 0.3650, 0.3608, 0.3574, 0.3658, 0.3636, 0.3631, 0.3647, 0.3631, 0.3602, 0.3636, 0.3634, 0.3636, 0.3674, 0.3636, 0.3652, 0.7500, 0.7500, 0.3655, 0.3618, 0.3636, 0.3634, 0.3636, 0.3628, 0.3658, 0.3650
OCSVM, MSL, True, fpr, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945, 0.8945
