VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922
FRO, SMAP, True, auc, 0.6158, 0.6160, 0.6156, 0.6160, 0.6157, 0.6154, 0.6157, 0.6156, 0.6153, 0.6155, 0.6158, 0.6162, 0.6153, 0.6158, 0.6153, 0.6156, 0.6156, 0.6160, 0.6159, 0.6159, 0.6160, 0.6159, 0.6160, 0.6160, 0.6162, 0.6154, 0.6158, 0.6160, 0.6163, 0.6161, 0.6158, 0.6157
FRO, SMAP, True, f1b, 1.0000, 0.0155, 0.0155, 0.0155, 0.0155, 0.0155, 0.9924, 0.0155, 0.0155, 0.0155, 0.9924, 0.0155, 0.0155, 0.0155, 0.0155, 0.0155, 1.0000, 0.0155, 0.0155, 0.9630, 0.0155, 0.9848, 0.0155, 0.0155, 0.9924, 0.0155, 0.9924, 0.0155, 0.0155, 0.9924, 0.0155, 1.0000
FRL, SMAP, True, fpr, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922
FRL, SMAP, True, auc, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159
FRL, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRR, SMAP, True, fpr, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922
FRR, SMAP, True, auc, 0.6159, 0.6161, 0.6160, 0.6161, 0.6161, 0.6161, 0.6159, 0.6163, 0.6163, 0.6163, 0.6160, 0.6161, 0.6163, 0.6161, 0.6161, 0.6160, 0.6162, 0.6160, 0.6161, 0.6158, 0.6161, 0.6160, 0.6161, 0.6161, 0.6163, 0.6161, 0.6157, 0.6161, 0.6159, 0.6160, 0.6158, 0.6159
FRR, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
OCSVM, SMAP, True, fpr, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922, 0.9922
OCSVM, SMAP, True, auc, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159, 0.6159
