VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, MSL, True, fpr, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273
FRO, MSL, True, auc, 0.4952, 0.4952, 0.4951, 0.4953, 0.4951, 0.4950, 0.4949, 0.4950, 0.4952, 0.4951, 0.4950, 0.4951, 0.4953, 0.4953, 0.4954, 0.4951, 0.4953, 0.4952, 0.4955, 0.4953, 0.4951, 0.4953, 0.4952, 0.4950, 0.4949, 0.4952, 0.4950, 0.4953, 0.4953, 0.4951, 0.4951, 0.4952
FRO, MSL, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.9978, 1.0000, 0.9978, 1.0000, 1.0000, 0.9956, 1.0000, 1.0000, 0.9978, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.9978, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRL, MSL, True, fpr, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273
FRL, MSL, True, auc, 0.4959, 0.4959, 0.4958, 0.4959, 0.4959, 0.4959, 0.4959, 0.4959, 0.4958, 0.4959, 0.4958, 0.4959, 0.4959, 0.4959, 0.4959, 0.4959, 0.4958, 0.4958, 0.4958, 0.4958, 0.4959, 0.4959, 0.4958, 0.4958, 0.4959, 0.4958, 0.4959, 0.4959, 0.4959, 0.4959, 0.4959, 0.4958
FRL, MSL, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRR, MSL, True, fpr, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273
FRR, MSL, True, auc, 0.4950, 0.4950, 0.4951, 0.4951, 0.4951, 0.4949, 0.4948, 0.4950, 0.4950, 0.4948, 0.4949, 0.4951, 0.4950, 0.4950, 0.4951, 0.4951, 0.4949, 0.4950, 0.4948, 0.4951, 0.4950, 0.4950, 0.4950, 0.4949, 0.4951, 0.4950, 0.4951, 0.4952, 0.4951, 0.4952, 0.4949, 0.4948
FRR, MSL, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.9978, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
OCSVM, MSL, True, fpr, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273, 0.9273
