VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9503, 0.9504, 0.9506, 0.9505, 0.9502, 0.9500, 0.9507, 0.9502, 0.9503, 0.9502, 0.9503, 0.9504, 0.9506, 0.9500, 0.9507, 0.9507, 0.9502, 0.9500, 0.9500, 0.9502, 0.9507, 0.9505, 0.9502, 0.9504, 0.9504, 0.9502, 0.9502, 0.9501, 0.9501, 0.9509, 0.9506, 0.9501
FRO, SMD, True, auc, 0.5895, 0.5944, 0.5887, 0.5951, 0.5922, 0.6012, 0.5958, 0.5989, 0.5948, 0.6015, 0.5903, 0.5970, 0.6020, 0.6031, 0.6015, 0.5865, 0.5993, 0.5969, 0.6005, 0.5969, 0.5928, 0.5990, 0.6007, 0.5987, 0.6017, 0.5985, 0.5952, 0.6019, 0.5995, 0.5957, 0.6035, 0.5979
FRO, SMD, True, f1b, 0.8313, 0.8278, 0.8313, 0.8310, 0.8312, 0.8312, 0.8344, 0.8282, 0.8291, 0.8403, 0.8275, 0.8414, 0.2689, 0.8406, 0.8437, 0.8331, 0.8282, 0.8481, 0.8355, 0.8299, 0.8294, 0.8297, 0.8297, 0.8378, 0.8272, 0.8393, 0.8332, 0.8297, 0.8590, 0.8281, 0.8367, 0.8285
FRL, SMD, True, fpr, 0.9517, 0.9517, 0.9517, 0.9517, 0.9518, 0.9517, 0.9518, 0.9517, 0.9517, 0.9517, 0.9517, 0.9517, 0.9518, 0.9517, 0.9517, 0.9517, 0.9517, 0.9517, 0.9518, 0.9517, 0.9517, 0.9518, 0.9518, 0.9518, 0.9517, 0.9518, 0.9517, 0.9517, 0.9517, 0.9517, 0.9518, 0.9518
FRL, SMD, True, auc, 0.6778, 0.6772, 0.6772, 0.6774, 0.6773, 0.6776, 0.6773, 0.6771, 0.6773, 0.6770, 0.6769, 0.6769, 0.6770, 0.6775, 0.6772, 0.6777, 0.6774, 0.6772, 0.6773, 0.6775, 0.6774, 0.6770, 0.6773, 0.6773, 0.6772, 0.6772, 0.6771, 0.6775, 0.6773, 0.6772, 0.6769, 0.6771
FRL, SMD, True, f1b, 0.8947, 0.8947, 0.8950, 0.8944, 0.8954, 0.8944, 0.8947, 0.8947, 0.8947, 0.8950, 0.8941, 0.8950, 0.8944, 0.8947, 0.8944, 0.8944, 0.8944, 0.8944, 0.8947, 0.8944, 0.8944, 0.8947, 0.8944, 0.8947, 0.8944, 0.8954, 0.8947, 0.8944, 0.8944, 0.8944, 0.8950, 0.8944
FRR, SMD, True, fpr, 0.9509, 0.9509, 0.9511, 0.9509, 0.9510, 0.9509, 0.9510, 0.9510, 0.9509, 0.9510, 0.9510, 0.9509, 0.9510, 0.9510, 0.9509, 0.9510, 0.9510, 0.9511, 0.9509, 0.9509, 0.9509, 0.9509, 0.9509, 0.9509, 0.9510, 0.9510, 0.9509, 0.9510, 0.9509, 0.9510, 0.9509, 0.9510
FRR, SMD, True, auc, 0.6104, 0.6098, 0.6085, 0.6100, 0.6091, 0.6089, 0.6097, 0.6089, 0.6084, 0.6071, 0.6081, 0.6089, 0.6066, 0.6083, 0.6094, 0.6095, 0.6081, 0.6097, 0.6076, 0.6102, 0.6089, 0.6096, 0.6098, 0.6081, 0.6103, 0.6097, 0.6095, 0.6092, 0.6093, 0.6085, 0.6093, 0.6090
FRR, SMD, True, f1b, 0.9195, 0.9217, 0.9174, 0.9152, 0.9204, 0.9220, 0.9189, 0.9235, 0.9251, 0.9204, 0.9220, 0.9204, 0.9245, 0.9174, 0.9245, 0.9226, 0.9217, 0.9214, 0.9220, 0.9226, 0.9143, 0.9248, 0.9251, 0.9168, 0.9232, 0.9248, 0.9204, 0.9245, 0.9155, 0.9192, 0.9186, 0.9232
