VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, MSL, True, fpr, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9194, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191
FRO, MSL, True, auc, 0.6211, 0.6211, 0.6210, 0.6211, 0.6210, 0.6209, 0.6213, 0.6212, 0.6210, 0.6209, 0.6208, 0.6209, 0.6210, 0.6224, 0.6213, 0.6211, 0.6212, 0.6210, 0.6210, 0.6209, 0.6210, 0.6213, 0.6224, 0.6213, 0.6212, 0.6221, 0.6211, 0.6225, 0.6226, 0.6212, 0.6211, 0.6210
FRO, MSL, True, f1b, 0.4891, 0.4891, 0.4882, 0.4882, 0.4874, 0.4865, 0.4882, 0.4891, 0.4891, 0.4874, 0.4891, 0.4865, 0.4882, 0.8511, 0.4882, 0.4891, 0.4891, 0.4874, 0.4882, 0.4882, 0.4882, 0.4882, 0.8511, 0.4847, 0.4882, 0.8511, 0.4865, 0.8511, 0.8511, 0.4891, 0.4882, 0.4865
FRL, MSL, True, fpr, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191
FRL, MSL, True, auc, 0.6215, 0.6214, 0.6214, 0.6214, 0.6214, 0.6215, 0.6214, 0.6215, 0.6214, 0.6214, 0.6214, 0.6214, 0.6215, 0.6214, 0.6215, 0.6215, 0.6214, 0.6214, 0.6214, 0.6214, 0.6214, 0.6214, 0.6215, 0.6214, 0.6215, 0.6215, 0.6214, 0.6214, 0.6215, 0.6214, 0.6214, 0.6215
FRL, MSL, True, f1b, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882
FRR, MSL, True, fpr, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191, 0.9191
FRR, MSL, True, auc, 0.6212, 0.6211, 0.6212, 0.6212, 0.6212, 0.6210, 0.6212, 0.6211, 0.6211, 0.6212, 0.6211, 0.6213, 0.6209, 0.6212, 0.6211, 0.6210, 0.6210, 0.6212, 0.6210, 0.6211, 0.6210, 0.6211, 0.6211, 0.6210, 0.6211, 0.6210, 0.6211, 0.6211, 0.6210, 0.6212, 0.6212, 0.6212
FRR, MSL, True, f1b, 0.4882, 0.4874, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4874, 0.4882, 0.4882, 0.4874, 0.4882, 0.4882, 0.4882, 0.4882, 0.4882, 0.4874, 0.4882, 0.4882, 0.4882, 0.4882, 0.4874, 0.4882
OCSVM, MSL, True, fpr, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178, 0.9178
