VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9558, 0.9557, 0.9557, 0.9558, 0.9557, 0.9558, 0.9557, 0.9557, 0.9558, 0.9557, 0.9558, 0.9557, 0.9558, 0.9557, 0.9557, 0.9557, 0.9558, 0.9558, 0.9557, 0.9558, 0.9558, 0.9558, 0.9558, 0.9557, 0.9557, 0.9557, 0.9557, 0.9558, 0.9558, 0.9558, 0.9557, 0.9558
FRO, SMD, True, auc, 0.8558, 0.8589, 0.8523, 0.8575, 0.8529, 0.8541, 0.8576, 0.8598, 0.8515, 0.8577, 0.8531, 0.8540, 0.8574, 0.8582, 0.8538, 0.8557, 0.8547, 0.8487, 0.8544, 0.8551, 0.8573, 0.8548, 0.8541, 0.8526, 0.8505, 0.8593, 0.8520, 0.8542, 0.8550, 0.8565, 0.8585, 0.8522
FRO, SMD, True, f1b, 0.8396, 0.8396, 0.8353, 0.8376, 0.8363, 0.8366, 0.8386, 0.8396, 0.8221, 0.8386, 0.8228, 0.8209, 0.8379, 0.8396, 0.8273, 0.8369, 0.8353, 0.8359, 0.8326, 0.8366, 0.8383, 0.8381, 0.8383, 0.8369, 0.8346, 0.8376, 0.8287, 0.8353, 0.8376, 0.8396, 0.8400, 0.8379
FRL, SMD, True, fpr, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558, 0.9558
FRL, SMD, True, auc, 0.8183, 0.8186, 0.8185, 0.8183, 0.8186, 0.8185, 0.8185, 0.8183, 0.8187, 0.8186, 0.8185, 0.8186, 0.8187, 0.8185, 0.8183, 0.8187, 0.8185, 0.8184, 0.8185, 0.8185, 0.8186, 0.8183, 0.8185, 0.8185, 0.8184, 0.8185, 0.8185, 0.8183, 0.8185, 0.8185, 0.8185, 0.8184
FRL, SMD, True, f1b, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803, 0.5803
FRR, SMD, True, fpr, 0.9555, 0.9556, 0.9555, 0.9555, 0.9555, 0.9555, 0.9556, 0.9556, 0.9555, 0.9556, 0.9556, 0.9556, 0.9556, 0.9556, 0.9556, 0.9556, 0.9555, 0.9556, 0.9556, 0.9556, 0.9556, 0.9555, 0.9556, 0.9555, 0.9555, 0.9556, 0.9556, 0.9555, 0.9556, 0.9556, 0.9555, 0.9556
FRR, SMD, True, auc, 0.8826, 0.8813, 0.8817, 0.8829, 0.8820, 0.8821, 0.8823, 0.8822, 0.8803, 0.8809, 0.8835, 0.8829, 0.8819, 0.8817, 0.8827, 0.8826, 0.8816, 0.8826, 0.8825, 0.8808, 0.8821, 0.8820, 0.8824, 0.8817, 0.8821, 0.8809, 0.8817, 0.8812, 0.8826, 0.8825, 0.8825, 0.8823
FRR, SMD, True, f1b, 0.8342, 0.8349, 0.8320, 0.8371, 0.8363, 0.8363, 0.8349, 0.8363, 0.8353, 0.8335, 0.8363, 0.8411, 0.8335, 0.8371, 0.8389, 0.8320, 0.8335, 0.8346, 0.8331, 0.8374, 0.8346, 0.8385, 0.8356, 0.8342, 0.8335, 0.8360, 0.8342, 0.8353, 0.8378, 0.8342, 0.8331, 0.8353
