VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, MSL, True, fpr, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149
FRO, MSL, True, auc, 0.9273, 0.9270, 0.9275, 0.9270, 0.9274, 0.9268, 0.9267, 0.9262, 0.9285, 0.9269, 0.9280, 0.9272, 0.9266, 0.9285, 0.9281, 0.9278, 0.9281, 0.9266, 0.9251, 0.9282, 0.9273, 0.9280, 0.9255, 0.9269, 0.9271, 0.9268, 0.9283, 0.9255, 0.9284, 0.9277, 0.9258, 0.9275
FRO, MSL, True, f1b, 0.1547, 0.1547, 0.1547, 0.1547, 0.1547, 0.1547, 0.1547, 0.1547, 0.1547, 0.9412, 0.1547, 0.1547, 0.9524, 0.1547, 0.1547, 0.1547, 0.1547, 0.1547, 0.1547, 0.1547, 0.1547, 0.1547, 0.9524, 0.1547, 0.1547, 0.9456, 0.1547, 0.1547, 0.1547, 0.1547, 0.9456, 0.1547
FRL, MSL, True, fpr, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149
FRL, MSL, True, auc, 0.9283, 0.9281, 0.9281, 0.9283, 0.9283, 0.9283, 0.9283, 0.9283, 0.9282, 0.9285, 0.9281, 0.9283, 0.9283, 0.9282, 0.9282, 0.9283, 0.9283, 0.9281, 0.9284, 0.9281, 0.9282, 0.9283, 0.9283, 0.9282, 0.9281, 0.9284, 0.9282, 0.9283, 0.9282, 0.9284, 0.9282, 0.9282
FRL, MSL, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRR, MSL, True, fpr, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149, 0.9149
FRR, MSL, True, auc, 0.9286, 0.9282, 0.9286, 0.9287, 0.9286, 0.9284, 0.9283, 0.9283, 0.9287, 0.9285, 0.9287, 0.9284, 0.9288, 0.9287, 0.9287, 0.9284, 0.9285, 0.9288, 0.9284, 0.9286, 0.9287, 0.9287, 0.9288, 0.9287, 0.9286, 0.9285, 0.9287, 0.9284, 0.9286, 0.9284, 0.9288, 0.9286
FRR, MSL, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
OCSVM, MSL, True, fpr, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574, 0.8574
