VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.9951, 0.9950, 0.9948, 0.9951, 0.9952, 0.9951, 0.9950, 0.9951, 0.9948, 0.9950, 0.9949, 0.9948, 0.9948, 0.9950, 0.9952, 0.9949, 0.9949, 0.9951, 0.9950, 0.9949, 0.9950, 0.9950, 0.9951, 0.9949, 0.9950, 0.9950, 0.9948, 0.9948, 0.9950, 0.9952, 0.9949, 0.9950
FRO, SMAP, True, auc, 0.2825, 0.2826, 0.3068, 0.3058, 0.2829, 0.2813, 0.2826, 0.2834, 0.2855, 0.2826, 0.2825, 0.2862, 0.2848, 0.2817, 0.2824, 0.2832, 0.3071, 0.2821, 0.2820, 0.2835, 0.2837, 0.2831, 0.3061, 0.2838, 0.2840, 0.2828, 0.3302, 0.2862, 0.2848, 0.2823, 0.2844, 0.2817
FRO, SMAP, True, f1b, 0.0095, 0.7843, 1.0000, 0.9877, 0.0095, 0.8989, 0.8081, 0.8333, 0.8333, 0.8511, 0.8163, 0.8333, 0.9877, 0.7843, 0.9091, 0.8889, 0.8333, 0.8791, 0.8421, 0.8696, 0.8000, 0.8511, 0.9877, 0.9639, 0.9877, 0.0095, 1.0000, 0.7921, 0.8989, 0.8333, 0.7767, 0.7921
FRL, SMAP, True, fpr, 0.9952, 0.9951, 0.9952, 0.9951, 0.9952, 0.9951, 0.9952, 0.9951, 0.9952, 1.0000, 0.9951, 1.0000, 0.9952, 0.9952, 0.9952, 0.9951, 0.9952, 1.0000, 0.9952, 0.9952, 0.9952, 0.9951, 0.9951, 0.9952, 0.9951, 0.9951, 0.9952, 0.9952, 0.9952, 0.9952, 0.9952, 0.9952
FRL, SMAP, True, auc, 0.2737, 0.2670, 0.2743, 0.2665, 0.2735, 0.2641, 0.2640, 0.2643, 0.2732, 0.2944, 0.2669, 0.2947, 0.2740, 0.2729, 0.2629, 0.2651, 0.2638, 0.2947, 0.2741, 0.2743, 0.2638, 0.2646, 0.2664, 0.2733, 0.2676, 0.2644, 0.2631, 0.2735, 0.2841, 0.2736, 0.2640, 0.2743
FRL, SMAP, True, f1b, 0.0221, 0.0108, 0.0221, 0.0108, 0.0221, 0.0108, 0.0108, 0.0108, 0.0221, 0.0221, 0.0108, 0.0221, 0.0221, 0.0221, 0.0108, 0.0108, 0.0108, 0.0221, 0.0221, 0.0221, 0.0108, 0.0108, 0.0108, 0.0221, 0.0108, 0.0108, 0.0108, 0.0221, 0.0221, 0.0221, 0.0108, 0.0221
FRR, SMAP, True, fpr, 0.9947, 0.9947, 0.9947, 0.9947, 0.9947, 0.9948, 0.9947, 0.9947, 0.9947, 0.9948, 0.9947, 0.9947, 0.9947, 0.9948, 0.9947, 0.9947, 0.9947, 0.9947, 0.9947, 0.9947, 0.9947, 0.9948, 0.9947, 0.9947, 0.9947, 0.9947, 0.9947, 0.9947, 0.9948, 0.9947, 0.9947, 0.9947
FRR, SMAP, True, auc, 0.2872, 0.2868, 0.2870, 0.2871, 0.2867, 0.2869, 0.2871, 0.2870, 0.2870, 0.2866, 0.2870, 0.2872, 0.2872, 0.2868, 0.2874, 0.2873, 0.2873, 0.2871, 0.2872, 0.2867, 0.2878, 0.2861, 0.2873, 0.2873, 0.2869, 0.2874, 0.2871, 0.2872, 0.2865, 0.2875, 0.2864, 0.2874
FRR, SMAP, True, f1b, 0.7692, 0.7921, 0.7477, 0.7692, 0.7767, 0.8421, 0.9091, 0.7692, 0.8696, 0.8333, 0.7477, 0.7767, 0.7547, 0.7843, 0.8163, 0.8163, 0.7339, 0.7767, 0.7767, 0.7477, 0.7767, 0.7407, 0.8081, 0.8163, 0.7692, 0.8000, 0.7767, 0.8000, 0.7843, 0.8333, 0.7843, 0.8247
OCSVM, SMAP, True, fpr, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742, 0.9742
OCSVM, SMAP, True, auc, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569, 0.7569
