VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655, 0.9655
FRO, SMD, True, auc, 0.6105, 0.6164, 0.6113, 0.6158, 0.6099, 0.6121, 0.6187, 0.6174, 0.6150, 0.6151, 0.6149, 0.6165, 0.6122, 0.6120, 0.6149, 0.6103, 0.6167, 0.6166, 0.6171, 0.6117, 0.6137, 0.6125, 0.6130, 0.6142, 0.6147, 0.6167, 0.6146, 0.6149, 0.6163, 0.6146, 0.6184, 0.6146
FRO, SMD, True, f1b, 0.6172, 0.6054, 0.6107, 0.6172, 0.6340, 0.6368, 0.6268, 0.6052, 0.6195, 0.6186, 0.6271, 0.6326, 0.6172, 0.6177, 0.6212, 0.6226, 0.6103, 0.6262, 0.6293, 0.6133, 0.6177, 0.6226, 0.6363, 0.6026, 0.6289, 0.6239, 0.6312, 0.6212, 0.6056, 0.6244, 0.6031, 0.6006
FRL, SMD, True, fpr, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654, 0.9654
FRL, SMD, True, auc, 0.5744, 0.5746, 0.5743, 0.5742, 0.5738, 0.5753, 0.5744, 0.5744, 0.5753, 0.5745, 0.5745, 0.5738, 0.5748, 0.5745, 0.5738, 0.5741, 0.5746, 0.5740, 0.5741, 0.5745, 0.5737, 0.5739, 0.5750, 0.5748, 0.5741, 0.5747, 0.5746, 0.5741, 0.5740, 0.5760, 0.5743, 0.5746
FRL, SMD, True, f1b, 0.4211, 0.4211, 0.4172, 0.4174, 0.4175, 0.4208, 0.4213, 0.4213, 0.4208, 0.4211, 0.4214, 0.4177, 0.4209, 0.4209, 0.4174, 0.4174, 0.4209, 0.4174, 0.4174, 0.4211, 0.4174, 0.4174, 0.4209, 0.4209, 0.4172, 0.4209, 0.4211, 0.4172, 0.4174, 0.4197, 0.4211, 0.4172
FRR, SMD, True, fpr, 0.9649, 0.9650, 0.9649, 0.9650, 0.9650, 0.9650, 0.9650, 0.9650, 0.9650, 0.9649, 0.9650, 0.9650, 0.9650, 0.9650, 0.9650, 0.9650, 0.9650, 0.9649, 0.9650, 0.9649, 0.9650, 0.9650, 0.9649, 0.9650, 0.9649, 0.9650, 0.9650, 0.9650, 0.9650, 0.9650, 0.9650, 0.9650
FRR, SMD, True, auc, 0.6271, 0.6253, 0.6299, 0.6267, 0.6303, 0.6246, 0.6275, 0.6282, 0.6246, 0.6268, 0.6269, 0.6258, 0.6266, 0.6291, 0.6288, 0.6276, 0.6257, 0.6299, 0.6286, 0.6262, 0.6261, 0.6278, 0.6290, 0.6277, 0.6292, 0.6289, 0.6280, 0.6286, 0.6282, 0.6262, 0.6246, 0.6277
FRR, SMD, True, f1b, 0.5429, 0.5214, 0.5179, 0.5264, 0.5130, 0.5293, 0.4926, 0.5044, 0.5183, 0.4898, 0.5352, 0.5226, 0.5158, 0.5326, 0.5173, 0.5349, 0.5313, 0.5143, 0.5223, 0.5076, 0.5297, 0.5346, 0.5239, 0.5047, 0.5233, 0.5207, 0.4918, 0.5152, 0.5339, 0.4857, 0.5155, 0.5050
