VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
DBSCAN, SMAP, True, auc, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332
DBSCAN, SMAP, True, f1b, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677
GMM, SMAP, True, fpr, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951
GMM, SMAP, True, auc, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332
GMM, SMAP, True, f1b, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677
IF, SMAP, True, fpr, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951
IF, SMAP, True, auc, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332
IF, SMAP, True, f1b, 1.0000, 0.9677, 1.0000, 0.9677, 0.9677, 1.0000, 1.0000, 1.0000, 0.9677, 0.9677, 1.0000, 0.9677, 1.0000, 0.9677, 1.0000, 1.0000, 1.0000, 1.0000, 0.9677, 1.0000, 0.9677, 0.9677, 1.0000, 1.0000, 0.9677, 0.9677, 1.0000, 0.9677, 1.0000, 1.0000, 1.0000, 0.9677
LSTM, SMAP, True, fpr, 0.9951, 0.9950, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9950, 0.9951, 0.9951, 0.9951, 0.9951, 0.9950, 0.9951, 0.9951, 0.9951, 0.9950, 0.9951, 0.9951, 0.9950, 0.9951, 0.9950, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951
LSTM, SMAP, True, auc, 0.7319, 0.7324, 0.7320, 0.7319, 0.7320, 0.7321, 0.7320, 0.7320, 0.7320, 0.7319, 0.7320, 0.7324, 0.7320, 0.7320, 0.7319, 0.7319, 0.7324, 0.7320, 0.7319, 0.7320, 0.7324, 0.7319, 0.7319, 0.7325, 0.7319, 0.7323, 0.7320, 0.7319, 0.7320, 0.7319, 0.7316, 0.7320
LSTM, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
GRU, SMAP, True, fpr, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9951, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950
GRU, SMAP, True, auc, 0.7326, 0.7328, 0.7327, 0.7326, 0.7328, 0.7328, 0.7325, 0.7327, 0.7327, 0.7324, 0.7326, 0.7328, 0.7327, 0.7327, 0.7326, 0.7327, 0.7327, 0.7328, 0.7328, 0.7328, 0.7327, 0.7321, 0.7326, 0.7326, 0.7326, 0.7329, 0.7327, 0.7325, 0.7327, 0.7326, 0.7327, 0.7328
GRU, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
AE, SMAP, True, fpr, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951
AE, SMAP, True, auc, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332, 0.5332
AE, SMAP, True, f1b, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677, 0.9677
VAE, SMAP, True, fpr, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950
VAE, SMAP, True, auc, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335, 0.5335
VAE, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
OP, SMAP, True, fpr, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951, 0.9951
OP, SMAP, True, auc, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999, 0.4999
OP, SMAP, True, f1b, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078
RAND, SMAP, True, fpr, 0.9960, 0.9959, 0.9960, 0.9960, 0.9961, 0.9960, 0.9961, 0.9959, 0.9957, 0.9960, 0.9960, 0.9959, 0.9960, 0.9958, 0.9958, 0.9960, 0.9959, 0.9960, 0.9960, 0.9960, 0.9959, 0.9961, 0.9958, 0.9960, 0.9959, 0.9960, 0.9960, 0.9960, 0.9960, 0.9958, 0.9959, 0.9960
RAND, SMAP, True, auc, 0.5556, 0.4804, 0.5418, 0.4749, 0.4620, 0.4505, 0.5155, 0.5313, 0.4940, 0.5003, 0.5336, 0.5828, 0.4449, 0.5315, 0.5185, 0.4355, 0.3944, 0.4841, 0.3840, 0.5160, 0.4907, 0.5343, 0.5048, 0.5573, 0.5164, 0.5239, 0.5046, 0.4841, 0.5075, 0.4133, 0.5190, 0.5189
RAND, SMAP, True, f1b, 0.2469, 0.1639, 0.1923, 0.3109, 0.1345, 0.3797, 0.1662, 0.2410, 0.1389, 0.3750, 0.5607, 0.1858, 0.7143, 0.2273, 0.0767, 0.4000, 0.0938, 0.1081, 0.8451, 0.0871, 0.0909, 0.1622, 0.4167, 0.3727, 0.1869, 0.1923, 0.6897, 0.1993, 0.2765, 0.4317, 0.1087, 0.5769
