VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
DBSCAN, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
GMM, SMD, True, fpr, 0.8986, 0.8985, 0.8985, 0.8985, 0.8985, 0.8985, 0.8986, 0.8985, 0.8985, 0.8985, 0.8986, 0.8986, 0.8985, 0.8985, 0.8985, 0.8986, 0.8986, 0.8985, 0.8985, 0.8986, 0.8985, 0.8985, 0.8985, 0.8985, 0.8985, 0.8985, 0.8986, 0.8985, 0.8985, 0.8986, 0.8985, 0.8985
GMM, SMD, True, auc, 0.7847, 0.7869, 0.7869, 0.7869, 0.7869, 0.7869, 0.7815, 0.7869, 0.7869, 0.7869, 0.7844, 0.7815, 0.7869, 0.7869, 0.7869, 0.7844, 0.7815, 0.7869, 0.7869, 0.7844, 0.7869, 0.7869, 0.7869, 0.7869, 0.7869, 0.7869, 0.7847, 0.7869, 0.7869, 0.7844, 0.7869, 0.7869
GMM, SMD, True, f1b, 0.9900, 0.9913, 0.9913, 0.9913, 0.9913, 0.9913, 0.9884, 0.9913, 0.9913, 0.9913, 0.9902, 0.9884, 0.9913, 0.9913, 0.9913, 0.9902, 0.9884, 0.9913, 0.9913, 0.9902, 0.9913, 0.9913, 0.9913, 0.9913, 0.9913, 0.9913, 0.9900, 0.9913, 0.9913, 0.9902, 0.9913, 0.9913
IF, SMD, True, fpr, 0.8909, 0.8966, 0.8979, 0.8945, 0.8974, 0.8970, 0.8973, 0.8981, 0.8960, 0.8970, 0.8942, 0.8965, 0.8943, 0.8980, 0.8970, 0.8977, 0.8979, 0.8937, 0.8968, 0.8967, 0.8957, 0.8945, 0.8972, 0.8935, 0.8985, 0.8971, 0.8978, 0.8957, 0.8979, 0.8956, 0.8982, 0.8966
IF, SMD, True, auc, 0.7908, 0.8284, 0.8107, 0.7754, 0.8314, 0.7946, 0.7921, 0.8236, 0.7769, 0.7847, 0.8151, 0.7960, 0.8200, 0.8164, 0.8223, 0.8078, 0.8144, 0.8114, 0.8226, 0.8099, 0.8102, 0.8128, 0.8191, 0.8066, 0.7737, 0.8064, 0.8053, 0.8023, 0.8156, 0.8091, 0.8063, 0.7876
IF, SMD, True, f1b, 0.9975, 0.9975, 0.9977, 0.9973, 0.9975, 0.9975, 0.9973, 0.9975, 0.9973, 0.9975, 0.9975, 0.9973, 0.9975, 0.9973, 0.9975, 0.9975, 0.9973, 0.9977, 0.9975, 0.9973, 0.9975, 0.9973, 0.9975, 0.9975, 0.9973, 0.9975, 0.9975, 0.9975, 0.9975, 0.9975, 0.9975, 0.9973
LSTM, SMD, True, fpr, 0.8988, 1.0000, 0.8988, 0.8986, 0.8987, 0.8988, 0.8985, 0.8986, 0.8988, 0.8988, 0.8988, 0.8986, 0.8985, 0.8988, 0.8988, 0.8986, 0.8983, 0.8987, 0.8987, 0.8988, 1.0000, 0.8987, 0.8987, 0.8988, 0.8980, 0.8987, 0.8987, 0.8988, 0.8987, 0.8988, 0.8986, 0.8986
LSTM, SMD, True, auc, 0.5237, 0.5700, 0.5355, 0.5425, 0.5055, 0.5042, 0.5740, 0.5359, 0.5465, 0.5609, 0.5556, 0.5608, 0.5069, 0.5334, 0.5437, 0.5529, 0.5506, 0.5476, 0.5894, 0.5383, 0.4978, 0.5423, 0.5775, 0.6042, 0.6220, 0.5561, 0.5615, 0.5233, 0.4974, 0.5988, 0.5688, 0.6097
LSTM, SMD, True, f1b, 0.9973, 0.9973, 0.9971, 0.9971, 0.9971, 0.9973, 0.9973, 0.9973, 0.9973, 0.9973, 0.9971, 0.9973, 0.9973, 0.9975, 0.9973, 0.9973, 0.9973, 0.9973, 0.9971, 0.9973, 0.9973, 0.9973, 0.9975, 0.9973, 0.9973, 0.9973, 0.9973, 0.9971, 0.9973, 0.9969, 0.9973, 0.9971
