VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
DBSCAN, MSL, True, auc, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969, 0.4969
DBSCAN, MSL, True, f1b, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878, 0.9878
GMM, MSL, True, fpr, 0.7028, 1.0000, 1.0000, 0.6981, 0.7028, 0.7028, 0.7028, 0.7028, 1.0000, 0.6925, 0.7028, 1.0000, 0.7028, 0.7028, 0.7028, 0.7028, 0.7031, 0.7028, 0.7029, 0.6981, 0.7028, 0.7028, 0.7028, 0.7031, 0.7028, 0.7028, 0.7028, 0.7024, 1.0000, 0.6925, 0.7024, 0.7028
GMM, MSL, True, auc, 0.5074, 0.4207, 0.4018, 0.3965, 0.5074, 0.5074, 0.5074, 0.5074, 0.4207, 0.4206, 0.5074, 0.4109, 0.5074, 0.5074, 0.5074, 0.3957, 0.4103, 0.5074, 0.4277, 0.3965, 0.5074, 0.5074, 0.5074, 0.4103, 0.5074, 0.5074, 0.5074, 0.4119, 0.4018, 0.4206, 0.4119, 0.5074
GMM, MSL, True, f1b, 0.9939, 0.9939, 0.9939, 0.9939, 0.9939, 0.9939, 0.9939, 0.9939, 0.9939, 0.9939, 0.9939, 0.9939, 0.9939, 0.9939, 0.9939, 0.9939, 0.9985, 0.9939, 0.9939, 0.9939, 0.9939, 0.9939, 0.9939, 0.9985, 0.9939, 0.9939, 0.9939, 0.9939, 0.9939, 0.9939, 0.9939, 0.9939
IF, MSL, True, fpr, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
IF, MSL, True, auc, 0.4184, 0.4185, 0.4209, 0.4270, 0.4188, 0.4260, 0.4262, 0.4320, 0.4336, 0.4254, 0.4259, 0.4192, 0.4235, 0.4239, 0.4219, 0.4276, 0.4191, 0.4300, 0.4252, 0.4250, 0.4295, 0.4218, 0.4217, 0.4259, 0.4313, 0.4242, 0.4302, 0.4208, 0.4263, 0.4116, 0.4282, 0.4242
IF, MSL, True, f1b, 0.9969, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.9992, 0.9992, 0.9969, 0.9985, 1.0000, 1.0000, 1.0000, 1.0000, 0.9977, 1.0000, 1.0000, 1.0000, 0.9992, 0.9992, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.9985, 0.9992, 0.9946, 0.9992, 1.0000
LSTM, MSL, True, fpr, 0.7000, 0.7031, 1.0000, 0.7032, 0.7031, 0.7031, 0.7031, 0.7027, 0.6980, 1.0000, 1.0000, 0.7017, 0.7009, 1.0000, 1.0000, 1.0000, 0.7025, 1.0000, 1.0000, 0.7025, 1.0000, 1.0000, 0.7029, 1.0000, 0.7031, 1.0000, 1.0000, 0.7032, 0.7021, 0.7025, 0.7031, 0.7029
LSTM, MSL, True, auc, 0.3545, 0.3419, 0.3643, 0.3670, 0.3557, 0.3403, 0.3607, 0.3623, 0.3643, 0.3619, 0.3441, 0.3537, 0.3623, 0.3614, 0.3548, 0.3592, 0.3651, 0.3566, 0.3784, 0.3569, 0.3592, 0.3695, 0.3447, 0.3545, 0.3467, 0.3534, 0.3642, 0.3519, 0.3505, 0.3695, 0.3440, 0.3383
LSTM, MSL, True, f1b, 1.0000, 1.0000, 0.9992, 1.0000, 1.0000, 0.9992, 1.0000, 0.9992, 0.9992, 0.9992, 1.0000, 0.9992, 1.0000, 0.9992, 1.0000, 1.0000, 1.0000, 1.0000, 0.9992, 0.9992, 0.9992, 0.9992, 0.9992, 0.9992, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.9992
GRU, MSL, True, fpr, 0.7028, 0.7027, 0.7032, 0.7032, 0.7010, 0.7032, 0.7027, 1.0000, 0.7016, 1.0000, 1.0000, 1.0000, 0.7028, 0.7027, 0.7024, 1.0000, 0.7032, 1.0000, 1.0000, 0.7032, 1.0000, 0.7022, 0.7024, 0.7031, 0.7028, 0.7013, 0.7032, 0.7024, 0.7029, 0.7032, 0.7024, 1.0000
GRU, MSL, True, auc, 0.3721, 0.3867, 0.3938, 0.3900, 0.4051, 0.3830, 0.3911, 0.3902, 0.3922, 0.3911, 0.3752, 0.3889, 0.3851, 0.4009, 0.3849, 0.3958, 0.3876, 0.3872, 0.4043, 0.3941, 0.3876, 0.3854, 0.3911, 0.3751, 0.3980, 0.3948, 0.3934, 0.3916, 0.3997, 0.3898, 0.3860, 0.3858
GRU, MSL, True, f1b, 0.9985, 1.0000, 1.0000, 0.9992, 1.0000, 1.0000, 0.9985, 0.9992, 0.9985, 0.9985, 1.0000, 0.9985, 0.9992, 0.9992, 1.0000, 1.0000, 0.9985, 1.0000, 0.9992, 0.9977, 0.9992, 0.9985, 0.9977, 1.0000, 0.9992, 0.9985, 0.9985, 0.9992, 0.9992, 1.0000, 0.9992, 0.9985
AE, MSL, True, fpr, 0.7024, 1.0000, 1.0000, 1.0000, 0.7021, 0.7028, 0.7027, 0.7017, 0.7014, 1.0000, 1.0000, 0.7032, 0.6938, 0.7027, 0.7028, 1.0000, 0.7017, 1.0000, 0.7006, 0.7018, 0.7029, 0.7032, 0.7014, 1.0000, 0.7009, 0.7029, 0.7031, 0.7031, 0.7029, 0.7025, 1.0000, 0.6953
AE, MSL, True, auc, 0.5528, 0.5320, 0.5313, 0.6227, 0.5410, 0.5270, 0.5389, 0.4981, 0.5363, 0.6071, 0.5360, 0.5332, 0.5267, 0.5361, 0.5430, 0.4611, 0.5486, 0.5505, 0.5470, 0.5314, 0.5191, 0.5433, 0.5285, 0.6004, 0.5862, 0.5523, 0.5432, 0.5322, 0.4952, 0.5260, 0.5223, 0.5327
