VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, MSL, True, fpr, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8719, 0.8599, 0.8599, 0.8599, 0.8689, 0.8599, 0.8599
FRO, MSL, True, auc, 0.5954, 0.5957, 0.5951, 0.5953, 0.5956, 0.5953, 0.5956, 0.5954, 0.5957, 0.5958, 0.5953, 0.5955, 0.5956, 0.5952, 0.5956, 0.5953, 0.5956, 0.5956, 0.5955, 0.5955, 0.5956, 0.5954, 0.5952, 0.5955, 0.5954, 0.5959, 0.5956, 0.5951, 0.5957, 0.5965, 0.5957, 0.5956
FRO, MSL, True, f1b, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278
FRL, MSL, True, fpr, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599
FRL, MSL, True, auc, 0.5955, 0.5954, 0.5954, 0.5955, 0.5954, 0.5955, 0.5954, 0.5955, 0.5954, 0.5954, 0.5954, 0.5954, 0.5954, 0.5955, 0.5954, 0.5955, 0.5954, 0.5954, 0.5954, 0.5955, 0.5955, 0.5954, 0.5954, 0.5954, 0.5954, 0.5955, 0.5954, 0.5955, 0.5954, 0.5954, 0.5954, 0.5954
FRL, MSL, True, f1b, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278
FRR, MSL, True, fpr, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599
FRR, MSL, True, auc, 0.5957, 0.5955, 0.5958, 0.5956, 0.5958, 0.5957, 0.5957, 0.5957, 0.5956, 0.5955, 0.5957, 0.5957, 0.5957, 0.5956, 0.5957, 0.5957, 0.5958, 0.5957, 0.5957, 0.5957, 0.5957, 0.5958, 0.5957, 0.5957, 0.5956, 0.5957, 0.5957, 0.5956, 0.5956, 0.5957, 0.5956, 0.5956
FRR, MSL, True, f1b, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278, 0.7278
OCSVM, MSL, True, fpr, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599, 0.8599
