VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9731, 0.9730, 0.9731, 0.9730, 0.9730, 0.9731, 0.9730, 0.9730, 0.9730, 0.9729, 0.9729, 0.9729, 0.9729, 0.9730, 0.9728, 0.9730, 0.9731, 0.9729, 0.9729, 0.9729, 0.9729, 0.9729, 0.9728, 0.9729, 0.9728, 0.9729, 0.9729, 0.9730, 0.9729, 0.9730, 0.9728, 0.9729
FRO, SMD, True, auc, 0.7620, 0.7638, 0.7615, 0.7702, 0.7607, 0.7697, 0.7604, 0.7644, 0.7669, 0.7653, 0.7646, 0.7675, 0.7634, 0.7689, 0.7659, 0.7659, 0.7616, 0.7674, 0.7684, 0.7678, 0.7671, 0.7683, 0.7674, 0.7632, 0.7654, 0.7673, 0.7658, 0.7637, 0.7655, 0.7686, 0.7647, 0.7647
FRO, SMD, True, f1b, 0.8872, 0.8872, 0.8872, 0.8775, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8887, 0.8879, 0.8895, 0.8872, 0.8872, 0.8872, 0.8895, 0.8872, 0.8872, 0.8872, 0.8887, 0.8872, 0.8872, 0.8872, 0.8887, 0.8872, 0.8872, 0.8872, 0.8887, 0.8872
FRL, SMD, True, fpr, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9724, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725, 0.9725
FRL, SMD, True, auc, 0.6487, 0.6489, 0.6484, 0.6487, 0.6481, 0.6485, 0.6482, 0.6487, 0.6486, 0.6487, 0.6489, 0.6486, 0.6489, 0.6490, 0.6486, 0.6485, 0.6487, 0.6484, 0.6483, 0.6488, 0.6488, 0.6488, 0.6488, 0.6489, 0.6490, 0.6486, 0.6490, 0.6483, 0.6491, 0.6486, 0.6486, 0.6484
FRL, SMD, True, f1b, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904, 0.8904
FRR, SMD, True, fpr, 0.9728, 0.9727, 0.9728, 0.9728, 0.9727, 0.9727, 0.9728, 0.9728, 0.9728, 0.9729, 0.9728, 0.9727, 0.9728, 0.9727, 0.9728, 0.9728, 0.9728, 0.9728, 0.9728, 0.9728, 0.9728, 0.9728, 0.9728, 0.9728, 0.9728, 0.9728, 0.9728, 0.9728, 0.9729, 0.9728, 0.9728, 0.9728
FRR, SMD, True, auc, 0.8174, 0.8171, 0.8163, 0.8166, 0.8174, 0.8164, 0.8171, 0.8158, 0.8170, 0.8160, 0.8171, 0.8175, 0.8165, 0.8169, 0.8167, 0.8168, 0.8156, 0.8161, 0.8176, 0.8160, 0.8167, 0.8177, 0.8175, 0.8167, 0.8172, 0.8167, 0.8165, 0.8173, 0.8173, 0.8177, 0.8165, 0.8166
FRR, SMD, True, f1b, 0.8639, 0.8576, 0.8555, 0.8666, 0.8555, 0.8809, 0.8596, 0.8590, 0.8617, 0.8680, 0.8583, 0.8541, 0.8666, 0.8603, 0.8596, 0.8618, 0.8722, 0.8562, 0.8631, 0.8638, 0.8569, 0.8729, 0.8549, 0.8555, 0.8590, 0.8632, 0.8632, 0.8541, 0.8562, 0.8548, 0.8569, 0.8645
