VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9260, 0.9262, 0.9258, 0.9264, 0.9261, 0.9263, 0.9264, 0.9255, 0.9261, 0.9257, 0.9259, 0.9263, 0.9259, 0.9260, 0.9261, 0.9257, 0.9255, 0.9259, 0.9260, 0.9261, 0.9263, 0.9256, 0.9265, 0.9259, 0.9261, 0.9263, 0.9256, 0.9262, 0.9264, 0.9262, 0.9260, 0.9263
FRO, SMD, True, auc, 0.8365, 0.8381, 0.8375, 0.8372, 0.8366, 0.8375, 0.8387, 0.8370, 0.8366, 0.8355, 0.8370, 0.8375, 0.8366, 0.8365, 0.8371, 0.8390, 0.8387, 0.8380, 0.8356, 0.8367, 0.8366, 0.8396, 0.8362, 0.8382, 0.8363, 0.8356, 0.8383, 0.8380, 0.8391, 0.8379, 0.8385, 0.8368
FRO, SMD, True, f1b, 0.9708, 0.9702, 0.9714, 0.9711, 0.9714, 0.9719, 0.9717, 0.9705, 0.9711, 0.9714, 0.9714, 0.9705, 0.9714, 0.9714, 0.9714, 0.9705, 0.9714, 0.9705, 0.9716, 0.9714, 0.9717, 0.9702, 0.9722, 0.9705, 0.9714, 0.9708, 0.9708, 0.9714, 0.9714, 0.9714, 0.9711, 0.9714
FRL, SMD, True, fpr, 0.9262, 0.9263, 0.9263, 0.9263, 0.9264, 0.9264, 0.9263, 0.9264, 0.9263, 0.9264, 0.9263, 0.9263, 0.9263, 0.9264, 0.9263, 0.9263, 0.9263, 0.9263, 0.9263, 0.9263, 0.9263, 0.9263, 0.9263, 0.9263, 0.9263, 0.9263, 0.9264, 0.9263, 0.9262, 0.9263, 0.9262, 0.9263
FRL, SMD, True, auc, 0.8833, 0.8833, 0.8833, 0.8832, 0.8833, 0.8833, 0.8833, 0.8833, 0.8833, 0.8833, 0.8833, 0.8833, 0.8833, 0.8834, 0.8833, 0.8833, 0.8833, 0.8833, 0.8833, 0.8833, 0.8833, 0.8833, 0.8833, 0.8833, 0.8833, 0.8833, 0.8833, 0.8833, 0.8832, 0.8832, 0.8833, 0.8834
FRL, SMD, True, f1b, 0.8390, 0.8418, 0.8407, 0.8403, 0.8420, 0.8433, 0.8400, 0.8409, 0.8407, 0.8409, 0.8416, 0.8403, 0.8416, 0.8418, 0.8424, 0.8407, 0.8387, 0.8411, 0.8405, 0.8409, 0.8407, 0.8416, 0.8422, 0.8409, 0.8400, 0.8418, 0.8409, 0.8405, 0.8394, 0.8405, 0.8342, 0.8403
FRR, SMD, True, fpr, 0.9229, 0.9222, 0.9232, 0.9230, 0.9243, 0.9239, 0.9245, 0.9224, 0.9229, 0.9235, 0.9223, 0.9240, 0.9243, 0.9227, 0.9236, 0.9241, 0.9235, 0.9227, 0.9234, 0.9235, 0.9233, 0.9247, 0.9236, 0.9234, 0.9241, 0.9239, 0.9231, 0.9243, 0.9240, 0.9240, 0.9243, 0.9231
FRR, SMD, True, auc, 0.8549, 0.8564, 0.8559, 0.8551, 0.8547, 0.8534, 0.8536, 0.8554, 0.8551, 0.8540, 0.8555, 0.8544, 0.8524, 0.8558, 0.8556, 0.8538, 0.8547, 0.8549, 0.8543, 0.8556, 0.8551, 0.8526, 0.8555, 0.8545, 0.8559, 0.8549, 0.8550, 0.8546, 0.8544, 0.8554, 0.8524, 0.8554
FRR, SMD, True, f1b, 0.9765, 0.9759, 0.9759, 0.9759, 0.9756, 0.9756, 0.9762, 0.9759, 0.9765, 0.9770, 0.9759, 0.9756, 0.9765, 0.9770, 0.9750, 0.9756, 0.9756, 0.9762, 0.9756, 0.9773, 0.9762, 0.9770, 0.9765, 0.9765, 0.9762, 0.9762, 0.9747, 0.9767, 0.9762, 0.9767, 0.9762, 0.9762
