VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9386, 0.9387, 0.9386, 0.9387, 0.9386, 0.9386, 0.9387, 0.9387, 0.9386, 0.9386, 0.9386, 0.9387, 0.9387, 0.9387, 0.9387, 0.9387, 0.9385, 0.9387, 0.9387, 0.9386, 0.9386, 0.9386, 0.9386, 0.9386, 0.9387, 0.9387, 0.9387, 0.9386, 0.9385, 0.9386, 0.9387, 0.9386
FRO, SMD, True, auc, 0.7339, 0.7353, 0.7318, 0.7326, 0.7328, 0.7332, 0.7378, 0.7347, 0.7360, 0.7342, 0.7317, 0.7333, 0.7254, 0.7359, 0.7286, 0.7309, 0.7341, 0.7312, 0.7322, 0.7205, 0.7319, 0.7312, 0.7348, 0.7293, 0.7339, 0.7266, 0.7381, 0.7305, 0.7356, 0.7313, 0.7327, 0.7348
FRO, SMD, True, f1b, 0.9884, 0.9890, 0.9882, 0.9887, 0.9890, 0.9893, 0.9904, 0.9898, 0.9893, 0.9893, 0.9890, 0.9893, 0.9890, 0.9893, 0.9884, 0.9887, 0.9898, 0.9898, 0.9887, 0.9887, 0.9870, 0.9896, 0.9887, 0.9893, 0.9898, 0.9890, 0.9895, 0.9887, 0.9904, 0.9887, 0.9893, 0.9890
FRL, SMD, True, fpr, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388
FRL, SMD, True, auc, 0.6910, 0.6909, 0.6909, 0.6910, 0.6911, 0.6909, 0.6906, 0.6908, 0.6904, 0.6903, 0.6913, 0.6912, 0.6911, 0.6908, 0.6906, 0.6907, 0.6906, 0.6905, 0.6909, 0.6906, 0.6906, 0.6906, 0.6909, 0.6912, 0.6903, 0.6908, 0.6910, 0.6906, 0.6912, 0.6907, 0.6912, 0.6907
FRL, SMD, True, f1b, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989, 0.9989
FRR, SMD, True, fpr, 0.9388, 0.9388, 0.9389, 0.9389, 0.9388, 0.9389, 0.9389, 0.9388, 0.9388, 0.9388, 0.9388, 0.9389, 0.9389, 0.9388, 0.9388, 0.9389, 0.9389, 0.9388, 0.9389, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9388, 0.9389, 0.9388, 0.9388, 0.9389, 0.9388
FRR, SMD, True, auc, 0.7299, 0.7268, 0.7279, 0.7271, 0.7251, 0.7268, 0.7282, 0.7263, 0.7265, 0.7295, 0.7263, 0.7284, 0.7278, 0.7293, 0.7303, 0.7249, 0.7289, 0.7267, 0.7268, 0.7251, 0.7324, 0.7285, 0.7292, 0.7262, 0.7278, 0.7324, 0.7267, 0.7266, 0.7234, 0.7301, 0.7284, 0.7270
FRR, SMD, True, f1b, 0.9835, 0.9829, 0.9829, 0.9823, 0.9820, 0.9829, 0.9832, 0.9823, 0.9818, 0.9832, 0.9826, 0.9831, 0.9835, 0.9818, 0.9826, 0.9826, 0.9834, 0.9820, 0.9823, 0.9829, 0.9829, 0.9835, 0.9826, 0.9829, 0.9832, 0.9831, 0.9829, 0.9820, 0.9829, 0.9826, 0.9846, 0.9829
