VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9882, 0.9881, 0.9881, 0.9881, 0.9881, 0.9882, 0.9881, 0.9881, 0.9881, 0.9882, 0.9882, 0.9882, 0.9881, 0.9882, 0.9881, 0.9881, 0.9882, 0.9881, 0.9881, 0.9881, 0.9881, 0.9882, 0.9882, 0.9881, 0.9881, 0.9883, 0.9881, 0.9881, 0.9882, 0.9882, 0.9881, 0.9881
FRO, SMD, True, auc, 0.8768, 0.8806, 0.8785, 0.8759, 0.8771, 0.8771, 0.8777, 0.8760, 0.8788, 0.8758, 0.8785, 0.8756, 0.8760, 0.8766, 0.8765, 0.8774, 0.8781, 0.8772, 0.8763, 0.8777, 0.8745, 0.8769, 0.8751, 0.8775, 0.8780, 0.8777, 0.8758, 0.8760, 0.8771, 0.8771, 0.8773, 0.8764
FRO, SMD, True, f1b, 0.9760, 0.2645, 0.9760, 0.9724, 0.9760, 0.9760, 0.9742, 0.9724, 0.9724, 0.9742, 0.9606, 0.9670, 0.9778, 0.9760, 0.9760, 0.9724, 0.9724, 0.9760, 0.9742, 0.9742, 0.9760, 0.9760, 0.9724, 0.9635, 0.9624, 0.9706, 0.9742, 0.9760, 0.9635, 0.9742, 0.9724, 0.9742
FRL, SMD, True, fpr, 0.9882, 0.9883, 0.9882, 0.9882, 0.9882, 0.9882, 0.9882, 0.9882, 0.9882, 0.9882, 0.9882, 0.9882, 0.9882, 0.9882, 0.9882, 0.9883, 0.9882, 0.9882, 0.9882, 0.9882, 0.9882, 0.9883, 0.9882, 0.9882, 0.9882, 0.9882, 0.9882, 0.9882, 0.9883, 0.9883, 0.9882, 0.9882
FRL, SMD, True, auc, 0.9136, 0.9136, 0.9135, 0.9135, 0.9136, 0.9135, 0.9134, 0.9136, 0.9136, 0.9135, 0.9135, 0.9134, 0.9135, 0.9135, 0.9135, 0.9136, 0.9136, 0.9135, 0.9135, 0.9135, 0.9135, 0.9136, 0.9136, 0.9135, 0.9135, 0.9135, 0.9136, 0.9136, 0.9136, 0.9135, 0.9135, 0.9135
FRL, SMD, True, f1b, 0.9635, 0.9635, 0.9635, 0.9617, 0.9635, 0.9635, 0.9635, 0.9635, 0.9617, 0.9617, 0.9635, 0.9635, 0.9635, 0.9635, 0.9617, 0.9635, 0.9635, 0.9617, 0.9617, 0.9617, 0.9635, 0.9635, 0.9635, 0.9617, 0.9635, 0.9617, 0.9635, 0.9635, 0.9635, 0.9635, 0.9635, 0.9635
FRR, SMD, True, fpr, 0.9882, 0.9883, 0.9882, 0.9881, 0.9882, 0.9882, 0.9882, 0.9883, 0.9883, 0.9882, 0.9882, 0.9883, 0.9882, 0.9883, 0.9882, 0.9883, 0.9882, 0.9883, 0.9882, 0.9882, 0.9881, 0.9882, 0.9882, 0.9883, 0.9882, 0.9883, 0.9883, 0.9882, 0.9882, 0.9883, 0.9881, 0.9882
FRR, SMD, True, auc, 0.9092, 0.9094, 0.9083, 0.9079, 0.9080, 0.9094, 0.9083, 0.9080, 0.9089, 0.9093, 0.9085, 0.9082, 0.9075, 0.9089, 0.9081, 0.9077, 0.9092, 0.9094, 0.9097, 0.9082, 0.9079, 0.9070, 0.9084, 0.9079, 0.9079, 0.9099, 0.9091, 0.9068, 0.9091, 0.9088, 0.9088, 0.9080
FRR, SMD, True, f1b, 0.9800, 0.9800, 0.9800, 0.9800, 0.9800, 0.9800, 0.9800, 0.9800, 0.9818, 0.9800, 0.9800, 0.9782, 0.9782, 0.9818, 0.9818, 0.9800, 0.9800, 0.9800, 0.9800, 0.9800, 0.9782, 0.9800, 0.9818, 0.9800, 0.9800, 0.9818, 0.9764, 0.9800, 0.9818, 0.9818, 0.9800, 0.9764
