VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532
FRO, SMD, True, auc, 0.6833, 0.6836, 0.6809, 0.6861, 0.6841, 0.6852, 0.6846, 0.6852, 0.6839, 0.6827, 0.6849, 0.6833, 0.6835, 0.6834, 0.6831, 0.6848, 0.6851, 0.6833, 0.6826, 0.6827, 0.6847, 0.6841, 0.6830, 0.6839, 0.6806, 0.6825, 0.6819, 0.6833, 0.6844, 0.6840, 0.6825, 0.6852
FRO, SMD, True, f1b, 0.8739, 0.8735, 0.8748, 0.8757, 0.8766, 0.8774, 0.8770, 0.8752, 0.8757, 0.8766, 0.9035, 0.8788, 0.8770, 0.8770, 0.8766, 0.8761, 0.8764, 0.8796, 0.8935, 0.8792, 0.8748, 0.8779, 0.8761, 0.8744, 0.8735, 0.8852, 0.8752, 0.8783, 0.8752, 0.8770, 0.8808, 0.8741
FRL, SMD, True, fpr, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520, 0.9520
FRL, SMD, True, auc, 0.5656, 0.5660, 0.5655, 0.5656, 0.5654, 0.5658, 0.5653, 0.5651, 0.5654, 0.5655, 0.5659, 0.5654, 0.5653, 0.5655, 0.5650, 0.5657, 0.5656, 0.5657, 0.5658, 0.5653, 0.5656, 0.5652, 0.5659, 0.5652, 0.5654, 0.5658, 0.5657, 0.5656, 0.5658, 0.5652, 0.5655, 0.5653
FRL, SMD, True, f1b, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652, 0.8652
FRR, SMD, True, fpr, 0.9532, 1.0000, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 1.0000, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 1.0000, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532, 0.9532
FRR, SMD, True, auc, 0.5857, 0.5873, 0.5852, 0.5839, 0.5853, 0.5851, 0.5858, 0.5863, 0.5878, 0.5854, 0.5858, 0.5859, 0.5861, 0.5858, 0.5866, 0.5841, 0.5836, 0.5840, 0.5868, 0.5859, 0.5856, 0.5871, 0.5856, 0.5846, 0.5860, 0.5845, 0.5883, 0.5855, 0.5832, 0.5827, 0.5862, 0.5871
FRR, SMD, True, f1b, 0.9344, 0.9287, 0.9296, 0.9318, 0.9266, 0.9322, 0.9309, 0.9434, 0.9283, 0.9340, 0.9340, 0.9370, 0.9283, 0.9292, 0.9274, 0.9274, 0.9274, 0.9326, 0.9340, 0.9287, 0.9283, 0.9451, 0.9344, 0.9309, 0.9274, 0.9331, 0.9261, 0.9370, 0.9344, 0.9274, 0.9266, 0.9459
