VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926
FRO, SMAP, True, auc, 0.5050, 0.5050, 0.5050, 0.5050, 0.5053, 0.5053, 0.5050, 0.5050, 0.5050, 0.5053, 0.5050, 0.5050, 0.5050, 0.5050, 0.5053, 0.5050, 0.5050, 0.5050, 0.5050, 0.5050, 0.5050, 0.5050, 0.5050, 0.5050, 0.5053, 0.5055, 0.5050, 0.5050, 0.5050, 0.5050, 0.5050, 0.5050
FRO, SMAP, True, f1b, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126, 0.0126
FRL, SMAP, True, fpr, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926
FRL, SMAP, True, auc, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051
FRL, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRR, SMAP, True, fpr, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926
FRR, SMAP, True, auc, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051
FRR, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
OCSVM, SMAP, True, fpr, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926
OCSVM, SMAP, True, auc, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051, 0.5051
