VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851
FRO, SMAP, True, auc, 0.5664, 0.5663, 0.5664, 0.5664, 0.5664, 0.5665, 0.5664, 0.5664, 0.5663, 0.5663, 0.5662, 0.5664, 0.5662, 0.5665, 0.5664, 0.5664, 0.5663, 0.5662, 0.5662, 0.5663, 0.5663, 0.5662, 0.5663, 0.5664, 0.5663, 0.5662, 0.5664, 0.5663, 0.5663, 0.5663, 0.5663, 0.5663
FRO, SMAP, True, f1b, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0636, 0.0637, 0.0637, 0.0637, 0.0636, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0636, 0.0637, 0.0637
FRL, SMAP, True, fpr, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853
FRL, SMAP, True, auc, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587, 0.5587
FRL, SMAP, True, f1b, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637
FRR, SMAP, True, fpr, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851, 0.9851
FRR, SMAP, True, auc, 0.5664, 0.5664, 0.5664, 0.5664, 0.5664, 0.5664, 0.5664, 0.5664, 0.5664, 0.5663, 0.5663, 0.5664, 0.5664, 0.5663, 0.5664, 0.5664, 0.5663, 0.5664, 0.5664, 0.5665, 0.5664, 0.5664, 0.5664, 0.5664, 0.5664, 0.5664, 0.5664, 0.5664, 0.5663, 0.5664, 0.5664, 0.5664
FRR, SMAP, True, f1b, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637, 0.0637
OCSVM, SMAP, True, fpr, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853, 0.9853
OCSVM, SMAP, True, auc, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513, 0.5513
