VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9929, 0.9929, 0.9929, 0.9929, 0.9929, 0.9929, 0.9929, 0.9929, 0.9928, 0.9929, 0.9929, 0.9929, 0.9929, 0.9929, 0.9928, 0.9929, 0.9929, 0.9928, 0.9929, 0.9929, 0.9929, 0.9928, 0.9929, 0.9929, 0.9929, 0.9929, 0.9929, 0.9929, 0.9929, 0.9929, 0.9928, 0.9929
FRO, SMD, True, auc, 0.8349, 0.8317, 0.8326, 0.8311, 0.8327, 0.8347, 0.8316, 0.8366, 0.8329, 0.8325, 0.8341, 0.8337, 0.8337, 0.8331, 0.8307, 0.8337, 0.8316, 0.8354, 0.8322, 0.8328, 0.8333, 0.8330, 0.8366, 0.8349, 0.8325, 0.8320, 0.8338, 0.8332, 0.8335, 0.8346, 0.8342, 0.8308
FRO, SMD, True, f1b, 0.9975, 0.9821, 0.9821, 0.9821, 0.9821, 0.9975, 0.9950, 0.9821, 0.9821, 1.0000, 0.9851, 0.9821, 0.9846, 0.9821, 0.9975, 0.9821, 0.9821, 0.9821, 0.9975, 0.9950, 0.9975, 0.9925, 0.9975, 0.9950, 0.9821, 0.9900, 0.9821, 0.9821, 0.9821, 0.9826, 0.9821, 0.9975
FRL, SMD, True, fpr, 0.9828, 0.9828, 0.9828, 0.9828, 0.9828, 0.9828, 0.9828, 0.9828, 0.9827, 0.9828, 0.9828, 0.9828, 0.9828, 0.9828, 0.9828, 0.9828, 0.9828, 0.9828, 0.9828, 0.9828, 0.9828, 0.9828, 0.9827, 0.9828, 0.9828, 0.9828, 0.9828, 0.9828, 0.9828, 0.9828, 0.9828, 0.9827
FRL, SMD, True, auc, 0.8350, 0.8356, 0.8355, 0.8356, 0.8354, 0.8356, 0.8352, 0.8351, 0.8359, 0.8357, 0.8354, 0.8349, 0.8354, 0.8355, 0.8356, 0.8353, 0.8353, 0.8355, 0.8347, 0.8357, 0.8351, 0.8358, 0.8358, 0.8349, 0.8345, 0.8356, 0.8355, 0.8352, 0.8352, 0.8353, 0.8355, 0.8359
FRL, SMD, True, f1b, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846
FRR, SMD, True, fpr, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926, 0.9926
FRR, SMD, True, auc, 0.8305, 0.8306, 0.8309, 0.8300, 0.8308, 0.8304, 0.8314, 0.8302, 0.8300, 0.8303, 0.8309, 0.8308, 0.8303, 0.8312, 0.8304, 0.8304, 0.8300, 0.8314, 0.8302, 0.8311, 0.8300, 0.8310, 0.8308, 0.8306, 0.8303, 0.8308, 0.8314, 0.8299, 0.8300, 0.8306, 0.8305, 0.8306
FRR, SMD, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
