VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9847, 0.9848, 0.9847, 0.9846, 0.9847, 0.9848, 0.9846, 0.9848, 0.9847, 0.9848, 0.9847, 0.9848, 0.9848, 0.9847, 0.9846, 0.9848, 0.9848, 0.9848, 0.9848, 0.9848, 0.9848, 0.9848, 0.9847, 0.9848, 0.9848, 0.9847, 0.9847, 0.9847, 0.9846, 0.9846, 0.9848, 0.9848
FRO, SMD, True, auc, 0.7330, 0.7288, 0.7329, 0.7312, 0.7326, 0.7310, 0.7321, 0.7314, 0.7313, 0.7312, 0.7315, 0.7308, 0.7319, 0.7322, 0.7304, 0.7333, 0.7304, 0.7301, 0.7316, 0.7301, 0.7302, 0.7313, 0.7323, 0.7312, 0.7314, 0.7314, 0.7342, 0.7294, 0.7333, 0.7332, 0.7326, 0.7296
FRO, SMD, True, f1b, 0.9293, 0.9907, 0.9223, 0.9200, 0.9293, 0.9281, 0.9212, 0.9315, 0.9223, 0.9246, 0.9212, 0.9850, 0.9304, 0.9235, 0.9236, 0.9315, 0.9304, 0.9246, 0.9259, 0.9304, 0.9212, 0.9304, 0.9281, 0.9281, 0.9304, 0.9212, 0.9293, 0.9235, 0.9270, 0.9293, 0.9327, 0.9433
FRL, SMD, True, fpr, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846, 0.9846
FRL, SMD, True, auc, 0.6301, 0.6303, 0.6300, 0.6302, 0.6300, 0.6303, 0.6305, 0.6300, 0.6302, 0.6302, 0.6301, 0.6305, 0.6302, 0.6303, 0.6303, 0.6300, 0.6304, 0.6303, 0.6299, 0.6301, 0.6300, 0.6302, 0.6301, 0.6301, 0.6309, 0.6307, 0.6302, 0.6302, 0.6300, 0.6307, 0.6303, 0.6306
FRL, SMD, True, f1b, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446, 0.8446
FRR, SMD, True, fpr, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9845, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844
FRR, SMD, True, auc, 0.8408, 0.8415, 0.8411, 0.8440, 0.8432, 0.8410, 0.8423, 0.8428, 0.8420, 0.8439, 0.8420, 0.8405, 0.8441, 0.8431, 0.8414, 0.8428, 0.8416, 0.8411, 0.8423, 0.8418, 0.8413, 0.8432, 0.8420, 0.8409, 0.8421, 0.8423, 0.8409, 0.8409, 0.8418, 0.8422, 0.8408, 0.8411
FRR, SMD, True, f1b, 1.0000, 0.9988, 1.0000, 1.0000, 0.9988, 1.0000, 1.0000, 1.0000, 1.0000, 0.9988, 0.9988, 1.0000, 0.9988, 0.9988, 1.0000, 0.9988, 1.0000, 1.0000, 0.9988, 1.0000, 0.9988, 1.0000, 0.9988, 1.0000, 0.9988, 1.0000, 0.9988, 1.0000, 1.0000, 0.9988, 1.0000, 1.0000
