VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.9882, 0.9882, 0.9881, 0.9881, 0.9882, 0.9881, 0.9882, 0.9882, 0.9881, 0.9882, 0.9882, 0.9882, 0.9881, 0.9881, 0.9882, 0.9881, 0.9882, 0.9881, 0.9881, 0.9881, 0.9881, 0.9882, 0.9881, 0.9882, 0.9881, 0.9881, 0.9881, 0.9881, 0.9882, 0.9882, 0.9881, 0.9881
FRO, SMAP, True, auc, 0.5054, 0.5071, 0.5067, 0.5071, 0.5044, 0.5071, 0.5071, 0.5068, 0.5056, 0.5068, 0.5070, 0.5053, 0.5081, 0.5060, 0.5068, 0.5057, 0.5068, 0.5058, 0.5060, 0.5064, 0.5062, 0.5066, 0.5069, 0.5065, 0.5091, 0.5074, 0.5085, 0.5072, 0.5068, 0.5068, 0.5072, 0.5059
FRO, SMAP, True, f1b, 0.0230, 0.1520, 0.1520, 0.1520, 0.0230, 0.0230, 0.1520, 0.0230, 0.0230, 0.1520, 0.0230, 0.0230, 0.1520, 0.0230, 0.1520, 0.0230, 0.1520, 0.0230, 0.0230, 0.1520, 0.1520, 0.0230, 0.0230, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.0230, 0.0230, 0.1520, 0.0230
FRL, SMAP, True, fpr, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883
FRL, SMAP, True, auc, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927, 0.4927
FRL, SMAP, True, f1b, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520
FRR, SMAP, True, fpr, 0.9882, 0.9882, 0.9882, 0.9881, 0.9882, 0.9881, 0.9881, 0.9881, 0.9881, 0.9881, 0.9881, 0.9882, 0.9881, 0.9881, 0.9881, 0.9881, 0.9881, 0.9882, 0.9881, 0.9881, 0.9881, 0.9882, 0.9881, 0.9881, 0.9881, 0.9882, 0.9881, 0.9881, 0.9882, 0.9881, 0.9881, 0.9882
FRR, SMAP, True, auc, 0.5043, 0.5051, 0.5053, 0.5054, 0.5040, 0.5050, 0.5049, 0.5061, 0.5049, 0.5049, 0.5047, 0.5042, 0.5045, 0.5056, 0.5056, 0.5057, 0.5044, 0.5039, 0.5047, 0.5060, 0.5049, 0.5042, 0.5056, 0.5051, 0.5045, 0.5041, 0.5045, 0.5066, 0.5053, 0.5044, 0.5056, 0.5052
FRR, SMAP, True, f1b, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520, 0.1520
OCSVM, SMAP, True, fpr, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883
OCSVM, SMAP, True, auc, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889, 0.4889
