VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, MSL, True, fpr, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328
FRO, MSL, True, auc, 0.5405, 0.5406, 0.5405, 0.5406, 0.5405, 0.5405, 0.5405, 0.5405, 0.5405, 0.5405, 0.5406, 0.5406, 0.5405, 0.5405, 0.5405, 0.5405, 0.5405, 0.5405, 0.5405, 0.5405, 0.5407, 0.5406, 0.5405, 0.5405, 0.5405, 0.5406, 0.5405, 0.5406, 0.5405, 0.5405, 0.5405, 0.5405
FRO, MSL, True, f1b, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470
FRL, MSL, True, fpr, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328
FRL, MSL, True, auc, 0.5406, 0.5406, 0.5405, 0.5406, 0.5405, 0.5405, 0.5406, 0.5406, 0.5405, 0.5406, 0.5406, 0.5405, 0.5405, 0.5405, 0.5405, 0.5406, 0.5406, 0.5406, 0.5405, 0.5404, 0.5406, 0.5406, 0.5406, 0.5405, 0.5405, 0.5406, 0.5405, 0.5405, 0.5405, 0.5406, 0.5405, 0.5405
FRL, MSL, True, f1b, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470
FRR, MSL, True, fpr, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328
FRR, MSL, True, auc, 0.5406, 0.5406, 0.5405, 0.5405, 0.5405, 0.5405, 0.5405, 0.5405, 0.5405, 0.5405, 0.5405, 0.5405, 0.5405, 0.5406, 0.5406, 0.5405, 0.5405, 0.5405, 0.5405, 0.5406, 0.5405, 0.5405, 0.5406, 0.5406, 0.5405, 0.5405, 0.5406, 0.5405, 0.5404, 0.5406, 0.5405, 0.5406
FRR, MSL, True, f1b, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470, 0.9470
OCSVM, MSL, True, fpr, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328, 0.7328
