VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, MSL, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, MSL, True, fpr, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739
FRO, MSL, True, auc, 0.7785, 0.7797, 0.7779, 0.7782, 0.7783, 0.7786, 0.7787, 0.7778, 0.7787, 0.7792, 0.7785, 0.7800, 0.7787, 0.7782, 0.7783, 0.7784, 0.7787, 0.7789, 0.7792, 0.7800, 0.7784, 0.7790, 0.7783, 0.7787, 0.7789, 0.7788, 0.7787, 0.7793, 0.7780, 0.7782, 0.7793, 0.7790
FRO, MSL, True, f1b, 0.1538, 0.1540, 0.1538, 0.1538, 0.1540, 0.1540, 0.1540, 0.1538, 0.1540, 0.1538, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1538, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1538, 0.1540, 0.1540, 0.1538
FRL, MSL, True, fpr, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739
FRL, MSL, True, auc, 0.7785, 0.7785, 0.7784, 0.7785, 0.7785, 0.7785, 0.7786, 0.7785, 0.7785, 0.7784, 0.7785, 0.7785, 0.7785, 0.7784, 0.7785, 0.7785, 0.7784, 0.7784, 0.7786, 0.7785, 0.7785, 0.7786, 0.7785, 0.7785, 0.7784, 0.7786, 0.7785, 0.7784, 0.7784, 0.7785, 0.7785, 0.7784
FRL, MSL, True, f1b, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540
FRR, MSL, True, fpr, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739, 0.9739
FRR, MSL, True, auc, 0.7789, 0.7794, 0.7785, 0.7784, 0.7783, 0.7784, 0.7789, 0.7794, 0.7791, 0.7790, 0.7789, 0.7792, 0.7796, 0.7796, 0.7788, 0.7791, 0.7786, 0.7794, 0.7791, 0.7790, 0.7786, 0.7793, 0.7789, 0.7780, 0.7792, 0.7794, 0.7788, 0.7785, 0.7787, 0.7789, 0.7794, 0.7794
FRR, MSL, True, f1b, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540, 0.1540
OCSVM, MSL, True, fpr, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791, 0.9791
