VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
FRO, SMD, True, auc, 0.7029, 0.7024, 0.7001, 0.7001, 0.7037, 0.7006, 0.7001, 0.7007, 0.7007, 0.6995, 0.6998, 0.7006, 0.6998, 0.6999, 0.7021, 0.7026, 0.6989, 0.6987, 0.6998, 0.6975, 0.7033, 0.6995, 0.7018, 0.7001, 0.7003, 0.6990, 0.6973, 0.7031, 0.6993, 0.7017, 0.6995, 0.7023
FRO, SMD, True, f1b, 0.8959, 0.9111, 0.8998, 0.9026, 0.9107, 0.9127, 0.8950, 0.9162, 0.9115, 0.8979, 0.8928, 0.8963, 0.9146, 0.9042, 0.8987, 0.9013, 0.9127, 0.9057, 0.8940, 0.9092, 0.9051, 0.9076, 0.8871, 0.9124, 0.9127, 0.9092, 0.9121, 0.9061, 0.9092, 0.8948, 0.9061, 0.9166
FRL, SMD, True, fpr, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506, 0.9506
FRL, SMD, True, auc, 0.7201, 0.7199, 0.7192, 0.7198, 0.7193, 0.7194, 0.7195, 0.7194, 0.7202, 0.7192, 0.7189, 0.7192, 0.7196, 0.7194, 0.7193, 0.7197, 0.7191, 0.7195, 0.7194, 0.7197, 0.7197, 0.7200, 0.7196, 0.7193, 0.7198, 0.7196, 0.7195, 0.7193, 0.7200, 0.7194, 0.7196, 0.7198
FRL, SMD, True, f1b, 0.8969, 0.8969, 0.8969, 0.8977, 0.8973, 0.8973, 0.8969, 0.8977, 0.8969, 0.8977, 0.8981, 0.8977, 0.8977, 0.8977, 0.8973, 0.8977, 0.8973, 0.8969, 0.8977, 0.8977, 0.8977, 0.8969, 0.8973, 0.8977, 0.8969, 0.8977, 0.8977, 0.8977, 0.8973, 0.8969, 0.8977, 0.8969
FRR, SMD, True, fpr, 0.9505, 0.9505, 0.9505, 0.9505, 0.9505, 0.9504, 0.9505, 0.9504, 0.9505, 0.9505, 0.9505, 0.9505, 0.9505, 0.9505, 0.9505, 0.9505, 0.9505, 0.9504, 0.9505, 0.9505, 0.9506, 0.9505, 0.9505, 0.9505, 0.9505, 0.9505, 0.9505, 0.9504, 0.9504, 0.9505, 0.9505, 0.9505
FRR, SMD, True, auc, 0.7161, 0.7155, 0.7154, 0.7180, 0.7137, 0.7148, 0.7143, 0.7144, 0.7168, 0.7173, 0.7155, 0.7140, 0.7156, 0.7171, 0.7152, 0.7176, 0.7149, 0.7140, 0.7144, 0.7141, 0.7154, 0.7165, 0.7123, 0.7161, 0.7144, 0.7152, 0.7153, 0.7176, 0.7148, 0.7137, 0.7183, 0.7157
FRR, SMD, True, f1b, 0.9068, 0.9119, 0.9076, 0.9068, 0.9007, 0.9099, 0.9049, 0.9049, 0.9068, 0.9038, 0.9038, 0.9099, 0.9107, 0.9111, 0.9119, 0.8996, 0.9026, 0.9065, 0.9115, 0.9146, 0.9115, 0.9088, 0.9076, 0.9099, 0.9072, 0.9119, 0.9045, 0.9092, 0.9019, 0.9026, 0.9038, 0.9049
